energy,s046,s047,s048,s049,mean
2.463119999999999891e+03,6.720134000000000003e-03,3.752732999999999850e-03,1.958199999999999785e-03,1.894527999999999924e-03,3.581398749999999999e-03
2.463360000000000127e+03,-8.761704999999999624e-04,3.212041000000000115e-03,-4.057673999999999830e-03,-4.745053999999999852e-05,-4.423135099999999731e-04
2.463599999999999909e+03,5.775685000000000020e-03,5.562021999999999800e-03,1.056136000000000054e-03,-1.605394000000000005e-03,2.697112249999999642e-03
2.463839999999999691e+03,-2.381887000000000067e-03,1.656581999999999976e-03,-6.371841999999999957e-03,9.158985999999999170e-03,5.154597499999998347e-04
2.464079999999999927e+03,-5.532277000000000375e-03,-1.190310999999999973e-02,-3.728829999999999818e-03,-1.502866999999999962e-03,-5.666771000000000134e-03
2.464319999999999709e+03,-9.183254999999999543e-03,-3.832845000000000089e-03,-4.166277999999999822e-03,-8.973652999999999838e-03,-6.539007749999999064e-03
2.464559999999999945e+03,-1.489873000000000065e-03,-1.243999000000000081e-04,1.445943000000000055e-02,4.510641999999999603e-03,4.338949774999999870e-03
2.464799999999999727e+03,6.967641999999999586e-03,1.676973999999999913e-03,8.508553999999999987e-04,-3.434791999999999880e-03,1.515169849999999660e-03
2.465039999999999964e+03,1.391983999999999930e-02,1.465144999999999989e-02,2.270756999999999984e-02,3.035233999999999936e-03,1.357852349999999833e-02
2.465279999999999745e+03,2.902588000000000217e-03,1.555094999999999915e-02,9.023269999999999902e-03,-2.161221999999999969e-03,6.328896499999999391e-03
2.465519999999999982e+03,1.195720999999999937e-02,8.349745999999999904e-03,3.310060000000000086e-03,1.406621999999999950e-03,6.255909500000000206e-03
2.465759999999999764e+03,1.667702000000000073e-02,1.740944000000000172e-02,3.112683000000000203e-03,4.473699999999999725e-03,1.041821074999999854e-02
2.466000000000000000e+03,1.183581000000000043e-02,8.314402999999999724e-03,-6.851438999999999967e-03,1.815610000000000140e-02,7.863718500000000181e-03
2.466239999999999782e+03,1.844718000000000052e-02,1.085324000000000011e-02,2.802686999999999887e-02,7.219462999999999749e-03,1.613668824999999959e-02
2.466479999999999563e+03,1.572867000000000015e-02,7.538074999999999984e-03,-4.583895999999999631e-03,1.325402000000000004e-02,7.984217249999999919e-03
2.466719999999999800e+03,3.006912999999999947e-02,6.753226999999999668e-03,2.814662000000000067e-02,3.142694000000000043e-02,2.409897924999999941e-02
2.466960000000000036e+03,1.195200000000000082e-02,2.732454999999999953e-02,1.245214000000000043e-02,2.922361999999999876e-02,2.023807749999999989e-02
2.467200000000000273e+03,1.716751000000000041e-02,3.408839999999999787e-02,2.084070999999999840e-02,2.707243999999999970e-02,2.479226500000000083e-02
2.467449999999999818e+03,4.304565999999999948e-02,2.747393999999999878e-02,3.456452000000000135e-02,1.792329000000000144e-02,3.075185250000000287e-02
2.467690000000000055e+03,1.886546999999999877e-02,4.384752000000000094e-02,5.013092000000000242e-02,4.271066999999999919e-02,3.888864499999999946e-02
2.467929999999999836e+03,3.305712000000000234e-02,8.286014999999999353e-02,6.478367999999999627e-02,5.803144999999999831e-02,5.968309999999998894e-02
2.468170000000000073e+03,1.188127999999999962e-01,1.332209000000000032e-01,8.951404000000000305e-02,1.207103999999999955e-01,1.155645350000000099e-01
2.468409999999999854e+03,1.978279000000000010e-01,1.529582999999999915e-01,1.186442999999999942e-01,1.649895999999999863e-01,1.586050249999999828e-01
