energy,s016,s017,s018,s019,s020,s021,s022,mean
2.463119999999999891e+03,-7.160063999999999838e-03,-5.302956000000000163e-03,-6.992970000000000262e-03,-3.257676000000000148e-03,4.164615999999999837e-05,-1.358948000000000014e-03,-5.598912000000000160e-03,-4.232839977142857472e-03
2.463360000000000127e+03,-1.081811000000000014e-03,1.178760999999999958e-03,-3.354526000000000144e-04,2.352025000000000209e-03,-3.959746000000000099e-03,-1.445443000000000032e-03,2.225122999999999858e-03,-1.523633714285714167e-04
2.463599999999999909e+03,5.310519999999999997e-03,-1.268121999999999999e-02,3.066206000000000140e-03,-3.892979999999999878e-03,2.828660000000000202e-03,-1.430866000000000039e-03,2.225491999999999922e-03,-6.534554285714285057e-04
2.463839999999999691e+03,-2.778694999999999863e-03,4.515661000000000132e-04,-9.830577000000000933e-04,-1.229844000000000076e-02,-9.645914000000000224e-05,-5.639054999999999589e-03,-1.520875999999999999e-03,-3.266430962857143263e-03
2.464079999999999927e+03,-1.834207999999999932e-03,1.706632000000000027e-03,-2.666258999999999817e-03,9.403596999999999650e-03,-6.492036999999999981e-03,-6.889832000000000248e-03,-5.353458999999999865e-04,-1.043921842857142976e-03
2.464319999999999709e+03,3.256802000000000048e-03,1.978314000000000114e-03,4.999462999999999997e-03,-1.229844000000000076e-02,-2.337174000000000022e-03,8.958742000000000441e-03,3.499270999999999979e-03,1.150996857142856959e-03
2.464559999999999945e+03,8.536375000000000343e-04,9.772437000000000137e-03,-1.088311000000000009e-03,8.556872999999999563e-03,2.385234999999999873e-03,6.897621999999999955e-03,6.520259999999999945e-04,4.004217071428571410e-03
2.464799999999999727e+03,3.433818999999999847e-03,2.896464000000000070e-03,4.000382000000000243e-03,1.143503000000000054e-02,7.629875000000000372e-03,9.077802000000000267e-04,-9.467780000000000076e-04,4.193796028571428712e-03
2.465039999999999964e+03,8.060031999999999960e-03,8.188350000000000489e-03,1.011487999999999970e-02,2.220861000000000189e-03,4.355501000000000338e-03,4.953851999999999908e-03,-1.788885999999999948e-02,2.857802285714285996e-03
2.465279999999999745e+03,1.143616000000000077e-02,6.943256000000000080e-03,1.885540999999999953e-02,1.445947000000000031e-02,1.154754000000000023e-02,1.194476000000000045e-02,-3.165304999999999877e-04,1.069572364285714325e-02
2.465519999999999982e+03,-1.168756999999999956e-02,1.907915000000000045e-03,9.144994000000000040e-03,5.805748999999999806e-03,1.897936000000000067e-02,-1.884295999999999931e-03,1.073346000000000022e-02,4.714230285714285373e-03
2.465759999999999764e+03,2.062525999999999943e-02,8.828822999999999532e-03,1.316174999999999984e-02,7.008857999999999972e-04,-1.256099000000000104e-03,1.930497999999999936e-02,5.472852999999999746e-03,9.548350400000000723e-03
2.466000000000000000e+03,2.809035000000000004e-02,8.114092999999999306e-03,1.634419999999999970e-02,3.444840999999999875e-02,1.932338999999999932e-02,1.082221000000000051e-02,-9.647972999999999792e-04,1.659683652857142991e-02
2.466239999999999782e+03,2.802254000000000116e-03,1.375578000000000044e-02,2.198160000000000044e-02,2.546616999999999978e-02,4.682727999999999717e-03,4.009271000000000015e-03,2.328681000000000154e-02,1.371208757142857067e-02
2.466479999999999563e+03,5.676709000000000269e-03,9.417000999999999497e-03,-1.969203000000000099e-03,7.953764999999999794e-03,1.625727999999999895e-02,2.579259000000000066e-02,2.486292000000000016e-02,1.257015171428571380e-02
2.466719999999999800e+03,1.749144000000000046e-02,2.535801000000000027e-02,2.481320000000000053e-02,1.189809000000000005e-02,3.028304000000000065e-02,1.572528000000000120e-02,2.186986000000000138e-02,2.106270285714285234e-02
2.466960000000000036e+03,3.110219999999999999e-02,4.039803000000000144e-02,2.817915000000000003e-02,2.152464000000000113e-02,1.754495000000000013e-02,2.159180999999999948e-02,1.088174000000000086e-02,2.446035999999999697e-02
2.467200000000000273e+03,3.420432000000000333e-02,3.546501999999999988e-02,1.955921999999999869e-02,2.320180999999999980e-02,2.990960000000000146e-02,2.815188999999999886e-02,2.602950999999999876e-02,2.807448142857143017e-02
2.467449999999999818e+03,3.790529000000000120e-02,4.992011999999999838e-02,4.137923999999999769e-02,5.335021999999999681e-02,4.273178999999999866e-02,4.707663000000000125e-02,3.388552000000000231e-02,4.374982999999999650e-02
2.467690000000000055e+03,4.388489999999999752e-02,6.392921000000000020e-02,7.111618999999999580e-02,4.453011999999999943e-02,6.818673999999999569e-02,6.653557999999999695e-02,4.311439000000000243e-02,5.732816142857143082e-02
2.467929999999999836e+03,8.733884000000000092e-02,8.668231999999999327e-02,7.978831999999999591e-02,9.527201999999999893e-02,6.403878000000000348e-02,9.379912999999999446e-02,8.702938000000000340e-02,8.484982714285715932e-02
2.468170000000000073e+03,1.118698000000000053e-01,1.565188000000000135e-01,1.696545999999999887e-01,1.546408999999999978e-01,1.683068000000000064e-01,1.638132999999999950e-01,1.429896999999999974e-01,1.525419857142857327e-01
2.468409999999999854e+03,2.602726000000000206e-01,2.785245000000000082e-01,2.402443999999999968e-01,2.886097000000000246e-01,2.128755999999999982e-01,2.770574000000000092e-01,3.074585000000000234e-01,2.664346714285714124e-01
2.468649999999999636e+03,3.692407999999999801e-01,3.204787000000000052e-01,3.381561000000000150e-01,4.049024999999999985e-01,4.142415999999999876e-01,4.134194999999999953e-01,4.136971999999999872e-01,3.820194857142857336e-01
2.468889999999999873e+03,3.033953999999999818e-01,3.768095000000000194e-01,3.437690999999999941e-01,3.581815999999999889e-01,4.079492000000000118e-01,3.646390999999999938e-01,4.078153999999999946e-01,3.660798999999999581e-01
2.469139999999999873e+03,2.184374000000000038e-01,2.450132999999999894e-01,2.465843000000000063e-01,2.766312000000000215e-01,2.527772999999999826e-01,2.922140999999999766e-01,2.639359000000000011e-01,2.565133571428571124e-01
2.469380000000000109e+03,1.997186999999999990e-01,2.102853000000000083e-01,1.987433000000000116e-01,2.050978999999999997e-01,2.107286999999999910e-01,2.033162000000000025e-01,2.189164000000000110e-01,2.066866428571428604e-01
2.469619999999999891e+03,1.604811999999999905e-01,1.351642000000000121e-01,2.281084999999999918e-01,1.870133999999999963e-01,2.026247999999999938e-01,1.923937000000000008e-01,1.722862000000000005e-01,1.825817142857142916e-01
2.469860000000000127e+03,2.291651000000000105e-01,1.864013999999999949e-01,2.429018000000000010e-01,2.243715000000000015e-01,2.287646000000000124e-01,2.475780999999999954e-01,2.394216000000000122e-01,2.283720142857142699e-01
2.470099999999999909e+03,3.131864999999999788e-01,4.186515000000000097e-01,3.871886999999999968e-01,3.966298999999999797e-01,3.446781999999999901e-01,3.383784000000000236e-01,3.844989999999999797e-01,3.690303142857142560e-01
2.470349999999999909e+03,5.131989000000000134e-01,5.397311999999999665e-01,5.935586999999999946e-01,6.367726999999999693e-01,6.535725000000000007e-01,6.082653999999999561e-01,6.310483000000000064e-01,5.965925285714286375e-01
2.470590000000000146e+03,7.348580000000000112e-01,8.484011999999999665e-01,8.514675000000000438e-01,8.219302000000000552e-01,8.357322999999999835e-01,8.142255999999999938e-01,9.047458999999999918e-01,8.301943857142858318e-01
2.470829999999999927e+03,7.857288000000000050e-01,8.111777999999999489e-01,8.668863999999999459e-01,8.496274000000000326e-01,9.359832000000000152e-01,9.655918999999999475e-01,8.972491000000000216e-01,8.731777999999998929e-01
2.471070000000000164e+03,8.491712000000000149e-01,8.250081999999999693e-01,9.317098000000000324e-01,9.149825999999999793e-01,8.586597999999999731e-01,9.175275999999999987e-01,8.856133999999999951e-01,8.832389428571428835e-01
2.471320000000000164e+03,7.486690000000000289e-01,8.846690000000000387e-01,7.816874999999999796e-01,9.087876999999999761e-01,8.447111999999999954e-01,7.914233999999999991e-01,8.688363000000000058e-01,8.326834428571429081e-01
2.471560000000000400e+03,6.693181999999999743e-01,6.792664999999999953e-01,6.942393999999999510e-01,7.903394000000000252e-01,7.280750000000000277e-01,7.074430999999999914e-01,7.780629999999999491e-01,7.209635142857143686e-01
2.471800000000000182e+03,5.701000000000000512e-01,6.888290999999999720e-01,7.134414000000000033e-01,5.803612999999999689e-01,6.548810000000000464e-01,7.120533000000000001e-01,6.578867000000000465e-01,6.539361142857142983e-01
2.472039999999999964e+03,5.580549000000000204e-01,6.207572999999999563e-01,6.946286000000000405e-01,6.285553999999999863e-01,6.061029999999999474e-01,6.659812999999999983e-01,6.569580999999999893e-01,6.330055142857142769e-01
2.472289999999999964e+03,5.725683999999999774e-01,5.943844999999999823e-01,5.805951000000000306e-01,6.450190999999999564e-01,5.499245000000000383e-01,6.241552000000000211e-01,5.954173000000000382e-01,5.945805857142857365e-01
2.472529999999999745e+03,5.652578000000000324e-01,6.235530000000000239e-01,6.069113999999999898e-01,6.499355999999999467e-01,5.120989000000000235e-01,6.338797999999999933e-01,6.288650999999999547e-01,6.029287999999999315e-01
2.472769999999999982e+03,4.929334000000000215e-01,5.629543999999999659e-01,6.699606000000000172e-01,5.564101999999999659e-01,6.042904000000000053e-01,6.249508999999999759e-01,6.240250000000000519e-01,5.907892714285714053e-01
2.473019999999999982e+03,6.055599999999999872e-01,6.366296000000000177e-01,5.864616000000000273e-01,6.840254000000000056e-01,6.482367999999999464e-01,6.418793999999999889e-01,6.474195000000000366e-01,6.357446142857143823e-01
2.473259999999999764e+03,6.409692999999999641e-01,6.515699999999999825e-01,7.164175999999999878e-01,6.793761999999999857e-01,6.715904000000000318e-01,7.633064999999999989e-01,7.097124000000000210e-01,6.904203428571429324e-01
2.473500000000000000e+03,6.568180000000000129e-01,6.426722999999999741e-01,7.395631000000000288e-01,6.998092000000000201e-01,8.010408999999999446e-01,6.901987000000000538e-01,7.704123999999999972e-01,7.143592285714285284e-01
2.473750000000000000e+03,7.139210000000000278e-01,6.404938000000000020e-01,7.179056999999999800e-01,6.979495000000000005e-01,7.364416999999999769e-01,7.161471999999999838e-01,7.174059999999999881e-01,7.057521285714286607e-01
2.473990000000000236e+03,7.067890999999999480e-01,6.984213000000000227e-01,7.406791999999999820e-01,7.480788000000000437e-01,7.356675000000000297e-01,7.399940999999999880e-01,6.903768999999999600e-01,7.228581285714285043e-01
2.474230000000000018e+03,7.103698999999999986e-01,7.358881000000000450e-01,7.428139999999999743e-01,7.308653999999999984e-01,7.290233000000000407e-01,6.616383999999999599e-01,6.958195999999999826e-01,7.152026714285714126e-01
2.474479999999999563e+03,6.402244999999999742e-01,6.092834000000000305e-01,6.746136999999999828e-01,7.092642999999999587e-01,7.340948999999999947e-01,6.697594000000000047e-01,6.822713000000000250e-01,6.742159285714286465e-01
2.474720000000000255e+03,6.326338000000000239e-01,6.639817999999999554e-01,6.196403000000000327e-01,6.496159999999999712e-01,6.758397999999999906e-01,6.615351000000000425e-01,6.847742999999999469e-01,6.554315857142857249e-01
2.474960000000000036e+03,5.819733999999999741e-01,5.509456999999999827e-01,5.600136999999999476e-01,6.020786000000000193e-01,5.410277999999999476e-01,6.254610999999999921e-01,5.924063000000000523e-01,5.791295142857143530e-01
2.475210000000000036e+03,4.914152999999999993e-01,5.687685999999999575e-01,4.704690000000000261e-01,5.642707000000000139e-01,5.079264000000000001e-01,5.336239000000000399e-01,4.630099999999999771e-01,5.142119857142858352e-01
2.475449999999999818e+03,4.213508999999999727e-01,4.560802999999999940e-01,5.122552000000000216e-01,5.275071000000000065e-01,4.909468000000000165e-01,5.553970999999999769e-01,5.103320999999999552e-01,4.962670714285714046e-01
2.475699999999999818e+03,4.235363999999999796e-01,4.633094999999999852e-01,4.977599999999999802e-01,4.999225999999999948e-01,4.660487999999999853e-01,4.920947999999999989e-01,4.758966000000000030e-01,4.740812428571428150e-01
