energy,s044,s045,mean
2.463119999999999891e+03,9.711007999999999706e-04,-1.450139999999999936e-02,-6.765149600000000020e-03
2.463360000000000127e+03,-3.030801999999999975e-03,1.424656000000000056e-03,-8.030729999999999596e-04
2.463599999999999909e+03,-2.669119000000000179e-03,-1.450139999999999936e-02,-8.585259499999999336e-03
2.463839999999999691e+03,2.320331000000000130e-03,3.929616000000000359e-03,3.124973500000000244e-03
2.464079999999999927e+03,-7.859974000000000474e-03,-1.366697999999999958e-03,-4.613335999999999999e-03
2.464319999999999709e+03,1.151169999999999971e-02,1.776706000000000119e-02,1.463938000000000045e-02
2.464559999999999945e+03,-2.269087999999999834e-03,5.463809999999999717e-04,-8.613534999999999855e-04
2.464799999999999727e+03,1.025850999999999933e-03,6.701794999999999974e-03,3.863822999999999737e-03
2.465039999999999964e+03,-1.457748000000000030e-02,-3.226530999999999930e-03,-8.902005500000000765e-03
2.465279999999999745e+03,1.163373000000000011e-02,7.375233000000000136e-03,9.504481500000000124e-03
2.465519999999999982e+03,1.847456999999999919e-02,1.853925000000000017e-02,1.850691000000000142e-02
2.465759999999999764e+03,4.111054000000000271e-03,1.313405999999999949e-02,8.622556999999999444e-03
2.466000000000000000e+03,1.353228000000000070e-02,2.682427000000000075e-02,2.017827500000000246e-02
2.466239999999999782e+03,1.865286999999999848e-02,1.980958999999999845e-02,1.923122999999999846e-02
2.466479999999999563e+03,5.758713000000000373e-03,1.667957999999999941e-02,1.121914649999999902e-02
2.466719999999999800e+03,3.724995000000000042e-03,3.033399999999999899e-03,3.379197500000000187e-03
2.466960000000000036e+03,1.808024000000000089e-02,2.143528999999999921e-02,1.975776500000000005e-02
2.467200000000000273e+03,1.713148999999999922e-02,2.559416999999999942e-02,2.136282999999999932e-02
2.467449999999999818e+03,2.651451999999999976e-02,6.010647000000000212e-02,4.331049500000000441e-02
2.467690000000000055e+03,2.287430999999999839e-02,5.468250999999999667e-02,3.877840999999999927e-02
2.467929999999999836e+03,5.815362999999999782e-02,1.881452999999999945e-02,3.848407999999999690e-02
2.468170000000000073e+03,1.199324999999999974e-01,7.473090999999999762e-02,9.733170499999999059e-02
2.468409999999999854e+03,2.189408999999999939e-01,2.390667999999999960e-01,2.290038500000000088e-01
2.468649999999999636e+03,2.693425999999999876e-01,2.957209000000000088e-01,2.825317499999999704e-01
2.468889999999999873e+03,2.535586000000000229e-01,3.487070999999999921e-01,3.011328500000000075e-01
2.469139999999999873e+03,2.463325000000000098e-01,2.397079000000000015e-01,2.430202000000000195e-01
2.469380000000000109e+03,1.044757000000000047e-01,1.416014999999999913e-01,1.230385999999999980e-01
2.469619999999999891e+03,1.059169999999999973e-01,1.462594999999999867e-01,1.260882499999999851e-01
2.469860000000000127e+03,1.761077000000000059e-01,1.695503999999999900e-01,1.728290499999999841e-01
2.470099999999999909e+03,2.542382000000000253e-01,1.912028000000000061e-01,2.227205000000000157e-01
2.470349999999999909e+03,4.689555999999999725e-01,3.794369000000000214e-01,4.241962499999999969e-01
2.470590000000000146e+03,4.941252999999999895e-01,6.044751000000000429e-01,5.493002000000000162e-01
2.470829999999999927e+03,6.289907000000000137e-01,6.024448000000000025e-01,6.157177499999999526e-01
2.471070000000000164e+03,6.303665999999999991e-01,7.094804999999999584e-01,6.699235500000000343e-01
2.471320000000000164e+03,7.889239999999999586e-01,7.669386999999999732e-01,7.779313500000000214e-01
2.471560000000000400e+03,5.825194000000000205e-01,7.104977000000000098e-01,6.465085500000000707e-01
2.471800000000000182e+03,6.506680999999999715e-01,6.849494000000000415e-01,6.678087500000000620e-01
2.472039999999999964e+03,5.865628999999999982e-01,6.351390000000000091e-01,6.108509500000000036e-01
2.472289999999999964e+03,5.741945000000000521e-01,6.020704000000000056e-01,5.881324500000000288e-01
2.472529999999999745e+03,7.162517000000000467e-01,5.951442999999999595e-01,6.556980000000000031e-01
2.472769999999999982e+03,5.849636999999999754e-01,5.787326000000000414e-01,5.818481500000000084e-01
2.473019999999999982e+03,6.585617000000000276e-01,5.317146000000000372e-01,5.951381500000000324e-01
2.473259999999999764e+03,6.066974000000000533e-01,6.824731000000000547e-01,6.445852499999999985e-01
2.473500000000000000e+03,5.941109999999999447e-01,6.016820000000000501e-01,5.978965000000000529e-01
2.473750000000000000e+03,5.942901999999999907e-01,5.734565000000000357e-01,5.838733499999999577e-01
2.473990000000000236e+03,5.150472000000000383e-01,5.991957999999999451e-01,5.571215000000000472e-01
2.474230000000000018e+03,5.746014999999999873e-01,6.311006999999999589e-01,6.028510999999999731e-01
2.474479999999999563e+03,5.160183999999999882e-01,5.519119000000000108e-01,5.339651499999999995e-01
2.474720000000000255e+03,5.498326999999999520e-01,6.070048999999999584e-01,5.784187999999998997e-01
2.474960000000000036e+03,4.324204999999999854e-01,4.054616999999999805e-01,4.189410999999999552e-01
2.475210000000000036e+03,3.985582999999999765e-01,5.395204999999999584e-01,4.690393999999999952e-01
2.475449999999999818e+03,4.320149999999999824e-01,4.740291999999999839e-01,4.530220999999999831e-01
2.475699999999999818e+03,3.968770999999999827e-01,4.741254999999999775e-01,4.355012999999999801e-01
2.475940000000000055e+03,4.275181000000000120e-01,5.066912999999999556e-01,4.671046999999999838e-01
2.476190000000000055e+03,3.253477000000000174e-01,4.869927000000000006e-01,4.061702000000000368e-01
2.476430000000000291e+03,5.440973000000000059e-01,5.184927000000000286e-01,5.312950000000000728e-01
2.476670000000000073e+03,5.244450000000000500e-01,5.422000000000000153e-01,5.333225000000000326e-01
2.476919999999999618e+03,5.792138999999999482e-01,5.713529999999999998e-01,5.752834499999999185e-01
2.477159999999999854e+03,6.877050999999999581e-01,6.048141999999999685e-01,6.462596499999999633e-01
