energy,s040,s041,mean
2.463119999999999891e+03,2.522488999999999829e-04,4.067017999999999827e-04,3.294753499999999828e-04
2.463360000000000127e+03,2.448722999999999872e-03,-5.594744999999999926e-03,-1.573011000000000027e-03
2.463599999999999909e+03,-6.019570000000000129e-03,-5.448238000000000213e-03,-5.733903999999999737e-03
2.463839999999999691e+03,-6.420038000000000307e-03,1.353912000000000084e-03,-2.533063000000000328e-03
2.464079999999999927e+03,7.552185999999999795e-04,3.924778999999999768e-03,2.339998799999999657e-03
2.464319999999999709e+03,-3.820619999999999832e-03,2.691916999999999834e-03,-5.643514999999999990e-04
2.464559999999999945e+03,8.248297999999999394e-03,-1.118452999999999982e-02,-1.468116000000000212e-03
2.464799999999999727e+03,4.555739999999999963e-03,1.385020999999999995e-02,9.202975000000000391e-03
2.465039999999999964e+03,-3.753267000000000127e-04,1.624110000000000137e-02,7.932886650000000109e-03
2.465279999999999745e+03,7.878051999999999971e-03,1.196387999999999965e-02,9.920965999999999813e-03
2.465519999999999982e+03,-9.096537999999999337e-05,1.371025000000000021e-02,6.809642309999999928e-03
2.465759999999999764e+03,3.616366000000000198e-03,1.205619999999999956e-02,7.836282999999999443e-03
2.466000000000000000e+03,7.530209999999999855e-03,-5.565744000000000073e-03,9.822329999999998909e-04
2.466239999999999782e+03,-3.935972000000000255e-03,1.512383999999999951e-02,5.593934000000000059e-03
2.466479999999999563e+03,4.592350999999999725e-03,2.395346000000000020e-03,3.493848499999999656e-03
2.466719999999999800e+03,9.404331999999999622e-03,-4.649183999999999782e-03,2.377573999999999920e-03
2.466960000000000036e+03,1.115312000000000074e-02,3.645351000000000147e-02,2.380331500000000197e-02
2.467200000000000273e+03,1.139264999999999983e-03,2.520413000000000167e-02,1.317169750000000104e-02
2.467449999999999818e+03,3.774182999999999705e-02,4.675928000000000029e-02,4.225055499999999520e-02
2.467690000000000055e+03,2.991154999999999856e-02,1.175230000000000025e-02,2.083192500000000114e-02
2.467929999999999836e+03,4.466131999999999741e-02,3.666777000000000231e-02,4.066454499999999639e-02
2.468170000000000073e+03,8.662235000000000074e-02,1.056517000000000012e-01,9.613702500000000095e-02
