energy,s055,s056,s057,s058,s059,mean
2.471070000000000164e+03,3.776265999999999790e-01,3.729886000000000035e-01,4.152131000000000016e-01,4.159498999999999835e-01,3.219628999999999963e-01,3.807482199999999706e-01
2.471320000000000164e+03,2.803402999999999867e-01,3.430578000000000238e-01,3.760143000000000235e-01,3.540337000000000067e-01,4.386603000000000030e-01,3.584212800000000088e-01
2.471560000000000400e+03,3.008369000000000182e-01,3.122630000000000128e-01,3.276711999999999958e-01,4.183462000000000014e-01,3.060136999999999996e-01,3.330262000000000500e-01
2.471800000000000182e+03,3.564689999999999803e-01,3.570991000000000026e-01,3.033532999999999924e-01,2.640550999999999870e-01,3.990457000000000032e-01,3.360044400000000153e-01
2.472039999999999964e+03,3.208068000000000031e-01,3.224522000000000221e-01,3.803098999999999785e-01,3.346926000000000068e-01,4.219461999999999935e-01,3.560415399999999897e-01
2.472289999999999964e+03,3.213830999999999771e-01,2.666624000000000216e-01,3.395953999999999917e-01,3.690624000000000127e-01,4.423214999999999786e-01,3.478049599999999963e-01
2.472529999999999745e+03,3.678064999999999807e-01,2.989156000000000035e-01,3.102333999999999925e-01,3.105694999999999983e-01,3.811241000000000212e-01,3.337298200000000103e-01
2.472769999999999982e+03,2.695304000000000033e-01,3.460820000000000007e-01,2.053696000000000133e-01,3.146866999999999859e-01,3.617189000000000099e-01,2.994775200000000526e-01
2.473019999999999982e+03,3.014124000000000247e-01,3.668752000000000124e-01,2.835117999999999805e-01,3.173174000000000272e-01,4.030584999999999862e-01,3.344350600000000062e-01
2.473259999999999764e+03,3.474486999999999992e-01,3.952562000000000020e-01,2.823254000000000041e-01,3.326120000000000188e-01,3.486002999999999741e-01,3.412485200000000551e-01
2.473500000000000000e+03,3.809023999999999743e-01,3.250127999999999906e-01,2.910958000000000157e-01,3.719123999999999763e-01,3.991488000000000258e-01,3.536144399999999743e-01
2.473750000000000000e+03,3.548183999999999783e-01,3.869754000000000249e-01,3.963147000000000197e-01,3.903321000000000152e-01,4.086073000000000066e-01,3.874095800000000311e-01
2.473990000000000236e+03,2.472553999999999863e-01,2.819639999999999924e-01,2.338776999999999939e-01,3.661284000000000205e-01,3.828216999999999870e-01,3.024094400000000293e-01
2.474230000000000018e+03,3.378705000000000180e-01,3.321329000000000087e-01,2.962234000000000256e-01,3.229501000000000177e-01,3.354836999999999958e-01,3.249321200000000465e-01
2.474479999999999563e+03,3.380676000000000236e-01,2.927628999999999926e-01,3.256900999999999824e-01,2.899687000000000237e-01,2.805817999999999923e-01,3.054142200000000140e-01
2.474720000000000255e+03,3.556332999999999855e-01,3.067937000000000025e-01,2.501413000000000109e-01,3.580444999999999878e-01,3.258241000000000054e-01,3.192873799999999540e-01
2.474960000000000036e+03,3.242485999999999979e-01,3.097850999999999799e-01,2.699697999999999820e-01,2.925421000000000271e-01,1.663227999999999929e-01,2.725736799999999849e-01
2.475210000000000036e+03,3.066805000000000225e-01,3.355871000000000270e-01,3.036176999999999904e-01,2.986791999999999780e-01,2.946958000000000077e-01,3.078520599999999829e-01
2.475449999999999818e+03,2.325759000000000021e-01,3.386113000000000040e-01,3.483780000000000210e-01,2.945927999999999880e-01,3.222104000000000079e-01,3.072736800000000490e-01
2.475699999999999818e+03,2.507395000000000040e-01,3.286483000000000043e-01,3.108805000000000041e-01,3.393565000000000054e-01,2.751027999999999807e-01,3.009455200000000219e-01
2.475940000000000055e+03,2.989268999999999954e-01,2.752433000000000241e-01,3.315419000000000005e-01,2.821673000000000098e-01,2.371454000000000062e-01,2.850049599999999739e-01
2.476190000000000055e+03,3.246476999999999835e-01,3.072758999999999907e-01,2.892419999999999991e-01,2.567472000000000087e-01,3.116079999999999961e-01,2.979041599999999734e-01
2.476430000000000291e+03,2.847798000000000274e-01,3.751649000000000234e-01,3.073659000000000252e-01,2.886043999999999832e-01,3.641301000000000121e-01,3.240090199999999809e-01
2.476670000000000073e+03,3.445074000000000192e-01,3.783888999999999725e-01,3.393780000000000130e-01,3.287989000000000051e-01,2.509310000000000151e-01,3.284008399999999717e-01
2.476919999999999618e+03,4.254132999999999942e-01,4.446037999999999935e-01,4.248739000000000265e-01,3.939017000000000213e-01,4.492505999999999999e-01,4.276086600000000293e-01
2.477159999999999854e+03,3.574915000000000176e-01,5.359806000000000292e-01,4.358112000000000097e-01,4.208555999999999964e-01,3.854653000000000107e-01,4.271208400000000016e-01
2.477409999999999854e+03,5.118156000000000372e-01,4.710724000000000022e-01,4.700559000000000265e-01,5.038097000000000270e-01,5.151004999999999612e-01,4.943708199999999886e-01
2.477650000000000091e+03,4.670500000000000207e-01,5.195568000000000408e-01,5.370085999999999471e-01,5.422367999999999633e-01,5.724852000000000274e-01,5.276674800000000776e-01
2.477900000000000091e+03,5.708663000000000487e-01,6.526283999999999974e-01,5.511435000000000084e-01,5.554881999999999875e-01,5.249540999999999791e-01,5.710161000000000264e-01
2.478139999999999873e+03,5.706715999999999456e-01,5.537311999999999790e-01,5.388623999999999636e-01,6.122935000000000461e-01,5.714453999999999922e-01,5.694008200000000297e-01
2.478389999999999873e+03,5.355225999999999598e-01,6.833766999999999481e-01,5.349365999999999843e-01,5.559602000000000155e-01,5.123569000000000040e-01,5.644305999999998935e-01
2.478630000000000109e+03,5.715871000000000146e-01,5.533702000000000343e-01,6.094644000000000172e-01,5.222059999999999480e-01,5.895367999999999720e-01,5.692329000000000416e-01
2.478880000000000109e+03,6.073842000000000407e-01,4.820302000000000198e-01,5.665109000000000394e-01,4.938387000000000193e-01,5.454101999999999562e-01,5.390348400000000151e-01
2.479119999999999891e+03,5.255547999999999886e-01,5.051409000000000038e-01,5.829480000000000217e-01,5.497307999999999639e-01,5.508083999999999758e-01,5.428365800000000130e-01
2.479369999999999891e+03,6.076196999999999848e-01,5.524829999999999464e-01,5.381057999999999675e-01,4.986621999999999999e-01,6.160246999999999806e-01,5.625790800000000091e-01
2.479620000000000346e+03,6.505621999999999794e-01,5.694242000000000470e-01,6.607342000000000493e-01,6.865478999999999887e-01,7.039081000000000365e-01,6.542353199999999536e-01
2.479860000000000127e+03,7.245662000000000491e-01,7.550455999999999834e-01,6.630941000000000196e-01,7.541974000000000178e-01,7.494555000000000522e-01,7.292717599999999356e-01
2.480109999999999673e+03,8.615671999999999775e-01,8.254093999999999598e-01,7.773624000000000089e-01,8.149511000000000394e-01,8.948255999999999988e-01,8.348231399999999081e-01
2.480349999999999909e+03,1.129550999999999972e+00,9.765395999999999521e-01,9.106035999999999575e-01,1.031026999999999916e+00,1.090449000000000002e+00,1.027634039999999915e+00
2.480599999999999909e+03,1.319391999999999898e+00,1.325158000000000058e+00,1.323871000000000020e+00,1.331169000000000047e+00,1.435877000000000070e+00,1.347093399999999885e+00
2.480850000000000364e+03,1.591255000000000086e+00,1.483114000000000043e+00,1.656287000000000065e+00,1.705561000000000105e+00,1.629140000000000033e+00,1.613071400000000155e+00
2.481090000000000146e+03,2.109207000000000054e+00,2.205483000000000082e+00,2.234062999999999910e+00,2.217983999999999956e+00,2.332910000000000039e+00,2.219929400000000275e+00
2.481339999999999691e+03,3.078399000000000107e+00,3.250560000000000116e+00,3.122148999999999841e+00,3.294264000000000081e+00,3.141664000000000012e+00,3.177407200000000209e+00
