energy,s002,s003,s004,s005,s006,s007,mean
2.463119999999999891e+03,2.099039000000000026e-03,1.375293999999999996e-02,-1.601040999999999923e-02,-7.396152999999999929e-03,-6.584646000000000422e-03,-1.065312000000000030e-02,-4.132058333333333243e-03
2.463360000000000127e+03,-3.356716999999999947e-03,-1.534107000000000005e-02,1.537109000000000045e-02,5.954560000000000235e-03,4.385471000000000161e-03,1.000718999999999914e-02,2.836753999999999925e-03
2.463599999999999909e+03,3.466191999999999884e-03,6.521793000000000121e-04,-5.849214999999999623e-03,1.080039999999999993e-02,5.986077999999999712e-03,-8.725379999999999595e-03,1.055042383333333134e-03
2.463839999999999691e+03,-1.229942000000000014e-02,-4.656956999999999763e-03,-1.371019000000000014e-03,-1.316353999999999962e-02,-5.318118999999999624e-03,-1.802313999999999956e-03,-6.435228166666667748e-03
2.464079999999999927e+03,6.622834000000000186e-03,4.102368999999999807e-03,-1.462616000000000025e-04,3.601123999999999818e-03,2.441484000000000015e-02,3.154292999999999854e-03,6.958199733333334143e-03
2.464319999999999709e+03,3.500314999999999937e-03,5.118753999999999665e-03,-8.431344000000000338e-03,9.754517000000000743e-03,-5.096749999999999718e-03,2.379820999999999846e-03,1.204218833333333500e-03
2.464559999999999945e+03,-1.492215000000000078e-03,-3.783741000000000188e-03,7.385512999999999800e-03,-9.582924999999999733e-04,-1.360845999999999931e-02,1.039954999999999959e-03,-1.902873416666666685e-03
2.464799999999999727e+03,1.459977000000000106e-03,1.555255000000000071e-04,9.051640999999999160e-03,-8.592616000000000837e-03,-4.178412000000000272e-03,4.599551999999999807e-03,4.159445833333331490e-04
2.465039999999999964e+03,-1.573488000000000003e-04,-1.027645999999999941e-02,3.901700000000000133e-03,9.154577000000000547e-03,1.291094999999999916e-02,3.508795000000000208e-04,2.647382950000000314e-03
2.465279999999999745e+03,-6.296526999999999680e-03,2.978779999999999883e-03,1.909873000000000126e-02,3.635686999999999860e-03,-2.501660000000000168e-03,1.715805000000000108e-02,5.678843333333333417e-03
