energy,s042,s043,s051,mean
2.468649999999999636e+03,3.442973999999999757e-01,3.282575999999999827e-01,3.478651999999999855e-01,3.401400666666666850e-01
2.468889999999999873e+03,3.349598999999999771e-01,3.562698999999999727e-01,3.458662000000000125e-01,3.456986666666666541e-01
2.469139999999999873e+03,2.236904999999999866e-01,2.721208999999999989e-01,2.051769999999999983e-01,2.336627999999999761e-01
2.469380000000000109e+03,1.711956000000000033e-01,1.672480000000000078e-01,1.761533000000000126e-01,1.715322999999999987e-01
2.469619999999999891e+03,1.706751999999999991e-01,1.358970999999999929e-01,1.387295000000000056e-01,1.484339333333333510e-01
2.469860000000000127e+03,2.212422000000000000e-01,2.078544999999999976e-01,1.962585000000000024e-01,2.084517333333333333e-01
2.470099999999999909e+03,3.064531999999999812e-01,2.172632999999999925e-01,2.856950999999999796e-01,2.698038666666666141e-01
2.470349999999999909e+03,4.529638000000000275e-01,4.854203999999999741e-01,4.628895000000000093e-01,4.670912333333333000e-01
2.470590000000000146e+03,6.463468999999999465e-01,6.693883000000000472e-01,6.184380000000000432e-01,6.447243999999999753e-01
2.470829999999999927e+03,7.297673999999999550e-01,7.612170999999999799e-01,6.597944000000000031e-01,7.169262999999999053e-01
2.471070000000000164e+03,7.084960000000000147e-01,6.083981000000000527e-01,6.350061999999999651e-01,6.506334333333333442e-01
2.471320000000000164e+03,7.269434999999999647e-01,6.991260000000000252e-01,6.510723999999999956e-01,6.923806333333333285e-01
2.471560000000000400e+03,7.103960000000000274e-01,7.095534999999999481e-01,7.514011000000000440e-01,7.237835333333334509e-01
2.471800000000000182e+03,6.435123000000000371e-01,5.964395999999999587e-01,6.484484999999999832e-01,6.294667999999999930e-01
2.472039999999999964e+03,6.519726000000000132e-01,6.103018000000000054e-01,5.477906000000000164e-01,6.033549999999999747e-01
2.472289999999999964e+03,6.415321000000000495e-01,6.004920000000000258e-01,5.342019000000000073e-01,5.920753333333333979e-01
2.472529999999999745e+03,6.456553999999999904e-01,5.988402000000000447e-01,5.379608000000000168e-01,5.941521333333333876e-01
2.472769999999999982e+03,5.260837000000000430e-01,5.970512999999999515e-01,5.756601000000000079e-01,5.662650333333333341e-01
2.473019999999999982e+03,6.214749999999999996e-01,6.758189999999999475e-01,5.959489999999999510e-01,6.310810000000000031e-01
2.473259999999999764e+03,5.293134999999999923e-01,6.698988999999999638e-01,6.014551000000000203e-01,6.002224999999999921e-01
2.473500000000000000e+03,6.142642000000000380e-01,6.661325999999999636e-01,6.189892000000000172e-01,6.331286666666667839e-01
2.473750000000000000e+03,6.794318999999999775e-01,5.775449000000000277e-01,6.214347999999999539e-01,6.261371999999999494e-01
2.473990000000000236e+03,5.918700999999999546e-01,6.380955000000000377e-01,5.781256999999999646e-01,6.026970999999999856e-01
2.474230000000000018e+03,5.678876000000000479e-01,5.491342000000000168e-01,6.090902999999999734e-01,5.753707000000000127e-01
2.474479999999999563e+03,5.833165000000000155e-01,6.578726999999999769e-01,5.712127000000000177e-01,6.041339666666666330e-01
2.474720000000000255e+03,6.025937000000000099e-01,5.606558000000000375e-01,5.684641999999999751e-01,5.772378999999999705e-01
2.474960000000000036e+03,4.849498999999999893e-01,5.114492999999999956e-01,4.559765000000000068e-01,4.841252333333332936e-01
2.475210000000000036e+03,5.309173000000000364e-01,4.903989999999999738e-01,4.997767000000000182e-01,5.070310000000000095e-01
2.475449999999999818e+03,5.102514000000000216e-01,3.764112000000000013e-01,4.183872000000000146e-01,4.350165999999999755e-01
2.475699999999999818e+03,3.497816000000000258e-01,3.088796999999999793e-01,4.616372000000000253e-01,3.734328333333333805e-01
2.475940000000000055e+03,4.892876999999999921e-01,4.439581000000000222e-01,4.421704000000000190e-01,4.584720666666666777e-01
2.476190000000000055e+03,4.141212000000000226e-01,4.748086999999999724e-01,4.390189999999999926e-01,4.426496333333333477e-01
2.476430000000000291e+03,5.592865999999999671e-01,4.906662999999999997e-01,5.367256999999999723e-01,5.288928666666666834e-01
