energy,s017,s018,s019,s020,s021,s022,s023,s024,mean
2.463119999999999891e+03,-1.090829999999999925e-02,1.817618999999999919e-03,-9.350025000000000523e-04,-5.222614999999999896e-03,-4.338693000000000237e-04,9.352902999999999651e-04,2.627500000000000061e-03,4.943564999999999592e-03,-8.969765625000000958e-04
2.463360000000000127e+03,-6.808047999999999704e-03,-7.973762000000000558e-03,-8.822765999999999682e-04,-6.075821000000000346e-03,-9.880912000000000375e-03,1.384653999999999920e-03,-7.524982999999999846e-03,-6.860904999999999608e-03,-5.577756699999999492e-03
2.463599999999999909e+03,4.564684999999999750e-03,-5.176847000000000046e-03,-4.356971999999999755e-03,-2.521835000000000049e-03,3.416933000000000036e-03,-9.601593999999999754e-03,7.085827000000000271e-03,-1.318253999999999954e-02,-2.471542874999999723e-03
2.463839999999999691e+03,-6.094607999999999623e-03,-5.866834999999999932e-03,4.615199000000000384e-03,1.575035000000000020e-03,8.224540000000000236e-04,-3.146733999999999989e-03,3.403666999999999977e-03,-1.680007999999999925e-04,-6.074778499999996780e-04
2.464079999999999927e+03,-2.031342999999999907e-04,-4.528595000000000168e-04,6.378359999999999586e-03,-5.310065999999999571e-03,-6.263681000000000110e-04,7.884323000000000373e-03,-5.926489000000000062e-03,-5.090034000000000225e-03,-4.182834874999999831e-04
2.464319999999999709e+03,4.343612999999999641e-03,7.845826000000000189e-03,7.361205000000000005e-03,6.542235999999999885e-03,2.306131999999999800e-03,1.006392999999999958e-03,-9.574101000000000443e-04,1.190050999999999956e-02,5.043563112499999807e-03
2.464559999999999945e+03,8.939050000000000468e-03,2.895506999999999855e-03,-3.283399000000000213e-03,8.533222999999999503e-03,8.852294000000000135e-03,2.064968999999999832e-03,5.469723000000000120e-03,-5.278439000000000221e-03,3.524116000000000314e-03
2.464799999999999727e+03,6.166740999999999889e-03,6.911353000000000288e-03,-8.897113999999999370e-03,2.479841999999999897e-03,-4.456663999999999938e-03,-5.273003999999999972e-04,-4.177835000000000402e-03,1.373583999999999916e-02,1.404357824999999914e-03
2.465039999999999964e+03,-3.290500000000000022e-03,1.486338999999999933e-03,7.819606999999999686e-04,4.045858000000000267e-03,-9.768858999999999095e-04,7.519200999999999663e-03,8.497591000000000519e-03,-4.977233999999999652e-03,1.635791225000000123e-03
2.465279999999999745e+03,1.580100999999999988e-03,1.229594999999999994e-02,-8.561620000000000471e-04,-1.967242000000000123e-03,2.708972000000000029e-03,1.185096000000000066e-02,7.150082000000000312e-03,4.593808999999999913e-04,4.152755237499999863e-03
2.465519999999999982e+03,5.353367000000000368e-03,-2.571756000000000129e-03,1.363921000000000057e-02,2.418586000000000021e-04,-9.880912000000000375e-03,4.182947000000000227e-03,7.075467999999999688e-03,-7.724430000000000011e-03,1.289469075000000253e-03
2.465759999999999764e+03,1.628133000000000011e-02,1.784967999999999971e-02,3.969288999999999977e-03,-1.144871000000000083e-02,1.465172000000000002e-02,4.293543000000000359e-03,2.686172000000000126e-03,-4.911773000000000354e-03,5.421406375000000812e-03
2.466000000000000000e+03,3.921609000000000379e-03,2.263227000000000034e-03,4.015414999999999610e-03,6.537069000000000386e-03,-9.880912000000000375e-03,1.213063999999999983e-02,1.743820000000000092e-02,-1.572497000000000066e-04,4.533499787499999968e-03
2.466239999999999782e+03,1.284411000000000060e-02,1.087528999999999926e-02,9.096405999999999589e-03,-1.144871000000000083e-02,1.013443999999999977e-02,-5.853127999999999977e-03,1.466168999999999979e-02,1.869298999999999961e-02,7.375386000000000268e-03
2.466479999999999563e+03,1.271209000000000054e-02,3.674408000000000101e-03,6.231819999999999894e-03,6.741924000000000267e-04,5.528321999999999577e-03,-9.601593999999999754e-03,-7.524982999999999846e-03,-3.243264000000000043e-03,1.056373924999999981e-03
2.466719999999999800e+03,-1.186043999999999987e-02,9.077197000000000390e-03,2.066354000000000107e-02,8.607201999999999562e-03,1.453841999999999982e-02,1.409972999999999956e-02,3.437518999999999774e-04,7.347921000000000313e-03,7.852165237500000061e-03
2.466960000000000036e+03,4.074315000000000228e-03,1.505073999999999995e-02,3.029443000000000066e-02,1.607644999999999907e-02,1.484986999999999939e-02,6.914418000000000300e-03,1.287337000000000030e-02,2.325763000000000136e-02,1.542390287500000103e-02
2.467200000000000273e+03,3.043417999999999991e-03,3.129565000000000125e-02,7.887399999999999273e-03,1.124148999999999982e-02,1.301431999999999936e-02,2.090078000000000075e-02,1.524347000000000028e-02,3.743744999999999712e-02,1.750799725000000071e-02
2.467449999999999818e+03,2.571094999999999978e-02,1.602533000000000082e-02,2.440813999999999831e-02,2.199086000000000096e-02,4.499191999999999775e-02,2.940235000000000071e-02,2.761171999999999932e-02,1.439721000000000056e-02,2.556730999999999934e-02
2.467690000000000055e+03,2.760036000000000087e-02,3.539674000000000292e-02,2.633686000000000013e-02,5.471064999999999783e-03,3.823827999999999949e-02,6.110249999999999709e-02,2.011606000000000158e-02,1.702812000000000076e-02,2.891124812500000044e-02
2.467929999999999836e+03,3.579775999999999792e-02,4.734933999999999671e-02,2.388215999999999950e-02,4.257914000000000143e-02,4.871248000000000244e-02,4.962236999999999898e-02,5.930719000000000268e-02,4.830555999999999739e-02,4.444449999999999790e-02
2.468170000000000073e+03,3.890496000000000232e-02,8.102787000000000184e-02,6.131266999999999967e-02,6.453287000000000606e-02,6.622873999999999428e-02,6.862899000000000083e-02,7.634409000000000334e-02,5.566879999999999745e-02,6.408112374999999639e-02
2.468409999999999854e+03,1.293099000000000054e-01,6.042555000000000148e-02,1.071198000000000011e-01,1.359051000000000009e-01,1.481171000000000015e-01,1.309136999999999940e-01,1.243691999999999992e-01,9.889077000000000284e-02,1.168813900000000017e-01
2.468649999999999636e+03,1.390068999999999888e-01,1.615163000000000015e-01,1.637473000000000123e-01,1.738919999999999910e-01,1.853747000000000034e-01,1.590557999999999972e-01,1.818164999999999920e-01,1.364105999999999930e-01,1.626025124999999905e-01
2.468889999999999873e+03,1.615416000000000074e-01,2.155963999999999936e-01,1.632341999999999960e-01,1.658280000000000032e-01,2.101465999999999890e-01,2.242514999999999925e-01,1.771301000000000125e-01,1.925063999999999942e-01,1.887793500000000124e-01
2.469139999999999873e+03,1.332659999999999956e-01,1.306190999999999880e-01,8.028633999999999771e-02,9.343629999999999991e-02,1.418264999999999942e-01,1.560255000000000114e-01,1.094552000000000025e-01,1.272192000000000045e-01,1.215167674999999975e-01
2.469380000000000109e+03,8.494736999999999427e-02,8.379921999999999371e-02,8.738553000000000293e-02,1.219680999999999960e-01,1.288355999999999946e-01,1.351287999999999934e-01,1.261245000000000005e-01,6.668118000000000656e-02,1.043587874999999943e-01
2.469619999999999891e+03,1.168396000000000018e-01,1.089486999999999955e-01,6.482124999999999693e-02,1.012880000000000030e-01,1.101330999999999977e-01,6.230576000000000170e-02,8.543053000000000452e-02,1.084930999999999951e-01,9.478250500000000300e-02
2.469860000000000127e+03,9.755039000000000071e-02,1.480556000000000094e-01,1.205212999999999979e-01,1.204155999999999976e-01,1.180347999999999953e-01,1.117918999999999996e-01,9.099343000000000015e-02,1.466024999999999967e-01,1.192456900000000014e-01
2.470099999999999909e+03,1.982271999999999923e-01,1.807099000000000066e-01,1.706946000000000019e-01,1.834957999999999867e-01,1.496898000000000117e-01,1.475269999999999915e-01,1.209613999999999967e-01,1.922628000000000115e-01,1.679460624999999929e-01
2.470349999999999909e+03,3.341211000000000042e-01,2.641337999999999742e-01,2.812502000000000058e-01,2.420105999999999924e-01,3.263475000000000126e-01,2.256217000000000084e-01,2.594696000000000224e-01,2.336988999999999872e-01,2.708316749999999939e-01
2.470590000000000146e+03,3.899082999999999855e-01,3.153120999999999841e-01,3.846539999999999959e-01,4.002686999999999773e-01,4.037609999999999810e-01,4.337804000000000104e-01,3.508227999999999902e-01,3.653615000000000057e-01,3.804836000000000329e-01
2.470829999999999927e+03,4.228089999999999904e-01,3.535866999999999760e-01,3.206540999999999975e-01,3.889643999999999879e-01,4.226051000000000113e-01,3.737908999999999815e-01,4.040910999999999809e-01,4.204412000000000149e-01,3.883678125000000203e-01
2.471070000000000164e+03,3.987789999999999946e-01,3.470588000000000006e-01,4.833792000000000089e-01,4.192397999999999958e-01,4.805752999999999830e-01,4.580408000000000257e-01,4.003855000000000053e-01,3.815446000000000115e-01,4.211253750000000240e-01
2.471320000000000164e+03,4.552352000000000065e-01,4.205413000000000068e-01,3.955390999999999768e-01,4.342160999999999937e-01,4.572970000000000090e-01,4.223199000000000258e-01,4.864516999999999869e-01,4.560821999999999932e-01,4.409603125000000068e-01
2.471560000000000400e+03,4.515668999999999933e-01,4.953005999999999798e-01,4.917024999999999868e-01,3.974610000000000087e-01,5.779847999999999653e-01,5.385313000000000461e-01,4.308874999999999789e-01,4.826565999999999912e-01,4.832614000000000076e-01
2.471800000000000182e+03,5.104345000000000132e-01,4.502654999999999852e-01,4.769420999999999800e-01,4.536099000000000103e-01,5.317422000000000537e-01,4.373310000000000253e-01,4.961508000000000029e-01,4.649179999999999979e-01,4.776742499999999669e-01
2.472039999999999964e+03,5.356243000000000531e-01,4.403136999999999746e-01,4.762607999999999842e-01,4.560020000000000184e-01,4.954874000000000223e-01,5.582477000000000134e-01,4.468291999999999820e-01,4.558679999999999954e-01,4.830791374999999777e-01
2.472289999999999964e+03,4.611026999999999765e-01,5.151407999999999543e-01,4.922113000000000183e-01,5.026171999999999862e-01,4.005502000000000229e-01,4.164244999999999752e-01,4.450382999999999978e-01,5.593626000000000431e-01,4.740559500000000037e-01
2.472529999999999745e+03,4.822992999999999864e-01,4.398729000000000111e-01,4.052065000000000250e-01,4.981083000000000038e-01,4.478640999999999872e-01,4.637281999999999793e-01,5.364999999999999769e-01,5.480243999999999671e-01,4.777004624999999782e-01
2.472769999999999982e+03,3.666746000000000172e-01,4.206905000000000228e-01,3.762278000000000011e-01,4.290454000000000212e-01,4.399841999999999920e-01,4.643483999999999945e-01,4.105919000000000096e-01,4.324097000000000079e-01,4.174965625000000014e-01
2.473019999999999982e+03,3.888242000000000087e-01,2.908203999999999789e-01,4.080811999999999773e-01,3.770456999999999836e-01,4.303283999999999998e-01,4.366904999999999815e-01,3.943499999999999783e-01,4.442671999999999732e-01,3.963009500000000407e-01
2.473259999999999764e+03,4.130163000000000029e-01,4.026871000000000200e-01,3.539267999999999859e-01,3.867910999999999988e-01,4.100750000000000228e-01,4.534637999999999725e-01,4.491357000000000266e-01,3.747306000000000248e-01,4.054783000000000137e-01
2.473500000000000000e+03,4.398874999999999869e-01,4.530024999999999746e-01,4.407328999999999830e-01,3.874196999999999780e-01,4.067174000000000067e-01,4.092413999999999774e-01,3.857127000000000194e-01,4.157931000000000266e-01,4.173134000000000010e-01
2.473750000000000000e+03,4.269418999999999853e-01,2.898261999999999783e-01,4.415113999999999983e-01,4.067894000000000232e-01,4.515484000000000164e-01,4.059108000000000160e-01,4.661390999999999729e-01,4.206571000000000060e-01,4.136655375000000134e-01
2.473990000000000236e+03,3.132137999999999867e-01,3.308579999999999854e-01,3.293592000000000186e-01,3.739838999999999802e-01,3.313055999999999779e-01,3.715272000000000019e-01,4.100902000000000158e-01,3.619358999999999771e-01,3.527842249999999513e-01
2.474230000000000018e+03,4.586149999999999949e-01,3.246940999999999855e-01,3.648473999999999884e-01,3.894656000000000229e-01,4.149442999999999881e-01,3.599052999999999836e-01,3.407256000000000173e-01,4.031813000000000202e-01,3.820473249999999932e-01
2.474479999999999563e+03,3.652687000000000017e-01,3.998159000000000018e-01,3.875770000000000048e-01,4.012201000000000239e-01,2.892802999999999902e-01,4.243493999999999877e-01,3.831910000000000038e-01,3.983735999999999944e-01,3.811345000000000427e-01
2.474720000000000255e+03,3.643828000000000067e-01,3.935220999999999858e-01,3.554816000000000087e-01,3.866410000000000124e-01,3.222188999999999748e-01,3.484088000000000185e-01,4.046834999999999738e-01,3.320902000000000021e-01,3.634286125000000256e-01
2.474960000000000036e+03,3.213090000000000113e-01,3.622332999999999803e-01,3.451344000000000078e-01,3.664968000000000115e-01,3.323271999999999893e-01,2.913008999999999737e-01,3.693128999999999995e-01,3.400348000000000259e-01,3.410186625000000138e-01
2.475210000000000036e+03,3.600432000000000077e-01,2.991113000000000244e-01,3.068026999999999838e-01,3.293062999999999962e-01,3.321419999999999928e-01,3.432258999999999727e-01,2.776482000000000117e-01,2.684294999999999876e-01,3.145886374999999902e-01
2.475449999999999818e+03,3.025514000000000259e-01,3.165537999999999963e-01,2.753006000000000064e-01,3.033890000000000198e-01,3.549015999999999837e-01,3.138885000000000147e-01,3.336656000000000066e-01,3.467203999999999842e-01,3.183713625000000325e-01
2.475699999999999818e+03,2.964008000000000198e-01,3.029826999999999937e-01,2.591259000000000201e-01,3.417949000000000126e-01,3.255953999999999793e-01,2.660464000000000162e-01,3.355439000000000060e-01,3.133268000000000164e-01,3.051020999999999872e-01
2.475940000000000055e+03,3.024711999999999956e-01,3.003866000000000036e-01,2.901554000000000078e-01,2.774248999999999743e-01,2.925829999999999820e-01,3.674073999999999951e-01,2.874677999999999956e-01,3.052798999999999929e-01,3.028970249999999864e-01
2.476190000000000055e+03,4.091048999999999936e-01,2.609419000000000044e-01,2.873323999999999878e-01,3.697447999999999846e-01,2.924934000000000145e-01,3.265795000000000226e-01,3.786793999999999993e-01,3.460544999999999871e-01,3.338663500000000339e-01
2.476430000000000291e+03,4.029634999999999745e-01,4.545551999999999926e-01,3.421596000000000082e-01,3.238383000000000234e-01,3.203436000000000061e-01,3.248962000000000239e-01,4.175743000000000094e-01,3.700834000000000068e-01,3.695517624999999917e-01
2.476670000000000073e+03,4.202542000000000222e-01,3.831124000000000196e-01,3.894681999999999866e-01,4.086526999999999799e-01,4.182138000000000244e-01,4.274337000000000275e-01,3.457795000000000174e-01,4.345633999999999886e-01,4.034347374999999736e-01
2.476919999999999618e+03,4.084806999999999744e-01,4.737160000000000259e-01,3.791628000000000220e-01,4.852728000000000042e-01,4.345217000000000107e-01,4.471547000000000160e-01,4.483757999999999910e-01,4.792785999999999991e-01,4.444953874999999499e-01
2.477159999999999854e+03,5.207095000000000473e-01,4.567277000000000142e-01,4.849851000000000023e-01,5.031657999999999964e-01,4.056046999999999847e-01,4.510289000000000104e-01,4.753299999999999748e-01,4.238121999999999723e-01,4.651704875000000072e-01
2.477409999999999854e+03,5.912787999999999933e-01,3.968811999999999895e-01,5.470568999999999571e-01,4.791463999999999723e-01,5.449294999999999556e-01,5.330217999999999900e-01,5.286387000000000169e-01,5.458022999999999625e-01,5.208444500000000144e-01
2.477650000000000091e+03,6.226717999999999975e-01,5.362287000000000026e-01,5.665421000000000484e-01,5.851216000000000195e-01,5.710579999999999545e-01,5.745322000000000484e-01,5.978917000000000259e-01,6.192083000000000448e-01,5.841568000000000316e-01
