energy,s035,s036,s037,s038,mean
2.463119999999999891e+03,-1.772361000000000075e-03,3.476697000000000164e-04,6.156977000000000110e-03,1.721934000000000051e-03,1.613554924999999890e-03
2.463360000000000127e+03,-6.981946000000000159e-03,2.448047000000000070e-03,-2.584924000000000163e-03,-4.095246999999999776e-03,-2.803517499999999898e-03
2.463599999999999909e+03,4.352907999999999951e-03,-7.578071999999999933e-03,-1.316043000000000074e-02,-1.240575000000000011e-02,-7.197835999999999991e-03
2.463839999999999691e+03,-2.794289000000000148e-03,8.197674000000000280e-04,8.772233000000000808e-03,1.165766000000000024e-02,4.613842850000000016e-03
2.464079999999999927e+03,-3.969786999999999795e-03,-1.503652999999999977e-03,-4.992520000000000291e-03,1.277615000000000001e-02,5.775475000000000400e-04
2.464319999999999709e+03,3.385173000000000001e-03,-1.153167000000000081e-02,1.131997000000000038e-02,-9.270932000000000825e-03,-1.524364750000000313e-03
2.464559999999999945e+03,1.059847000000000046e-02,9.334181000000000422e-03,-1.108859000000000060e-02,-7.322509999999999956e-03,3.803877500000005154e-04
2.464799999999999727e+03,-2.818171999999999865e-03,7.663731000000000015e-03,5.577284000000000061e-03,6.938704000000000399e-03,4.340386750000000370e-03
2.465039999999999964e+03,-1.059980999999999944e-02,2.029432000000000122e-04,1.268153999999999983e-02,3.380850999999999822e-03,1.416381049999999994e-03
2.465279999999999745e+03,3.698929000000000106e-03,9.838315000000000254e-03,9.451479000000000477e-03,8.192622999999999572e-03,7.795336500000000536e-03
2.465519999999999982e+03,-3.411907999999999955e-03,1.299225000000000033e-02,9.769645999999999886e-03,8.957770999999999789e-03,7.076939749999999578e-03
2.465759999999999764e+03,2.307098000000000048e-03,1.799941999999999862e-02,-2.606606000000000027e-03,5.670129999999999788e-03,5.842510499999999281e-03
2.466000000000000000e+03,-5.388590000000000393e-03,-2.200921000000000214e-03,3.241859000000000147e-03,1.516191000000000066e-03,-7.078652500000000986e-04
2.466239999999999782e+03,4.535779999999999673e-03,1.043918999999999923e-02,1.405622999999999942e-02,-7.761272999999999957e-03,5.317481750000000243e-03
2.466479999999999563e+03,1.286251000000000061e-02,2.722420999999999869e-02,1.550354999999999962e-02,1.938168000000000096e-03,1.438210949999999856e-02
2.466719999999999800e+03,6.236705000000000373e-03,1.506257000000000082e-02,4.536547999999999969e-02,2.716653000000000123e-02,2.345782124999999663e-02
2.466960000000000036e+03,-1.633600000000000026e-03,6.156008999999999613e-03,1.909469000000000097e-02,1.866877000000000120e-02,1.057146725000000093e-02
2.467200000000000273e+03,2.080163000000000151e-02,2.362291000000000044e-02,1.189845999999999959e-02,5.014700000000000407e-03,1.533442499999999875e-02
2.467449999999999818e+03,2.603654000000000038e-02,3.215943999999999747e-02,2.541722000000000078e-02,3.331670999999999938e-02,2.923247749999999950e-02
2.467690000000000055e+03,3.810420999999999947e-02,4.025391999999999859e-02,3.604824000000000223e-02,4.033487999999999657e-02,3.868531249999999921e-02
2.467929999999999836e+03,4.852589999999999681e-02,8.061419999999999697e-02,4.224420999999999732e-02,5.106249999999999678e-02,5.561170249999999871e-02
2.468170000000000073e+03,1.451262000000000107e-01,1.293081000000000091e-01,1.312600999999999907e-01,1.145724999999999938e-01,1.300667249999999942e-01
2.468409999999999854e+03,2.089707000000000092e-01,2.167330000000000090e-01,2.100043000000000049e-01,2.072553000000000034e-01,2.107408250000000205e-01
2.468649999999999636e+03,2.688535000000000230e-01,3.731573999999999725e-01,2.604691000000000090e-01,2.596376000000000239e-01,2.905294000000000487e-01
2.468889999999999873e+03,3.156458999999999793e-01,2.674198999999999882e-01,2.393077999999999872e-01,2.532074000000000269e-01,2.688952499999999746e-01
2.469139999999999873e+03,2.031273000000000106e-01,2.686829000000000023e-01,1.961057999999999968e-01,1.970793999999999879e-01,2.162488499999999925e-01
2.469380000000000109e+03,1.483550999999999898e-01,1.129069000000000045e-01,1.105870999999999937e-01,1.438601999999999936e-01,1.289273249999999815e-01
2.469619999999999891e+03,1.502304999999999890e-01,1.696670999999999874e-01,1.409881000000000051e-01,1.468787000000000009e-01,1.519410999999999956e-01
2.469860000000000127e+03,1.417869999999999964e-01,1.573093000000000130e-01,1.867032999999999887e-01,1.138244999999999951e-01,1.499060249999999983e-01
2.470099999999999909e+03,3.127622999999999931e-01,2.812469000000000219e-01,2.563038999999999734e-01,2.409797999999999940e-01,2.728232250000000025e-01
2.470349999999999909e+03,4.142764999999999920e-01,4.312281000000000031e-01,4.539733000000000240e-01,3.528593999999999897e-01,4.130843249999999744e-01
2.470590000000000146e+03,6.481251999999999569e-01,5.559509000000000256e-01,5.117175000000000473e-01,5.191251000000000060e-01,5.587296750000000367e-01
2.470829999999999927e+03,6.832629000000000064e-01,6.197532000000000041e-01,6.172969999999999846e-01,5.375450000000000506e-01,6.144645250000000392e-01
2.471070000000000164e+03,6.843278000000000416e-01,6.065428000000000486e-01,6.750321999999999711e-01,6.504769000000000245e-01,6.540949249999999937e-01
2.471320000000000164e+03,7.197616999999999488e-01,6.429951999999999890e-01,5.758010000000000073e-01,5.322521000000000058e-01,6.177025000000000432e-01
2.471560000000000400e+03,6.801688000000000178e-01,6.961230000000000473e-01,6.081729000000000163e-01,6.296703999999999635e-01,6.535337750000000945e-01
2.471800000000000182e+03,6.144741000000000231e-01,5.322772000000000059e-01,6.728872999999999660e-01,6.200944000000000456e-01,6.099332499999999824e-01
2.472039999999999964e+03,5.574000000000000066e-01,6.835923000000000416e-01,5.068276000000000447e-01,5.219224999999999559e-01,5.674356000000000400e-01
2.472289999999999964e+03,5.253400000000000292e-01,6.304383000000000070e-01,6.237525999999999904e-01,6.600576999999999694e-01,6.098971499999999990e-01
2.472529999999999745e+03,5.993490000000000206e-01,5.106064999999999632e-01,4.997522999999999826e-01,5.583660000000000290e-01,5.420184499999999295e-01
2.472769999999999982e+03,5.423272000000000093e-01,5.538904999999999523e-01,4.998137999999999748e-01,5.469855999999999607e-01,5.357542749999999465e-01
2.473019999999999982e+03,5.066507999999999567e-01,6.287428999999999935e-01,5.762878999999999641e-01,5.640057000000000542e-01,5.689218249999999921e-01
2.473259999999999764e+03,5.532907000000000242e-01,6.270483000000000029e-01,4.738885999999999932e-01,5.541230000000000322e-01,5.520876500000000409e-01
2.473500000000000000e+03,6.285587999999999731e-01,6.719277000000000166e-01,5.728467000000000420e-01,5.479730999999999908e-01,6.053265749999999779e-01
2.473750000000000000e+03,5.642466999999999899e-01,6.114579999999999460e-01,5.357513999999999887e-01,5.837094000000000449e-01,5.737913749999999924e-01
2.473990000000000236e+03,6.132811999999999708e-01,5.848033000000000259e-01,5.637284999999999657e-01,5.816375999999999769e-01,5.858626500000000403e-01
2.474230000000000018e+03,5.979651999999999745e-01,6.523322000000000287e-01,4.692574999999999941e-01,5.104147999999999463e-01,5.574924249999999581e-01
2.474479999999999563e+03,5.012320999999999582e-01,5.387530999999999848e-01,4.745150000000000201e-01,4.948899999999999966e-01,5.023475499999999760e-01
2.474720000000000255e+03,4.917343000000000131e-01,5.022659999999999902e-01,5.554130999999999929e-01,4.835241000000000122e-01,5.082343750000000160e-01
2.474960000000000036e+03,4.630292999999999770e-01,5.517678000000000305e-01,3.861821999999999755e-01,2.891688000000000036e-01,4.225370250000000105e-01
2.475210000000000036e+03,4.778355000000000241e-01,5.024283000000000499e-01,3.680824999999999791e-01,3.792118999999999907e-01,4.318895500000000665e-01
2.475449999999999818e+03,4.798968000000000123e-01,3.761916000000000149e-01,4.078582000000000041e-01,4.034893999999999981e-01,4.168589999999999796e-01
2.475699999999999818e+03,4.541038000000000019e-01,3.955447000000000268e-01,3.334464999999999790e-01,3.698281999999999958e-01,3.882307999999999870e-01
2.475940000000000055e+03,4.534395999999999982e-01,4.881087000000000065e-01,4.114225000000000243e-01,4.659258000000000011e-01,4.547241499999999936e-01
2.476190000000000055e+03,4.662437999999999860e-01,4.842339999999999978e-01,4.249947000000000030e-01,4.586587999999999776e-01,4.585328250000000327e-01
2.476430000000000291e+03,4.868688999999999933e-01,4.600641999999999787e-01,4.401086000000000165e-01,4.680024999999999880e-01,4.637610500000000080e-01
2.476670000000000073e+03,5.103857000000000532e-01,6.039396000000000209e-01,5.307271999999999545e-01,5.165638999999999648e-01,5.404040999999999428e-01
2.476919999999999618e+03,6.139440999999999926e-01,5.990286000000000222e-01,5.759961000000000109e-01,5.991012999999999478e-01,5.970175249999999378e-01
2.477159999999999854e+03,5.626379000000000241e-01,6.076747000000000121e-01,5.351835000000000342e-01,6.152187000000000072e-01,5.801787000000000472e-01
2.477409999999999854e+03,7.010207000000000521e-01,6.255195000000000061e-01,6.754485999999999546e-01,6.486870000000000136e-01,6.626689500000000344e-01
2.477650000000000091e+03,6.370470000000000299e-01,8.061662000000000550e-01,7.002327000000000412e-01,8.012289999999999690e-01,7.361687249999999683e-01
2.477900000000000091e+03,7.273173000000000554e-01,7.698074000000000305e-01,6.979182999999999915e-01,6.662211999999999579e-01,7.153160499999999811e-01
2.478139999999999873e+03,7.126597999999999544e-01,7.058073000000000263e-01,7.957007999999999859e-01,7.699719999999999898e-01,7.460349750000000446e-01
2.478389999999999873e+03,7.274243999999999710e-01,7.403942999999999497e-01,7.125685000000000491e-01,8.054095000000000004e-01,7.464491750000000758e-01
2.478630000000000109e+03,7.537587000000000037e-01,7.081674999999999498e-01,7.372663999999999884e-01,7.288042000000000131e-01,7.319991999999999610e-01
2.478880000000000109e+03,7.351185999999999554e-01,7.001444000000000001e-01,6.902825999999999684e-01,6.790534999999999766e-01,7.011497749999999751e-01
2.479119999999999891e+03,7.443819999999999881e-01,7.350219999999999532e-01,6.762475000000000014e-01,7.468460999999999572e-01,7.256243999999999472e-01
2.479369999999999891e+03,6.896527000000000074e-01,7.203578999999999954e-01,7.660447000000000228e-01,6.030039000000000371e-01,6.947648000000000712e-01
2.479620000000000346e+03,8.175056000000000545e-01,8.604633999999999894e-01,7.425178999999999530e-01,7.598289999999999766e-01,7.950789750000000211e-01
2.479860000000000127e+03,8.168313000000000379e-01,7.944293000000000049e-01,8.197001999999999899e-01,7.258200999999999681e-01,7.891952250000000557e-01
2.480109999999999673e+03,8.880392000000000285e-01,8.989201999999999471e-01,8.348695999999999895e-01,8.347453000000000234e-01,8.641435749999999416e-01
2.480349999999999909e+03,1.025590000000000002e+00,1.131545999999999941e+00,1.015776999999999930e+00,1.123737999999999904e+00,1.074162749999999944e+00
2.480599999999999909e+03,1.172498999999999958e+00,1.113820000000000032e+00,1.237001000000000017e+00,1.194703000000000070e+00,1.179505750000000130e+00
2.480850000000000364e+03,1.557544999999999957e+00,1.567631999999999914e+00,1.506650999999999962e+00,1.449659000000000031e+00,1.520371749999999800e+00
2.481090000000000146e+03,1.967646000000000006e+00,1.897696000000000049e+00,1.880603999999999942e+00,2.041011999999999826e+00,1.946739500000000067e+00
2.481339999999999691e+03,2.690456999999999876e+00,2.681210999999999789e+00,2.552227999999999941e+00,2.488776999999999795e+00,2.603168249999999517e+00
2.481579999999999927e+03,3.301289000000000140e+00,3.568735000000000213e+00,3.715695000000000192e+00,3.388287000000000049e+00,3.493501500000000259e+00
2.481829999999999927e+03,3.943357999999999919e+00,4.152410999999999852e+00,4.255911000000000222e+00,4.010712999999999973e+00,4.090598250000000213e+00
2.482079999999999927e+03,4.100323999999999636e+00,4.154862999999999751e+00,4.084305999999999770e+00,4.091032000000000224e+00,4.107631249999999845e+00
2.482320000000000164e+03,3.927805000000000213e+00,4.057877999999999652e+00,3.833238999999999841e+00,3.855688999999999922e+00,3.918652750000000129e+00
2.482570000000000164e+03,3.526155000000000150e+00,3.703453999999999802e+00,3.400176000000000087e+00,3.283614000000000033e+00,3.478349750000000018e+00
2.482819999999999709e+03,3.102669000000000121e+00,2.968999000000000166e+00,3.001968000000000192e+00,3.087457000000000118e+00,3.040273250000000260e+00
2.483059999999999945e+03,2.518657000000000146e+00,2.740200000000000191e+00,2.429822999999999844e+00,2.508246000000000198e+00,2.549231500000000317e+00
2.483309999999999945e+03,2.020182000000000144e+00,2.030133000000000187e+00,1.930620999999999921e+00,1.932919000000000054e+00,1.978463749999999965e+00
2.483560000000000400e+03,1.680601999999999929e+00,1.725527000000000033e+00,1.566173000000000037e+00,1.613043999999999922e+00,1.646336499999999869e+00
2.483809999999999945e+03,1.312192999999999943e+00,1.515184000000000086e+00,1.272958999999999952e+00,1.235635999999999957e+00,1.333992999999999984e+00
2.484049999999999727e+03,1.230693999999999955e+00,1.125138999999999889e+00,1.275074000000000041e+00,1.022180000000000089e+00,1.163271749999999827e+00
2.484300000000000182e+03,1.068435000000000024e+00,1.171256999999999993e+00,1.231217000000000006e+00,1.022788999999999948e+00,1.123424500000000048e+00
2.484550000000000182e+03,1.133996999999999922e+00,1.064243000000000050e+00,1.022161000000000097e+00,1.161426999999999987e+00,1.095457000000000125e+00
2.484799999999999727e+03,1.092267000000000099e+00,1.062400000000000011e+00,1.026010000000000089e+00,1.010775999999999897e+00,1.047863250000000024e+00
2.485039999999999964e+03,1.059290999999999983e+00,9.746854000000000351e-01,1.010637999999999925e+00,9.479478999999999544e-01,9.981405750000000854e-01
2.485289999999999964e+03,9.607470000000000176e-01,1.062314999999999898e+00,1.045012999999999970e+00,9.246906999999999766e-01,9.981914249999999100e-01
2.485539999999999964e+03,1.039881999999999973e+00,1.030485000000000095e+00,9.326828999999999814e-01,1.004520999999999997e+00,1.001892725000000040e+00
2.485789999999999964e+03,8.257733000000000434e-01,9.273905999999999539e-01,8.552980000000000027e-01,9.097545999999999689e-01,8.795541249999999645e-01
2.486029999999999745e+03,9.613707999999999698e-01,1.005827999999999944e+00,9.462167999999999690e-01,8.395504999999999773e-01,9.382415249999999096e-01
2.486279999999999745e+03,9.601671999999999985e-01,8.498250999999999999e-01,8.827635000000000343e-01,9.888962999999999504e-01,9.204130249999999958e-01
2.486530000000000200e+03,8.877745999999999693e-01,8.514836000000000071e-01,8.781120999999999510e-01,7.340818999999999539e-01,8.378630500000000536e-01
2.486780000000000200e+03,9.451252999999999460e-01,9.077583000000000180e-01,8.325215000000000254e-01,7.453532999999999964e-01,8.576896000000000519e-01
2.487029999999999745e+03,8.146383999999999848e-01,8.915775000000000228e-01,9.034470000000000001e-01,8.917910999999999477e-01,8.753634999999999611e-01
2.487280000000000200e+03,8.399769999999999737e-01,8.693581999999999699e-01,7.862706000000000417e-01,7.436186000000000185e-01,8.098060999999999732e-01
2.487519999999999982e+03,8.919839999999999991e-01,6.789619999999999544e-01,7.936902000000000124e-01,8.482880000000000420e-01,8.032310500000000575e-01
2.487769999999999982e+03,7.585857000000000294e-01,7.923101000000000171e-01,8.760415000000000285e-01,7.373085999999999807e-01,7.910614750000000139e-01
2.488019999999999982e+03,8.893185000000000118e-01,9.016418000000000488e-01,8.241414999999999713e-01,8.559362999999999833e-01,8.677595250000000870e-01
2.488269999999999982e+03,7.626062000000000118e-01,9.973229000000000122e-01,7.019611999999999519e-01,8.176227999999999829e-01,8.198782749999999897e-01
2.488519999999999982e+03,9.313122000000000344e-01,8.422768999999999950e-01,8.317111999999999838e-01,7.490189000000000430e-01,8.385797999999999863e-01
2.488769999999999982e+03,8.310476999999999448e-01,8.769489000000000312e-01,7.951757000000000408e-01,9.336044000000000009e-01,8.591941750000000599e-01
2.489019999999999982e+03,8.810508000000000228e-01,7.707853999999999539e-01,8.726129999999999720e-01,9.066632000000000025e-01,8.577780999999999878e-01
2.489269999999999982e+03,9.279787000000000452e-01,9.017125999999999753e-01,9.458716999999999819e-01,8.667078999999999755e-01,9.105677249999999390e-01
