energy,s004,s005,s006,s007,s008,s009,s010,mean
2.465519999999999982e+03,-7.588634000000000351e-03,1.533295999999999965e-02,-1.703382999999999980e-02,1.211504000000000053e-02,1.991853000000000026e-02,7.117057000000000418e-03,1.799836000000000144e-02,6.837069000000000306e-03
2.465759999999999764e+03,1.536292000000000040e-02,1.958253999999999898e-02,1.383910000000000001e-02,2.548417000000000043e-02,1.683669000000000138e-02,-6.222367999999999823e-03,6.203329999999999955e-03,1.301234028571428454e-02
2.466000000000000000e+03,3.072284999999999947e-02,1.090234999999999989e-02,2.834135000000000126e-02,2.582461999999999952e-02,1.536444999999999998e-02,1.411665999999999963e-02,1.072994000000000031e-02,1.942888857142857292e-02
2.466239999999999782e+03,-7.011374000000000339e-04,1.290623999999999938e-02,1.560290999999999935e-02,1.264207999999999998e-02,7.310197000000000049e-03,-8.094069000000000610e-03,1.790332000000000034e-02,8.224220085714285464e-03
2.466479999999999563e+03,1.094653999999999940e-02,1.569132000000000166e-02,1.019133000000000018e-02,1.918020999999999962e-02,6.761895999999999879e-03,2.472765000000000032e-02,2.981156999999999904e-02,1.675864514285714188e-02
2.466719999999999800e+03,1.373841999999999945e-02,2.588243999999999961e-02,1.059351000000000043e-02,1.634524000000000046e-02,7.802670999999999739e-03,2.487893000000000049e-02,3.147637999999999825e-02,1.867394157142857058e-02
2.466960000000000036e+03,6.018671999999999911e-02,4.655539999999999679e-02,2.477876999999999857e-02,2.460504999999999984e-02,2.172353000000000131e-02,-9.190973999999999325e-03,3.251857999999999832e-02,2.873958228571428172e-02
2.467200000000000273e+03,3.115131000000000150e-02,1.687189000000000050e-02,7.349548000000000018e-03,2.794307000000000041e-02,-1.348168999999999930e-02,4.391397999999999829e-02,3.301335999999999854e-02,2.096592399999999690e-02
2.467449999999999818e+03,1.444373000000000011e-02,-1.212923999999999947e-02,6.978177000000000338e-03,2.844042999999999918e-02,2.375845999999999861e-02,3.280167999999999973e-02,4.039571000000000134e-02,1.924127814285714333e-02
2.467690000000000055e+03,4.918324999999999780e-02,4.955854999999999982e-02,3.815960000000000185e-02,3.222814999999999708e-02,3.818550999999999890e-02,2.307456999999999911e-02,2.341748000000000093e-02,3.625815857142856979e-02
2.467929999999999836e+03,7.902012999999999399e-02,8.938007000000000590e-02,9.849584999999999591e-02,3.884599999999999859e-02,5.049092000000000163e-02,6.436777999999999944e-02,5.902687000000000211e-02,6.851823142857142723e-02
2.468170000000000073e+03,7.376749999999999974e-02,1.338453000000000004e-01,8.672417999999999794e-02,1.105045999999999945e-01,1.235667000000000015e-01,1.117887000000000047e-01,8.273751000000000022e-02,1.032763557142857003e-01
2.468409999999999854e+03,1.768442000000000069e-01,2.230550000000000033e-01,1.976114999999999955e-01,1.971373999999999904e-01,1.282506999999999953e-01,1.887447999999999904e-01,1.211447999999999969e-01,1.761126285714285644e-01
2.468649999999999636e+03,2.051680999999999921e-01,3.479560999999999904e-01,2.734294999999999920e-01,1.785075000000000134e-01,2.216393000000000113e-01,2.559789000000000092e-01,1.644091000000000025e-01,2.352983571428571286e-01
