energy,s050,mean
2.463119999999999891e+03,-5.112247000000000319e-03,-5.112247000000000319e-03
2.463360000000000127e+03,3.264791999999999868e-03,3.264791999999999868e-03
2.463599999999999909e+03,-4.760730000000000343e-03,-4.760730000000000343e-03
2.463839999999999691e+03,-2.434317000000000078e-03,-2.434317000000000078e-03
2.464079999999999927e+03,-1.197876999999999970e-02,-1.197876999999999970e-02
2.464319999999999709e+03,2.124474999999999975e-02,2.124474999999999975e-02
2.464559999999999945e+03,1.150342000000000031e-02,1.150342000000000031e-02
2.464799999999999727e+03,-1.172689000000000023e-02,-1.172689000000000023e-02
2.465039999999999964e+03,-5.912363999999999814e-03,-5.912363999999999814e-03
2.465279999999999745e+03,-2.834226000000000020e-03,-2.834226000000000020e-03
2.465519999999999982e+03,2.101375999999999938e-02,2.101375999999999938e-02
2.465759999999999764e+03,-1.544329000000000014e-02,-1.544329000000000014e-02
2.466000000000000000e+03,3.995178000000000271e-03,3.995178000000000271e-03
2.466239999999999782e+03,5.430400000000000157e-03,5.430400000000000157e-03
2.466479999999999563e+03,1.280263000000000061e-02,1.280263000000000061e-02
2.466719999999999800e+03,1.149470000000000006e-02,1.149470000000000006e-02
2.466960000000000036e+03,6.654081000000000579e-02,6.654081000000000579e-02
2.467200000000000273e+03,1.387912999999999994e-02,1.387912999999999994e-02
2.467449999999999818e+03,1.699033000000000140e-02,1.699033000000000140e-02
2.467690000000000055e+03,3.400183999999999845e-02,3.400183999999999845e-02
2.467929999999999836e+03,3.925084999999999685e-02,3.925084999999999685e-02
2.468170000000000073e+03,1.642044999999999963e-02,1.642044999999999963e-02
2.468409999999999854e+03,1.887162000000000006e-01,1.887162000000000006e-01
2.468649999999999636e+03,1.318784000000000067e-01,1.318784000000000067e-01
2.468889999999999873e+03,2.049004000000000103e-01,2.049004000000000103e-01
2.469139999999999873e+03,1.220249999999999946e-01,1.220249999999999946e-01
2.469380000000000109e+03,1.411524999999999863e-01,1.411524999999999863e-01
2.469619999999999891e+03,9.975351000000000357e-02,9.975351000000000357e-02
2.469860000000000127e+03,1.527905999999999986e-01,1.527905999999999986e-01
2.470099999999999909e+03,1.267327000000000037e-01,1.267327000000000037e-01
2.470349999999999909e+03,2.680653000000000064e-01,2.680653000000000064e-01
2.470590000000000146e+03,3.759758999999999740e-01,3.759758999999999740e-01
2.470829999999999927e+03,4.095226000000000144e-01,4.095226000000000144e-01
2.471070000000000164e+03,4.043136999999999981e-01,4.043136999999999981e-01
2.471320000000000164e+03,4.585004999999999775e-01,4.585004999999999775e-01
2.471560000000000400e+03,2.865562999999999860e-01,2.865562999999999860e-01
2.471800000000000182e+03,4.132827000000000028e-01,4.132827000000000028e-01
2.472039999999999964e+03,4.235441999999999818e-01,4.235441999999999818e-01
2.472289999999999964e+03,3.906468000000000163e-01,3.906468000000000163e-01
2.472529999999999745e+03,3.610330999999999957e-01,3.610330999999999957e-01
2.472769999999999982e+03,4.222877999999999910e-01,4.222877999999999910e-01
2.473019999999999982e+03,4.312418000000000085e-01,4.312418000000000085e-01
2.473259999999999764e+03,4.178993999999999764e-01,4.178993999999999764e-01
2.473500000000000000e+03,3.873058999999999807e-01,3.873058999999999807e-01
2.473750000000000000e+03,3.449285000000000267e-01,3.449285000000000267e-01
2.473990000000000236e+03,3.702441000000000204e-01,3.702441000000000204e-01
2.474230000000000018e+03,3.566553000000000084e-01,3.566553000000000084e-01
2.474479999999999563e+03,3.856858000000000231e-01,3.856858000000000231e-01
2.474720000000000255e+03,3.826741000000000170e-01,3.826741000000000170e-01
2.474960000000000036e+03,3.273541999999999841e-01,3.273541999999999841e-01
2.475210000000000036e+03,3.084633999999999987e-01,3.084633999999999987e-01
2.475449999999999818e+03,2.383058000000000121e-01,2.383058000000000121e-01
2.475699999999999818e+03,2.965683000000000069e-01,2.965683000000000069e-01
2.475940000000000055e+03,2.692315000000000125e-01,2.692315000000000125e-01
2.476190000000000055e+03,2.998760999999999788e-01,2.998760999999999788e-01
2.476430000000000291e+03,2.617878000000000149e-01,2.617878000000000149e-01
2.476670000000000073e+03,3.145950000000000135e-01,3.145950000000000135e-01
2.476919999999999618e+03,4.624754999999999838e-01,4.624754999999999838e-01
2.477159999999999854e+03,4.712582000000000160e-01,4.712582000000000160e-01
2.477409999999999854e+03,5.647805000000000186e-01,5.647805000000000186e-01
2.477650000000000091e+03,5.262173999999999463e-01,5.262173999999999463e-01
2.477900000000000091e+03,5.407484999999999653e-01,5.407484999999999653e-01
2.478139999999999873e+03,5.817191999999999918e-01,5.817191999999999918e-01
2.478389999999999873e+03,5.151038000000000006e-01,5.151038000000000006e-01
2.478630000000000109e+03,4.742728999999999973e-01,4.742728999999999973e-01
2.478880000000000109e+03,6.220706999999999764e-01,6.220706999999999764e-01
2.479119999999999891e+03,5.943836999999999593e-01,5.943836999999999593e-01
2.479369999999999891e+03,5.552418999999999549e-01,5.552418999999999549e-01
2.479620000000000346e+03,6.299470999999999821e-01,6.299470999999999821e-01
2.479860000000000127e+03,5.010791999999999469e-01,5.010791999999999469e-01
2.480109999999999673e+03,7.315428000000000486e-01,7.315428000000000486e-01
2.480349999999999909e+03,9.070637999999999757e-01,9.070637999999999757e-01
2.480599999999999909e+03,1.041754000000000069e+00,1.041754000000000069e+00
2.480850000000000364e+03,1.666198999999999986e+00,1.666198999999999986e+00
2.481090000000000146e+03,2.025304999999999911e+00,2.025304999999999911e+00
2.481339999999999691e+03,2.757343000000000099e+00,2.757343000000000099e+00
2.481579999999999927e+03,3.350954000000000210e+00,3.350954000000000210e+00
2.481829999999999927e+03,4.396878000000000064e+00,4.396878000000000064e+00
2.482079999999999927e+03,4.163364999999999760e+00,4.163364999999999760e+00
2.482320000000000164e+03,4.096562999999999732e+00,4.096562999999999732e+00
2.482570000000000164e+03,3.855265999999999860e+00,3.855265999999999860e+00
2.482819999999999709e+03,3.332739999999999814e+00,3.332739999999999814e+00
2.483059999999999945e+03,2.911716000000000193e+00,2.911716000000000193e+00
2.483309999999999945e+03,1.847682999999999964e+00,1.847682999999999964e+00
2.483560000000000400e+03,1.725862000000000007e+00,1.725862000000000007e+00
2.483809999999999945e+03,1.344670999999999950e+00,1.344670999999999950e+00
2.484049999999999727e+03,1.289225000000000065e+00,1.289225000000000065e+00
2.484300000000000182e+03,1.020415000000000072e+00,1.020415000000000072e+00
2.484550000000000182e+03,1.037447000000000008e+00,1.037447000000000008e+00
2.484799999999999727e+03,8.287157000000000551e-01,8.287157000000000551e-01
2.485039999999999964e+03,9.881786000000000181e-01,9.881786000000000181e-01
2.485289999999999964e+03,9.079835000000000544e-01,9.079835000000000544e-01
2.485539999999999964e+03,8.158016999999999630e-01,8.158016999999999630e-01
2.485789999999999964e+03,1.086642000000000108e+00,1.086642000000000108e+00
2.486029999999999745e+03,6.814227999999999952e-01,6.814227999999999952e-01
2.486279999999999745e+03,1.027603000000000044e+00,1.027603000000000044e+00
2.486530000000000200e+03,8.627823000000000020e-01,8.627823000000000020e-01
2.486780000000000200e+03,7.456019999999999870e-01,7.456019999999999870e-01
2.487029999999999745e+03,7.261161000000000421e-01,7.261161000000000421e-01
2.487280000000000200e+03,6.054266000000000369e-01,6.054266000000000369e-01
2.487519999999999982e+03,8.195316999999999741e-01,8.195316999999999741e-01
2.487769999999999982e+03,7.036904999999999966e-01,7.036904999999999966e-01
2.488019999999999982e+03,6.632006999999999763e-01,6.632006999999999763e-01
2.488269999999999982e+03,7.710557999999999579e-01,7.710557999999999579e-01
2.488519999999999982e+03,5.562504000000000337e-01,5.562504000000000337e-01
2.488769999999999982e+03,9.156239999999999934e-01,9.156239999999999934e-01
2.489019999999999982e+03,7.114738000000000451e-01,7.114738000000000451e-01
2.489269999999999982e+03,1.012205000000000021e+00,1.012205000000000021e+00
2.489519999999999982e+03,7.559941999999999496e-01,7.559941999999999496e-01
2.489769999999999982e+03,9.191466999999999832e-01,9.191466999999999832e-01
2.490009999999999764e+03,1.058486000000000038e+00,1.058486000000000038e+00
2.490260000000000218e+03,8.804798000000000346e-01,8.804798000000000346e-01
2.490510000000000218e+03,9.791990999999999890e-01,9.791990999999999890e-01
2.490759999999999764e+03,1.134214999999999973e+00,1.134214999999999973e+00
2.491010000000000218e+03,8.799118000000000217e-01,8.799118000000000217e-01
2.491260000000000218e+03,8.799808999999999548e-01,8.799808999999999548e-01
2.491509999999999764e+03,9.976104999999999556e-01,9.976104999999999556e-01
2.491760000000000218e+03,9.493991000000000513e-01,9.493991000000000513e-01
2.492010000000000218e+03,1.147135000000000016e+00,1.147135000000000016e+00
2.492259999999999764e+03,1.217592000000000008e+00,1.217592000000000008e+00
2.492509999999999764e+03,1.043063000000000073e+00,1.043063000000000073e+00
2.492760000000000218e+03,1.184163999999999994e+00,1.184163999999999994e+00
2.493019999999999982e+03,1.002588000000000035e+00,1.002588000000000035e+00
2.493269999999999982e+03,1.057474000000000025e+00,1.057474000000000025e+00
2.493519999999999982e+03,1.176766999999999896e+00,1.176766999999999896e+00
2.493769999999999982e+03,1.079585000000000017e+00,1.079585000000000017e+00
2.494019999999999982e+03,1.144465000000000066e+00,1.144465000000000066e+00
2.494270000000000437e+03,9.308328000000000157e-01,9.308328000000000157e-01
2.494519999999999982e+03,1.100813000000000041e+00,1.100813000000000041e+00
2.494769999999999982e+03,1.093949000000000060e+00,1.093949000000000060e+00
2.495019999999999982e+03,1.260345999999999966e+00,1.260345999999999966e+00
2.495269999999999982e+03,1.311920999999999893e+00,1.311920999999999893e+00
2.495530000000000200e+03,1.105107999999999979e+00,1.105107999999999979e+00
2.495779999999999745e+03,1.211530999999999914e+00,1.211530999999999914e+00
2.496030000000000200e+03,1.161599999999999966e+00,1.161599999999999966e+00
2.496280000000000200e+03,1.373466999999999993e+00,1.373466999999999993e+00
2.496529999999999745e+03,1.035878000000000076e+00,1.035878000000000076e+00
2.496789999999999964e+03,1.155281000000000002e+00,1.155281000000000002e+00
2.497039999999999964e+03,1.219635999999999942e+00,1.219635999999999942e+00
2.497289999999999964e+03,1.133110999999999979e+00,1.133110999999999979e+00
2.497539999999999964e+03,1.211135999999999990e+00,1.211135999999999990e+00
2.497789999999999964e+03,1.166238000000000108e+00,1.166238000000000108e+00
2.498050000000000182e+03,1.261789000000000049e+00,1.261789000000000049e+00
2.498300000000000182e+03,1.256812999999999958e+00,1.256812999999999958e+00
2.498549999999999727e+03,1.469079000000000024e+00,1.469079000000000024e+00
2.498800000000000182e+03,1.057506999999999975e+00,1.057506999999999975e+00
2.499059999999999945e+03,1.539598999999999940e+00,1.539598999999999940e+00
2.499309999999999945e+03,1.183046999999999960e+00,1.183046999999999960e+00
2.499559999999999945e+03,1.276132000000000044e+00,1.276132000000000044e+00
2.499820000000000164e+03,1.206599999999999895e+00,1.206599999999999895e+00
2.500070000000000164e+03,1.233174999999999910e+00,1.233174999999999910e+00
2.500319999999999709e+03,1.015517999999999921e+00,1.015517999999999921e+00
2.500579999999999927e+03,1.408145999999999898e+00,1.408145999999999898e+00
2.500829999999999927e+03,1.464309000000000083e+00,1.464309000000000083e+00
2.501079999999999927e+03,1.057647999999999922e+00,1.057647999999999922e+00
2.501339999999999691e+03,1.299997999999999987e+00,1.299997999999999987e+00
2.501590000000000146e+03,1.116352000000000011e+00,1.116352000000000011e+00
2.501849999999999909e+03,1.342929000000000039e+00,1.342929000000000039e+00
2.502099999999999909e+03,1.183314999999999895e+00,1.183314999999999895e+00
2.502349999999999909e+03,1.020833000000000101e+00,1.020833000000000101e+00
2.502609999999999673e+03,1.005088999999999899e+00,1.005088999999999899e+00
2.502860000000000127e+03,1.054399000000000086e+00,1.054399000000000086e+00
2.503119999999999891e+03,1.095898000000000039e+00,1.095898000000000039e+00
2.503369999999999891e+03,1.118428999999999895e+00,1.118428999999999895e+00
2.503620000000000346e+03,8.972636999999999974e-01,8.972636999999999974e-01
2.503880000000000109e+03,1.011706999999999912e+00,1.011706999999999912e+00
2.504130000000000109e+03,1.025808000000000053e+00,1.025808000000000053e+00
2.504389999999999873e+03,1.080400999999999945e+00,1.080400999999999945e+00
2.504640000000000327e+03,1.139585999999999988e+00,1.139585999999999988e+00
2.504900000000000091e+03,8.661111000000000226e-01,8.661111000000000226e-01
2.505150000000000091e+03,9.948858000000000423e-01,9.948858000000000423e-01
2.505409999999999854e+03,1.030893000000000059e+00,1.030893000000000059e+00
2.505660000000000309e+03,7.923721999999999710e-01,7.923721999999999710e-01
2.505920000000000073e+03,9.227701000000000375e-01,9.227701000000000375e-01
2.506180000000000291e+03,1.113874000000000031e+00,1.113874000000000031e+00
2.506429999999999836e+03,7.575617000000000045e-01,7.575617000000000045e-01
2.506690000000000055e+03,7.973000999999999561e-01,7.973000999999999561e-01
2.506940000000000055e+03,7.952517000000000058e-01,7.952517000000000058e-01
2.507200000000000273e+03,7.363971000000000267e-01,7.363971000000000267e-01
2.507449999999999818e+03,9.937542000000000320e-01,9.937542000000000320e-01
2.507710000000000036e+03,9.736280000000000490e-01,9.736280000000000490e-01
2.507969999999999800e+03,9.637122000000000188e-01,9.637122000000000188e-01
2.508220000000000255e+03,8.147541999999999840e-01,8.147541999999999840e-01
2.508480000000000018e+03,8.662088000000000010e-01,8.662088000000000010e-01
2.508739999999999782e+03,1.146268999999999982e+00,1.146268999999999982e+00
2.508989999999999782e+03,1.060067000000000093e+00,1.060067000000000093e+00
2.509250000000000000e+03,9.616953999999999780e-01,9.616953999999999780e-01
2.509510000000000218e+03,8.524245999999999768e-01,8.524245999999999768e-01
2.509760000000000218e+03,8.266628000000000309e-01,8.266628000000000309e-01
2.510019999999999982e+03,7.063776000000000499e-01,7.063776000000000499e-01
2.510279999999999745e+03,1.044602000000000031e+00,1.044602000000000031e+00
2.510530000000000200e+03,6.620150000000000201e-01,6.620150000000000201e-01
2.510789999999999964e+03,7.289955000000000185e-01,7.289955000000000185e-01
2.511050000000000182e+03,9.661589000000000427e-01,9.661589000000000427e-01
2.511299999999999727e+03,7.327586999999999851e-01,7.327586999999999851e-01
2.511559999999999945e+03,6.618180999999999647e-01,6.618180999999999647e-01
2.511820000000000164e+03,1.057187000000000099e+00,1.057187000000000099e+00
2.512079999999999927e+03,8.753265999999999547e-01,8.753265999999999547e-01
2.512340000000000146e+03,7.998022999999999660e-01,7.998022999999999660e-01
2.512589999999999691e+03,7.618764000000000092e-01,7.618764000000000092e-01
2.512849999999999909e+03,9.009230999999999767e-01,9.009230999999999767e-01
2.513110000000000127e+03,1.033611000000000057e+00,1.033611000000000057e+00
2.513369999999999891e+03,7.755208000000000101e-01,7.755208000000000101e-01
2.513630000000000109e+03,7.471468999999999472e-01,7.471468999999999472e-01
2.513880000000000109e+03,8.662147999999999515e-01,8.662147999999999515e-01
2.514139999999999873e+03,6.979887000000000175e-01,6.979887000000000175e-01
2.514400000000000091e+03,8.443017000000000438e-01,8.443017000000000438e-01
2.514660000000000309e+03,8.832225000000000215e-01,8.832225000000000215e-01
2.514920000000000073e+03,7.740780000000000438e-01,7.740780000000000438e-01
2.515179999999999836e+03,9.494365999999999639e-01,9.494365999999999639e-01
2.515440000000000055e+03,6.661582999999999810e-01,6.661582999999999810e-01
2.515699999999999818e+03,9.703773999999999456e-01,9.703773999999999456e-01
