energy,s023,s024,s025,mean
2.468649999999999636e+03,1.833928999999999976e-01,1.893747000000000069e-01,1.665425000000000100e-01,1.797700333333333289e-01
2.468889999999999873e+03,1.994805000000000050e-01,1.344799999999999884e-01,2.105531999999999959e-01,1.815045666666666724e-01
2.469139999999999873e+03,1.545861000000000041e-01,1.244742999999999961e-01,1.665130999999999972e-01,1.485244999999999760e-01
2.469380000000000109e+03,9.164453999999999656e-02,8.451590999999999965e-02,9.283926000000000678e-02,8.966657000000000100e-02
2.469619999999999891e+03,1.013729000000000019e-01,6.835742999999999681e-02,9.334075999999999484e-02,8.769036333333331268e-02
2.469860000000000127e+03,1.156150999999999984e-01,1.089394999999999947e-01,1.081331999999999988e-01,1.108959333333333214e-01
2.470099999999999909e+03,1.647431000000000034e-01,1.786047000000000051e-01,1.715431000000000039e-01,1.716302999999999856e-01
2.470349999999999909e+03,2.998951000000000255e-01,2.707471000000000183e-01,2.633512000000000075e-01,2.779978000000000171e-01
2.470590000000000146e+03,3.325120999999999771e-01,3.180872000000000144e-01,3.542897999999999881e-01,3.349630333333333265e-01
2.470829999999999927e+03,4.208008999999999777e-01,3.805803999999999854e-01,3.475285000000000180e-01,3.829699333333333455e-01
2.471070000000000164e+03,3.829189000000000065e-01,4.284827999999999970e-01,4.063877000000000184e-01,4.059298000000000073e-01
2.471320000000000164e+03,4.279498999999999942e-01,3.694601000000000135e-01,4.174120000000000053e-01,4.049406666666666155e-01
2.471560000000000400e+03,4.300715999999999983e-01,5.225716000000000250e-01,4.597296000000000160e-01,4.707909333333333279e-01
2.471800000000000182e+03,4.416853000000000029e-01,4.276500999999999775e-01,4.690972999999999948e-01,4.461442333333333621e-01
2.472039999999999964e+03,4.360003000000000073e-01,4.919091999999999909e-01,4.650931999999999844e-01,4.643342333333332905e-01
2.472289999999999964e+03,5.169371999999999856e-01,4.295374000000000136e-01,5.106378999999999779e-01,4.857041666666666591e-01
2.472529999999999745e+03,5.096555000000000391e-01,3.953715999999999897e-01,4.397478000000000220e-01,4.482582999999999984e-01
2.472769999999999982e+03,3.171177000000000024e-01,4.438023999999999858e-01,3.889161999999999897e-01,3.832787666666666593e-01
2.473019999999999982e+03,3.861875000000000169e-01,3.633203999999999878e-01,3.601263000000000103e-01,3.698780666666666161e-01
2.473259999999999764e+03,3.666666000000000092e-01,4.028977000000000253e-01,3.708637000000000183e-01,3.801426666666666843e-01
2.473500000000000000e+03,4.453669000000000100e-01,3.880842999999999932e-01,3.823565999999999909e-01,4.052692666666666832e-01
2.473750000000000000e+03,4.107732000000000050e-01,4.105284000000000155e-01,3.488191999999999959e-01,3.900402666666666351e-01
2.473990000000000236e+03,4.164864999999999817e-01,3.702335999999999960e-01,3.771335000000000104e-01,3.879511999999999960e-01
2.474230000000000018e+03,3.460085999999999995e-01,3.326164999999999816e-01,4.284169999999999923e-01,3.690140333333333245e-01
2.474479999999999563e+03,3.143730000000000135e-01,3.718082999999999805e-01,3.525987999999999900e-01,3.462600333333332725e-01
2.474720000000000255e+03,3.280809000000000086e-01,3.192562999999999929e-01,3.634803999999999813e-01,3.369391999999999943e-01
2.474960000000000036e+03,3.444028000000000089e-01,2.751453999999999844e-01,2.255457999999999907e-01,2.816980000000000040e-01
2.475210000000000036e+03,3.395193000000000239e-01,2.538074000000000163e-01,2.984046000000000198e-01,2.972437666666666867e-01
2.475449999999999818e+03,3.239149000000000056e-01,2.879716999999999971e-01,2.381456999999999880e-01,2.833441000000000431e-01
2.475699999999999818e+03,2.914259000000000155e-01,2.909420999999999813e-01,2.373234999999999928e-01,2.732304999999999873e-01
2.475940000000000055e+03,3.320177999999999741e-01,3.525503999999999860e-01,3.323164000000000118e-01,3.389615333333333425e-01
2.476190000000000055e+03,3.712573000000000123e-01,2.703383999999999787e-01,3.662146000000000012e-01,3.359367666666666641e-01
2.476430000000000291e+03,3.710755000000000026e-01,3.677393999999999941e-01,3.811376000000000208e-01,3.733174999999999688e-01
2.476670000000000073e+03,3.774275000000000269e-01,3.458975000000000244e-01,3.259110000000000062e-01,3.497453333333333525e-01
2.476919999999999618e+03,3.744136000000000131e-01,4.140534000000000159e-01,3.997240000000000237e-01,3.960636666666666472e-01
2.477159999999999854e+03,4.474583999999999784e-01,3.879191000000000167e-01,4.098214000000000024e-01,4.150663000000000546e-01
2.477409999999999854e+03,4.676817999999999809e-01,4.685149000000000119e-01,4.534899000000000013e-01,4.632288666666666832e-01
2.477650000000000091e+03,5.202320000000000277e-01,5.083725999999999523e-01,5.756147000000000347e-01,5.347397666666666716e-01
2.477900000000000091e+03,5.011134999999999895e-01,5.792768000000000361e-01,5.143936999999999538e-01,5.315946666666665488e-01
2.478139999999999873e+03,5.812638999999999445e-01,6.206163000000000096e-01,5.992863000000000495e-01,6.003888333333332605e-01
2.478389999999999873e+03,5.960235000000000394e-01,5.624900000000000455e-01,5.942389999999999617e-01,5.842508333333333859e-01
2.478630000000000109e+03,5.945089999999999542e-01,5.437598000000000154e-01,5.506200999999999457e-01,5.629629666666666754e-01
2.478880000000000109e+03,5.100934000000000301e-01,5.559884999999999966e-01,5.540481000000000433e-01,5.400433333333333197e-01
2.479119999999999891e+03,5.423434000000000310e-01,5.219624999999999959e-01,5.674285000000000023e-01,5.439114666666666764e-01
2.479369999999999891e+03,5.361666999999999961e-01,6.005118999999999874e-01,5.757826000000000333e-01,5.708204000000000056e-01
2.479620000000000346e+03,6.112667999999999990e-01,5.683970000000000411e-01,6.649640999999999469e-01,6.148759666666666623e-01
2.479860000000000127e+03,7.024211000000000205e-01,7.026822999999999819e-01,7.163057000000000452e-01,7.071363666666666825e-01
2.480109999999999673e+03,8.937247999999999859e-01,8.363576999999999817e-01,8.453827000000000425e-01,8.584884000000000404e-01
2.480349999999999909e+03,1.068648999999999960e+00,9.434048999999999907e-01,9.936802000000000135e-01,1.001911366666666581e+00
2.480599999999999909e+03,1.328869999999999996e+00,1.309720999999999913e+00,1.285927000000000042e+00,1.308172666666666650e+00
2.480850000000000364e+03,1.639744000000000090e+00,1.551414000000000071e+00,1.614406000000000008e+00,1.601854666666666871e+00
2.481090000000000146e+03,2.006857999999999809e+00,1.959624000000000033e+00,2.049455000000000027e+00,2.005312333333333363e+00
2.481339999999999691e+03,2.724740999999999858e+00,2.639561000000000046e+00,3.017377999999999894e+00,2.793893333333333118e+00
2.481579999999999927e+03,3.801289000000000140e+00,3.549402000000000168e+00,3.824462000000000028e+00,3.725051000000000112e+00
2.481829999999999927e+03,4.287941000000000003e+00,4.000204000000000093e+00,4.351854000000000333e+00,4.213332999999999551e+00
2.482079999999999927e+03,4.581629000000000396e+00,4.364677000000000362e+00,4.867695999999999579e+00,4.604667333333332557e+00
2.482320000000000164e+03,4.412980000000000125e+00,4.144275999999999627e+00,4.484195999999999849e+00,4.347150666666666829e+00
2.482570000000000164e+03,4.070996000000000059e+00,3.962320000000000064e+00,3.932122999999999813e+00,3.988479666666666645e+00
2.482819999999999709e+03,3.226110999999999951e+00,3.032262999999999931e+00,3.675733999999999835e+00,3.311369333333333387e+00
2.483059999999999945e+03,2.761614999999999931e+00,2.491004000000000218e+00,2.804803999999999853e+00,2.685807666666666815e+00
2.483309999999999945e+03,2.203866999999999798e+00,2.137048000000000059e+00,1.962385000000000046e+00,2.101100000000000190e+00
2.483560000000000400e+03,1.877736000000000072e+00,1.703389999999999960e+00,1.848375000000000101e+00,1.809833666666666785e+00
2.483809999999999945e+03,1.513555999999999901e+00,1.455128999999999895e+00,1.391227999999999909e+00,1.453304333333333309e+00
2.484049999999999727e+03,1.430137999999999909e+00,1.314213999999999993e+00,1.430071000000000092e+00,1.391474333333333258e+00
2.484300000000000182e+03,1.053104000000000040e+00,1.158536000000000010e+00,1.334994000000000014e+00,1.182211333333333281e+00
2.484550000000000182e+03,1.110270000000000090e+00,1.235473000000000043e+00,1.177283999999999997e+00,1.174342333333333377e+00
2.484799999999999727e+03,1.126058000000000003e+00,1.076276999999999928e+00,1.183102000000000098e+00,1.128478999999999788e+00
2.485039999999999964e+03,1.070322999999999913e+00,1.025949000000000000e+00,9.963921000000000028e-01,1.030888033333333231e+00
2.485289999999999964e+03,9.611053999999999986e-01,8.708546000000000342e-01,1.085493000000000041e+00,9.724843333333333950e-01
2.485539999999999964e+03,9.231743000000000032e-01,7.693301999999999641e-01,9.839729999999999865e-01,8.921591666666666143e-01
2.485789999999999964e+03,9.081082000000000320e-01,9.483287000000000244e-01,8.817359999999999642e-01,9.127242999999999329e-01
2.486029999999999745e+03,8.710040999999999478e-01,9.815504999999999924e-01,8.453827000000000425e-01,8.993124333333333276e-01
2.486279999999999745e+03,8.874225999999999503e-01,7.682318000000000202e-01,7.599411999999999834e-01,8.051985333333333550e-01
2.486530000000000200e+03,9.428225999999999551e-01,7.182024000000000186e-01,7.952614000000000072e-01,8.187621333333332529e-01
2.486780000000000200e+03,7.911306999999999645e-01,7.804067000000000087e-01,7.509658999999999640e-01,7.741677666666667568e-01
2.487029999999999745e+03,7.660008000000000372e-01,8.801029000000000213e-01,7.831221000000000432e-01,8.097419333333334412e-01
2.487280000000000200e+03,8.638681999999999750e-01,7.956925999999999721e-01,7.459078000000000097e-01,8.018228666666665783e-01
2.487519999999999982e+03,7.483351000000000308e-01,8.203190000000000204e-01,7.678547000000000011e-01,7.788362666666666101e-01
2.487769999999999982e+03,7.653508999999999451e-01,6.213121999999999812e-01,6.936162999999999634e-01,6.934264666666666299e-01
2.488019999999999982e+03,7.717319000000000262e-01,8.006701000000000512e-01,7.886608999999999980e-01,7.870209666666667658e-01
2.488269999999999982e+03,7.338991999999999738e-01,8.945054999999999534e-01,7.203163000000000205e-01,7.829069999999999085e-01
2.488519999999999982e+03,8.151249000000000411e-01,7.658582999999999918e-01,7.694258999999999959e-01,7.834696999999999356e-01
2.488769999999999982e+03,8.472790999999999517e-01,7.721569999999999823e-01,8.457557999999999465e-01,8.217306333333332935e-01
2.489019999999999982e+03,9.310781999999999670e-01,8.503608000000000278e-01,8.468103999999999631e-01,8.760831333333333193e-01
