energy,s008,s009,s010,s011,s012,s013,s014,s015,mean
2.468889999999999873e+03,4.675586999999999938e-01,4.832752000000000159e-01,4.345902999999999849e-01,4.296305999999999736e-01,3.801074999999999871e-01,4.536533999999999844e-01,4.085964999999999736e-01,4.747180999999999762e-01,4.415162874999999376e-01
2.469139999999999873e+03,2.955538999999999805e-01,2.712790999999999952e-01,2.831685999999999925e-01,3.090250999999999970e-01,2.151761000000000090e-01,3.022262000000000004e-01,3.078120999999999774e-01,2.833806999999999854e-01,2.834527250000000165e-01
2.469380000000000109e+03,2.018210000000000004e-01,2.252023999999999970e-01,2.495414999999999994e-01,2.054036999999999946e-01,1.616208000000000089e-01,1.944278000000000117e-01,1.992002999999999968e-01,2.162724000000000035e-01,2.066862375000000085e-01
2.469619999999999891e+03,2.232330999999999899e-01,2.386090999999999906e-01,1.989636999999999933e-01,2.293467999999999896e-01,1.570207000000000130e-01,1.982782999999999907e-01,2.340373000000000037e-01,2.255385000000000029e-01,2.131284374999999898e-01
2.469860000000000127e+03,2.520825999999999900e-01,2.557653999999999761e-01,2.466759000000000035e-01,2.302895000000000081e-01,2.050331999999999988e-01,2.182526999999999939e-01,2.695842999999999989e-01,2.787352000000000163e-01,2.445523500000000017e-01
2.470099999999999909e+03,4.813700000000000201e-01,4.270001999999999964e-01,4.382089000000000123e-01,3.929456000000000060e-01,3.729411999999999727e-01,3.864681999999999840e-01,4.179064000000000112e-01,5.128321000000000129e-01,4.287090749999999950e-01
2.470349999999999909e+03,7.328921999999999937e-01,7.051511000000000307e-01,7.221309000000000200e-01,6.818355000000000388e-01,5.997232000000000118e-01,6.884025999999999756e-01,6.912449000000000510e-01,7.405323999999999796e-01,6.952391000000001098e-01
2.470590000000000146e+03,9.874975999999999754e-01,9.079821000000000142e-01,9.794055999999999873e-01,8.787074000000000273e-01,7.680069999999999952e-01,8.781879000000000213e-01,8.680347000000000479e-01,8.690773000000000525e-01,8.921124500000000568e-01
2.470829999999999927e+03,9.977869000000000321e-01,8.822721000000000036e-01,9.279570000000000318e-01,1.040429999999999966e+00,7.906465000000000298e-01,8.347854999999999581e-01,9.162521999999999611e-01,9.605567999999999884e-01,9.188358749999999686e-01
2.471070000000000164e+03,9.190660000000000496e-01,9.039911999999999948e-01,9.573781000000000097e-01,8.714169000000000498e-01,6.467768999999999879e-01,7.788207000000000324e-01,9.039707000000000159e-01,9.617913999999999630e-01,8.679014875000000684e-01
2.471320000000000164e+03,8.954279000000000543e-01,8.571693000000000229e-01,9.700647999999999493e-01,8.531104999999999938e-01,7.649434000000000511e-01,8.812583999999999973e-01,9.394384000000000068e-01,9.019523999999999875e-01,8.829206375000000495e-01
2.471560000000000400e+03,7.656342999999999899e-01,7.652225000000000277e-01,8.114443000000000072e-01,7.699397999999999520e-01,7.301710999999999618e-01,6.533362999999999809e-01,7.418101000000000278e-01,7.921780999999999962e-01,7.537170625000001456e-01
2.471800000000000182e+03,8.394481000000000304e-01,7.148299999999999654e-01,7.439210000000000544e-01,7.287204999999999933e-01,7.230046999999999446e-01,7.193766999999999801e-01,7.117006000000000165e-01,7.586829999999999963e-01,7.424605749999999560e-01
2.472039999999999964e+03,6.911262999999999712e-01,6.875474999999999781e-01,6.866356999999999600e-01,5.870060999999999751e-01,7.068231000000000375e-01,6.928741000000000483e-01,6.693381999999999943e-01,7.202494000000000396e-01,6.802000500000000560e-01
2.472289999999999964e+03,6.800842000000000276e-01,6.528228999999999838e-01,6.673259000000000274e-01,5.959628999999999621e-01,5.517545000000000366e-01,6.102958000000000549e-01,5.879151000000000238e-01,7.479348000000000107e-01,6.367620124999999742e-01
2.472529999999999745e+03,6.341533999999999782e-01,6.497089999999999810e-01,6.573887000000000480e-01,5.483126000000000388e-01,6.058881999999999879e-01,6.206049999999999622e-01,6.934725999999999946e-01,7.261338999999999988e-01,6.419579249999999293e-01
2.472769999999999982e+03,6.455853999999999759e-01,6.125089000000000228e-01,6.943194000000000310e-01,6.457403000000000448e-01,5.255358999999999448e-01,6.862660000000000426e-01,6.459063999999999917e-01,6.031368000000000285e-01,6.323748875000000380e-01
2.473019999999999982e+03,7.435713000000000461e-01,7.350025999999999504e-01,7.062619999999999454e-01,6.103235999999999661e-01,6.091393000000000502e-01,6.239673999999999499e-01,6.261018000000000416e-01,7.527182999999999513e-01,6.758857874999999460e-01
2.473259999999999764e+03,7.806170000000000053e-01,7.649993000000000487e-01,7.613573000000000146e-01,7.328031999999999879e-01,6.179866000000000525e-01,7.459843999999999919e-01,6.589304000000000272e-01,7.875334999999999974e-01,7.312764625000001129e-01
2.473500000000000000e+03,7.658211999999999797e-01,7.198847999999999914e-01,8.502747999999999973e-01,7.958104999999999762e-01,7.417236000000000384e-01,7.893341999999999858e-01,7.208117000000000552e-01,8.421988999999999725e-01,7.782324624999998885e-01
2.473750000000000000e+03,7.685070000000000512e-01,7.640548000000000339e-01,8.178509999999999946e-01,7.688447999999999949e-01,5.928423000000000442e-01,6.629156999999999966e-01,7.654132999999999631e-01,7.736106999999999845e-01,7.392549499999999663e-01
