energy,s032,s033,mean
2.469380000000000109e+03,8.383514000000000244e-02,4.186880999999999936e-02,6.285197500000000437e-02
2.469619999999999891e+03,7.871880000000000543e-02,7.637953999999999577e-02,7.754917000000000060e-02
2.469860000000000127e+03,6.829320999999999309e-02,3.271877000000000119e-02,5.050599000000000061e-02
2.470099999999999909e+03,1.147688999999999931e-01,9.920392000000000099e-02,1.069864100000000040e-01
2.470349999999999909e+03,1.309741000000000100e-01,1.668685000000000029e-01,1.489213000000000064e-01
2.470590000000000146e+03,2.155755000000000032e-01,1.289410000000000001e-01,1.722582500000000016e-01
2.470829999999999927e+03,2.497368000000000088e-01,1.348970999999999920e-01,1.923169499999999865e-01
2.471070000000000164e+03,2.492476999999999887e-01,2.221161000000000108e-01,2.356818999999999997e-01
2.471320000000000164e+03,2.255342999999999931e-01,2.074383999999999950e-01,2.164863499999999941e-01
2.471560000000000400e+03,2.449675000000000047e-01,1.273690000000000100e-01,1.861682500000000073e-01
2.471800000000000182e+03,2.341940999999999884e-01,2.860547999999999980e-01,2.601244500000000071e-01
2.472039999999999964e+03,2.647310999999999970e-01,2.121175999999999895e-01,2.384243500000000071e-01
2.472289999999999964e+03,2.125269999999999937e-01,2.063609000000000138e-01,2.094439499999999899e-01
2.472529999999999745e+03,2.787454999999999794e-01,2.349461999999999939e-01,2.568458499999999867e-01
2.472769999999999982e+03,1.986921000000000104e-01,2.380686999999999942e-01,2.183804000000000023e-01
2.473019999999999982e+03,2.433445999999999942e-01,2.624560000000000226e-01,2.529003000000000223e-01
2.473259999999999764e+03,2.196359999999999979e-01,2.143905999999999867e-01,2.170132999999999923e-01
2.473500000000000000e+03,3.207632000000000261e-01,1.968457000000000123e-01,2.588044500000000192e-01
2.473750000000000000e+03,2.061764000000000097e-01,2.661727999999999872e-01,2.361746000000000123e-01
2.473990000000000236e+03,2.313796999999999937e-01,2.431183000000000094e-01,2.372489999999999877e-01
2.474230000000000018e+03,3.271345999999999976e-01,2.141261000000000136e-01,2.706303500000000195e-01
2.474479999999999563e+03,3.247082000000000024e-01,1.827041000000000082e-01,2.537061500000000192e-01
2.474720000000000255e+03,1.590045999999999959e-01,1.604890999999999956e-01,1.597468499999999958e-01
2.474960000000000036e+03,1.757163999999999948e-01,2.047288999999999914e-01,1.902226499999999931e-01
2.475210000000000036e+03,2.213439000000000101e-01,1.410231999999999875e-01,1.811835499999999988e-01
2.475449999999999818e+03,2.532696999999999865e-01,1.847940000000000138e-01,2.190318500000000002e-01
2.475699999999999818e+03,2.143326999999999871e-01,1.555850000000000011e-01,1.849588500000000080e-01
2.475940000000000055e+03,2.139669999999999905e-01,2.163705999999999963e-01,2.151687999999999934e-01
2.476190000000000055e+03,1.544839000000000073e-01,2.092474000000000001e-01,1.818656499999999898e-01
2.476430000000000291e+03,2.731855999999999729e-01,1.923912999999999873e-01,2.327884499999999801e-01
2.476670000000000073e+03,2.943555999999999950e-01,2.666244999999999865e-01,2.804900499999999908e-01
2.476919999999999618e+03,3.245413999999999799e-01,2.534231000000000122e-01,2.889822499999999961e-01
2.477159999999999854e+03,2.525496999999999881e-01,1.962067000000000117e-01,2.243781999999999999e-01
2.477409999999999854e+03,2.831764999999999977e-01,2.734546999999999950e-01,2.783155999999999963e-01
2.477650000000000091e+03,3.079258999999999746e-01,3.388716999999999979e-01,3.233987999999999863e-01
2.477900000000000091e+03,4.008631000000000277e-01,3.606461999999999724e-01,3.807546499999999723e-01
2.478139999999999873e+03,4.471546000000000132e-01,3.420603999999999867e-01,3.946074999999999999e-01
2.478389999999999873e+03,3.589223999999999748e-01,3.575999000000000261e-01,3.582611500000000282e-01
2.478630000000000109e+03,3.579088999999999743e-01,4.122971000000000275e-01,3.851029999999999731e-01
2.478880000000000109e+03,2.315095000000000069e-01,4.699448999999999987e-01,3.507272000000000167e-01
2.479119999999999891e+03,4.773627999999999760e-01,4.498828000000000271e-01,4.636228000000000016e-01
2.479369999999999891e+03,5.512084000000000428e-01,4.781303000000000081e-01,5.146693500000000254e-01
2.479620000000000346e+03,5.303896000000000166e-01,5.495645000000000113e-01,5.399770500000000695e-01
2.479860000000000127e+03,6.139373999999999665e-01,5.139211000000000196e-01,5.639292499999999375e-01
2.480109999999999673e+03,9.143154000000000003e-01,7.315652000000000266e-01,8.229402999999999579e-01
2.480349999999999909e+03,1.155418999999999974e+00,8.346818000000000293e-01,9.950504000000000016e-01
2.480599999999999909e+03,1.440271000000000079e+00,1.141024000000000038e+00,1.290647499999999948e+00
2.480850000000000364e+03,1.896778999999999993e+00,1.488615999999999939e+00,1.692697499999999966e+00
2.481090000000000146e+03,2.189383999999999997e+00,2.224080999999999975e+00,2.206732500000000208e+00
2.481339999999999691e+03,3.397298000000000151e+00,3.155679999999999819e+00,3.276488999999999763e+00
2.481579999999999927e+03,4.388283000000000378e+00,3.938018000000000018e+00,4.163150500000000420e+00
2.481829999999999927e+03,4.910821999999999576e+00,4.699886000000000230e+00,4.805353999999999459e+00
2.482079999999999927e+03,5.568870000000000431e+00,5.258263000000000353e+00,5.413566499999999948e+00
2.482320000000000164e+03,4.743960000000000399e+00,4.679871999999999588e+00,4.711916000000000437e+00
2.482570000000000164e+03,4.800248999999999988e+00,4.141538999999999859e+00,4.470893999999999480e+00
2.482819999999999709e+03,3.936129000000000211e+00,3.605748999999999871e+00,3.770939000000000263e+00
2.483059999999999945e+03,3.090066999999999897e+00,3.182387999999999995e+00,3.136227499999999946e+00
2.483309999999999945e+03,2.421082000000000178e+00,2.350051000000000112e+00,2.385566500000000367e+00
2.483560000000000400e+03,1.711411000000000016e+00,2.018006000000000189e+00,1.864708500000000102e+00
