energy,s023,s024,s025,mean
2.463119999999999891e+03,-1.227646999999999940e-02,-6.190402000000000231e-03,2.045097999999999968e-03,-5.473924666666666987e-03
2.463360000000000127e+03,2.609441000000000104e-03,-6.390736999999999633e-03,1.743528999999999956e-03,-6.792556666666664522e-04
2.463599999999999909e+03,-1.798066999999999981e-03,4.915339000000000340e-03,5.834285999999999726e-04,1.233566866666666777e-03
2.463839999999999691e+03,-2.607060000000000020e-03,-3.176174999999999832e-03,5.995241999999999585e-03,7.066900000000005133e-05
2.464079999999999927e+03,1.365737000000000027e-02,-4.304780000000000238e-03,-5.785524999999999696e-03,1.189021666666667141e-03
2.464319999999999709e+03,3.296770000000000082e-03,3.622081999999999993e-03,7.959673000000000442e-03,4.959508333333333650e-03
2.464559999999999945e+03,4.338927999999999709e-03,-1.407841999999999948e-02,-1.108407999999999963e-02,-6.941190666666666176e-03
2.464799999999999727e+03,-7.220907999999999841e-03,2.560308999999999849e-02,-1.457369999999999933e-03,5.641603999999998849e-03
2.465039999999999964e+03,8.867062000000000208e-03,8.464894000000000585e-03,1.793994000000000144e-02,1.175729866666666741e-02
2.465279999999999745e+03,-1.002580000000000013e-04,1.154472999999999958e-02,-1.085714999999999944e-02,1.957739999999998234e-04
2.465519999999999982e+03,6.197123000000000128e-04,9.041242999999999155e-03,4.801119000000000393e-03,4.820691433333332970e-03
2.465759999999999764e+03,1.156043999999999995e-02,8.497416000000000691e-03,1.270656000000000042e-02,1.092147199999999978e-02
2.466000000000000000e+03,1.178781999999999920e-02,2.750922999999999910e-02,2.493102999999999986e-02,2.140935999999999881e-02
2.466239999999999782e+03,2.283989999999999979e-02,3.619307000000000210e-04,2.785657999999999884e-02,1.701947023333333364e-02
2.466479999999999563e+03,2.789364000000000079e-02,1.473288000000000028e-02,2.462821000000000107e-02,2.241824333333333405e-02
2.466719999999999800e+03,3.267044000000000198e-02,2.128437000000000037e-02,2.984766999999999976e-02,2.793416000000000302e-02
2.466960000000000036e+03,1.459463000000000080e-02,3.279997999999999941e-02,3.103295000000000012e-02,2.614252000000000242e-02
2.467200000000000273e+03,2.799097000000000043e-02,2.277993000000000032e-02,2.279493999999999965e-02,2.452194666666666564e-02
2.467449999999999818e+03,4.772861999999999938e-02,4.708129999999999954e-02,6.273882999999999543e-02,5.251624999999999349e-02
2.467690000000000055e+03,4.277228000000000280e-02,8.141228000000000353e-02,4.629358000000000084e-02,5.682604666666666443e-02
2.467929999999999836e+03,1.039492000000000055e-01,9.541396000000000599e-02,9.223291000000000128e-02,9.719868999999999037e-02
2.468170000000000073e+03,1.661389000000000060e-01,1.598176000000000041e-01,1.633670000000000122e-01,1.631078333333333408e-01
2.468409999999999854e+03,3.245657000000000125e-01,2.871623999999999843e-01,2.939863999999999811e-01,3.019048333333333445e-01
2.468649999999999636e+03,3.291482000000000019e-01,4.339057000000000053e-01,3.813264000000000098e-01,3.814601000000000242e-01
2.468889999999999873e+03,4.600418000000000007e-01,4.295168999999999793e-01,4.001554999999999973e-01,4.299047333333333998e-01
2.469139999999999873e+03,3.013984000000000107e-01,2.921967999999999788e-01,2.787724999999999786e-01,2.907892333333333412e-01
2.469380000000000109e+03,2.328427999999999887e-01,1.679609999999999992e-01,2.339562000000000030e-01,2.115866666666666729e-01
2.469619999999999891e+03,1.693986000000000103e-01,2.051620000000000110e-01,1.334952000000000083e-01,1.693519333333333432e-01
2.469860000000000127e+03,2.216125999999999929e-01,2.770515000000000061e-01,2.335253999999999941e-01,2.440631666666666921e-01
2.470099999999999909e+03,3.230241999999999836e-01,3.962319000000000258e-01,3.639238000000000195e-01,3.610599666666666763e-01
2.470349999999999909e+03,5.989645000000000108e-01,7.192167000000000421e-01,5.919834000000000485e-01,6.367215333333334781e-01
2.470590000000000146e+03,8.602562000000000264e-01,8.262751000000000401e-01,7.663739999999999997e-01,8.176350999999999480e-01
2.470829999999999927e+03,8.123546999999999851e-01,9.155619000000000396e-01,8.513361000000000400e-01,8.597508999999999846e-01
2.471070000000000164e+03,8.347067999999999710e-01,9.472348000000000434e-01,8.565869000000000399e-01,8.795095000000000551e-01
2.471320000000000164e+03,9.626767000000000518e-01,8.497997999999999941e-01,7.118111000000000299e-01,8.414291999999999883e-01
2.471560000000000400e+03,8.532309000000000143e-01,9.453734000000000304e-01,8.191909000000000551e-01,8.725984000000001073e-01
2.471800000000000182e+03,7.441039999999999877e-01,5.892018999999999451e-01,7.150668000000000024e-01,6.827908999999999784e-01
2.472039999999999964e+03,7.584885999999999573e-01,7.022880000000000233e-01,6.658482000000000012e-01,7.088749333333334013e-01
2.472289999999999964e+03,6.851888999999999896e-01,6.556222999999999912e-01,5.825894000000000350e-01,6.411335333333333386e-01
2.472529999999999745e+03,5.916320000000000467e-01,6.858250000000000179e-01,6.260270999999999475e-01,6.344946999999999671e-01
2.472769999999999982e+03,6.967225000000000223e-01,6.681768999999999625e-01,5.723257999999999956e-01,6.457417333333334009e-01
2.473019999999999982e+03,7.496901999999999733e-01,7.375853999999999466e-01,6.425739999999999785e-01,7.099498666666667068e-01
2.473259999999999764e+03,8.025695999999999941e-01,7.110121999999999831e-01,7.021152000000000504e-01,7.385656666666666759e-01
2.473500000000000000e+03,7.351571999999999552e-01,8.004535999999999873e-01,6.822618000000000293e-01,7.392908666666665463e-01
2.473750000000000000e+03,6.925584999999999658e-01,7.632525000000000004e-01,6.645940000000000181e-01,7.068016666666666614e-01
2.473990000000000236e+03,7.416485000000000438e-01,7.798650999999999778e-01,6.740874000000000033e-01,7.318669999999999343e-01
2.474230000000000018e+03,6.890739999999999643e-01,7.664836999999999900e-01,7.488027999999999906e-01,7.347868333333332780e-01
2.474479999999999563e+03,7.748464999999999936e-01,7.147352000000000150e-01,6.235741000000000200e-01,7.043852666666666762e-01
2.474720000000000255e+03,6.289177000000000239e-01,7.235015999999999670e-01,6.089463000000000514e-01,6.537885333333334215e-01
2.474960000000000036e+03,5.723823999999999579e-01,5.852541999999999467e-01,5.916519999999999557e-01,5.830961999999999534e-01
2.475210000000000036e+03,6.126257999999999981e-01,5.676953999999999612e-01,4.415695000000000037e-01,5.406302333333332655e-01
2.475449999999999818e+03,5.537128999999999523e-01,5.534829999999999472e-01,4.817366000000000148e-01,5.296441666666665826e-01
2.475699999999999818e+03,5.615046000000000204e-01,5.178006000000000553e-01,5.152560999999999947e-01,5.315204333333333198e-01
2.475940000000000055e+03,5.257901999999999854e-01,5.052796999999999983e-01,5.592150999999999650e-01,5.300949999999998719e-01
2.476190000000000055e+03,5.726175999999999489e-01,4.751346000000000180e-01,5.253826999999999803e-01,5.243782999999999639e-01
2.476430000000000291e+03,5.739937000000000511e-01,5.877134999999999998e-01,6.038046000000000246e-01,5.885039333333333955e-01
2.476670000000000073e+03,6.030982000000000287e-01,5.128308999999999784e-01,5.643679000000000334e-01,5.600990000000000135e-01
2.476919999999999618e+03,5.870488999999999846e-01,7.811645999999999868e-01,6.640188999999999675e-01,6.774107999999999796e-01
2.477159999999999854e+03,5.796814999999999607e-01,6.881416000000000199e-01,7.572569999999999579e-01,6.750266999999999795e-01
2.477409999999999854e+03,7.771759000000000306e-01,8.340020000000000211e-01,7.698646999999999574e-01,7.936808666666665957e-01
2.477650000000000091e+03,7.531843000000000288e-01,7.720048999999999939e-01,6.952738000000000529e-01,7.401543333333333585e-01
2.477900000000000091e+03,7.857739999999999725e-01,7.881679000000000324e-01,7.463431000000000370e-01,7.734283333333333843e-01
2.478139999999999873e+03,8.397959000000000396e-01,8.692220999999999975e-01,9.147575999999999485e-01,8.745918666666666619e-01
2.478389999999999873e+03,7.971985999999999795e-01,9.061352000000000295e-01,7.649527000000000410e-01,8.227621666666666833e-01
2.478630000000000109e+03,8.116276999999999520e-01,8.191384000000000443e-01,9.144776999999999489e-01,8.484145999999999077e-01
2.478880000000000109e+03,8.347067999999999710e-01,8.111726999999999688e-01,8.134614000000000011e-01,8.197803000000000173e-01
2.479119999999999891e+03,7.760259999999999936e-01,7.521259000000000139e-01,7.627213000000000465e-01,7.636243999999999810e-01
2.479369999999999891e+03,8.251813000000000065e-01,7.988870999999999611e-01,7.409303000000000416e-01,7.883329000000000031e-01
2.479620000000000346e+03,9.736785000000000023e-01,8.755089999999999817e-01,7.956250999999999740e-01,8.816041999999999490e-01
2.479860000000000127e+03,9.133879000000000303e-01,9.211954999999999449e-01,9.353040000000000243e-01,9.232957999999999998e-01
2.480109999999999673e+03,9.592123000000000177e-01,9.115299000000000040e-01,9.311578999999999828e-01,9.339667000000000385e-01
2.480349999999999909e+03,1.150328999999999935e+00,1.172225000000000072e+00,1.051247999999999960e+00,1.124600666666666804e+00
2.480599999999999909e+03,1.246407000000000043e+00,1.259602000000000110e+00,1.332689999999999930e+00,1.279566333333333361e+00
2.480850000000000364e+03,1.380333999999999950e+00,1.422482999999999942e+00,1.479276000000000035e+00,1.427364333333333235e+00
2.481090000000000146e+03,1.841382000000000074e+00,1.710193999999999992e+00,1.710088999999999970e+00,1.753888333333333271e+00
2.481339999999999691e+03,2.300797999999999899e+00,2.350079000000000029e+00,2.465984000000000176e+00,2.372287000000000035e+00
2.481579999999999927e+03,3.100887999999999867e+00,2.877194999999999947e+00,2.754503000000000146e+00,2.910861999999999838e+00
