energy,s011,s012,s013,mean
2.463119999999999891e+03,-3.054107000000000132e-04,4.485287000000000128e-03,2.488657000000000022e-03,2.222844433333333487e-03
2.463360000000000127e+03,1.305804999999999943e-03,2.833444000000000067e-03,1.548375000000000055e-03,1.895874666666666833e-03
2.463599999999999909e+03,-1.997036000000000210e-03,-9.084157000000000039e-04,1.312596000000000129e-04,-9.247307000000000400e-04
2.463839999999999691e+03,-6.242438000000000327e-03,3.755155000000000038e-03,-8.893994000000000552e-03,-3.793759000000000280e-03
2.464079999999999927e+03,3.354321999999999859e-03,5.068607000000000147e-03,4.255141999999999952e-03,4.226023666666666075e-03
2.464319999999999709e+03,1.019731999999999974e-03,-6.833020000000000413e-03,6.851204999999999969e-03,3.459723333333331041e-04
2.464559999999999945e+03,-3.385953000000000140e-03,-2.260339000000000098e-03,-3.050812999999999876e-03,-2.899034999999999893e-03
2.464799999999999727e+03,6.250979000000000257e-03,-6.140717999999999871e-03,-3.329832999999999925e-03,-1.073190666666666441e-03
2.465039999999999964e+03,-1.428330999999999915e-03,2.204839000000000104e-03,-1.839038999999999995e-03,-3.541769999999999532e-04
2.465279999999999745e+03,1.080764000000000030e-02,1.195317000000000081e-02,3.274365999999999909e-03,8.678392000000000051e-03
2.465519999999999982e+03,1.244366000000000048e-02,-1.463852000000000078e-03,3.079175000000000076e-04,3.762575166666666786e-03
2.465759999999999764e+03,-7.756769999999999637e-03,2.223346000000000176e-03,5.461826000000000354e-03,-2.386599999999970340e-05
2.466000000000000000e+03,3.187128000000000010e-03,8.393799000000000399e-03,-8.893994000000000552e-03,8.956443333333336107e-04
2.466239999999999782e+03,9.090019000000000018e-05,1.143033000000000070e-02,3.800889999999999911e-03,5.107373396666666648e-03
2.466479999999999563e+03,2.785092999999999944e-02,1.194571999999999995e-02,-3.441773999999999875e-03,1.211829200000000099e-02
2.466719999999999800e+03,1.373569999999999999e-02,3.921535999999999772e-02,8.957770000000000316e-03,2.063627666666666485e-02
2.466960000000000036e+03,2.130664999999999989e-02,4.415500000000000154e-03,6.966596000000000247e-03,1.089624866666666532e-02
2.467200000000000273e+03,5.305080000000000212e-03,1.934846999999999956e-02,1.071347999999999918e-02,1.178901000000000081e-02
2.467449999999999818e+03,2.627565999999999929e-02,2.638789999999999886e-02,1.382528000000000055e-02,2.216294666666666566e-02
2.467690000000000055e+03,2.502827999999999997e-02,1.131607999999999919e-02,1.634841999999999893e-02,1.756425999999999821e-02
2.467929999999999836e+03,4.540480999999999857e-03,3.527004000000000250e-02,3.217675999999999870e-02,2.399576033333333455e-02
2.468170000000000073e+03,6.386505000000000654e-02,4.458248000000000072e-02,2.730381000000000127e-02,4.525044666666667298e-02
2.468409999999999854e+03,7.137628999999999502e-02,7.081005999999999412e-02,3.405404000000000070e-02,5.874679666666666328e-02
2.468649999999999636e+03,9.898057999999999856e-02,6.318719999999999892e-02,8.761824000000000001e-02,8.326200666666666583e-02
2.468889999999999873e+03,1.374944999999999917e-01,9.942644000000000482e-02,9.519598999999999422e-02,1.107056433333333256e-01
2.469139999999999873e+03,4.006157999999999941e-02,4.142260999999999860e-02,4.816812000000000177e-02,4.321743666666666428e-02
2.469380000000000109e+03,6.680299000000000653e-02,5.282794999999999852e-02,5.690408999999999745e-02,5.884501000000000315e-02
2.469619999999999891e+03,8.076672999999999492e-02,5.443151000000000239e-02,4.771029999999999716e-02,6.096951333333333611e-02
2.469860000000000127e+03,3.840016000000000262e-02,4.742650000000000338e-02,5.739293000000000172e-02,4.773986333333333359e-02
2.470099999999999909e+03,9.138630000000000364e-02,5.670482000000000300e-02,1.031056000000000056e-01,8.373224000000001332e-02
2.470349999999999909e+03,1.456990999999999981e-01,1.406900000000000095e-01,1.332834999999999992e-01,1.398908666666666689e-01
2.470590000000000146e+03,2.078195999999999932e-01,1.719651000000000096e-01,1.456951999999999969e-01,1.751599666666666666e-01
2.470829999999999927e+03,2.153301999999999994e-01,1.785229999999999873e-01,2.445209000000000132e-01,2.127913666666666759e-01
2.471070000000000164e+03,2.299564000000000052e-01,2.095325000000000104e-01,2.482572999999999863e-01,2.292487333333333155e-01
2.471320000000000164e+03,3.071525999999999978e-01,2.486733999999999889e-01,2.647551000000000210e-01,2.735270333333333359e-01
2.471560000000000400e+03,2.332805000000000017e-01,2.743283000000000249e-01,1.895400999999999891e-01,2.323829666666666904e-01
2.471800000000000182e+03,2.418227000000000015e-01,2.148600999999999983e-01,2.374980999999999898e-01,2.313936333333333206e-01
2.472039999999999964e+03,2.399646000000000001e-01,2.632605000000000084e-01,2.752987000000000073e-01,2.595079333333333294e-01
2.472289999999999964e+03,2.806253000000000219e-01,2.408126999999999907e-01,2.826992999999999867e-01,2.680457666666666849e-01
2.472529999999999745e+03,2.513954999999999940e-01,1.818759000000000070e-01,2.364445000000000019e-01,2.232386333333332973e-01
2.472769999999999982e+03,2.059275999999999884e-01,2.235901999999999890e-01,2.641505000000000103e-01,2.312227666666666348e-01
2.473019999999999982e+03,2.765892999999999824e-01,1.950394000000000017e-01,1.981921000000000099e-01,2.232735999999999887e-01
2.473259999999999764e+03,2.580305999999999989e-01,2.721044000000000240e-01,3.315299999999999914e-01,2.872216666666666529e-01
2.473500000000000000e+03,2.696392000000000233e-01,2.135077999999999976e-01,2.587878000000000123e-01,2.473115999999999925e-01
2.473750000000000000e+03,2.681298999999999766e-01,2.322201000000000126e-01,2.483866999999999881e-01,2.495788999999999647e-01
2.473990000000000236e+03,2.928724999999999801e-01,2.383066000000000073e-01,1.896693999999999880e-01,2.402828333333333344e-01
2.474230000000000018e+03,2.712293000000000065e-01,2.095210999999999879e-01,1.234438000000000063e-01,2.013980666666666808e-01
2.474479999999999563e+03,3.024330000000000074e-01,2.393766999999999978e-01,1.571311999999999987e-01,2.329803000000000013e-01
2.474720000000000255e+03,1.670366000000000073e-01,1.625514999999999877e-01,1.959864000000000051e-01,1.751915000000000278e-01
2.474960000000000036e+03,2.027304000000000050e-01,2.508652000000000104e-01,1.918009999999999993e-01,2.151321999999999957e-01
2.475210000000000036e+03,2.340243999999999935e-01,1.801534999999999942e-01,1.653370000000000117e-01,1.931716333333333147e-01
2.475449999999999818e+03,1.845703999999999956e-01,1.850572000000000050e-01,1.919350999999999974e-01,1.871875666666666660e-01
2.475699999999999818e+03,1.992821999999999927e-01,1.535576999999999914e-01,1.902281000000000111e-01,1.810226666666666651e-01
2.475940000000000055e+03,2.042265000000000053e-01,1.808710000000000040e-01,1.945643999999999985e-01,1.932206333333333081e-01
2.476190000000000055e+03,2.546547000000000116e-01,2.102862000000000064e-01,2.061935000000000018e-01,2.237114666666666640e-01
2.476430000000000291e+03,2.061684000000000017e-01,2.543670000000000098e-01,2.057304000000000077e-01,2.220885999999999971e-01
2.476670000000000073e+03,2.793023000000000033e-01,2.697761000000000187e-01,2.303074999999999983e-01,2.597953000000000068e-01
2.476919999999999618e+03,2.369244000000000072e-01,2.826820999999999917e-01,2.941128000000000076e-01,2.712397666666666596e-01
2.477159999999999854e+03,3.389176999999999884e-01,3.547006999999999799e-01,2.350543999999999967e-01,3.095575999999999883e-01
2.477409999999999854e+03,3.280123999999999818e-01,4.081311000000000244e-01,3.075295000000000112e-01,3.478910000000000058e-01
