energy,s050,s051,s052,s053,s054,mean
2.466479999999999563e+03,8.448440999999999243e-03,2.205889999999999934e-02,1.641997999999999982e-03,9.519875000000000559e-03,-3.325105999999999982e-03,7.668821599999998614e-03
2.466719999999999800e+03,1.474911999999999924e-02,1.104230999999999963e-02,2.213123000000000173e-02,9.198414000000000243e-03,3.145496999999999876e-02,1.771520879999999992e-02
2.466960000000000036e+03,6.262123999999999989e-03,4.788697999999999870e-04,4.681997999999999716e-03,1.526361000000000037e-02,1.234609000000000054e-02,7.806538360000001182e-03
2.467200000000000273e+03,1.546023000000000015e-02,1.208337999999999947e-02,1.906837999999999936e-02,2.329472999999999874e-03,2.100157999999999886e-02,1.398860859999999894e-02
2.467449999999999818e+03,3.251323999999999881e-02,2.844344999999999860e-02,3.215148999999999785e-02,4.590513000000000059e-03,1.943312999999999985e-02,2.342636459999999921e-02
2.467690000000000055e+03,1.261262999999999967e-02,3.301600999999999841e-02,3.748601000000000016e-02,1.725128999999999899e-02,3.001498000000000013e-02,2.607618400000000225e-02
2.467929999999999836e+03,3.776258999999999866e-02,2.760813000000000156e-02,3.442397999999999986e-02,3.699945999999999791e-02,2.983227000000000101e-02,3.332528599999999563e-02
2.468170000000000073e+03,7.730111000000000621e-02,7.630592999999999404e-02,5.369208000000000314e-02,9.346701999999999788e-02,4.945522000000000112e-02,7.004427200000000464e-02
2.468409999999999854e+03,1.189624999999999988e-01,1.316317999999999933e-01,1.312421000000000004e-01,8.411048999999999609e-02,1.021162999999999932e-01,1.136126379999999880e-01
2.468649999999999636e+03,1.540356999999999976e-01,1.314347999999999905e-01,1.702000999999999931e-01,1.856269000000000113e-01,1.637338999999999878e-01,1.610062800000000016e-01
2.468889999999999873e+03,1.758433000000000079e-01,1.760976999999999959e-01,9.911330999999999614e-02,1.529362999999999972e-01,1.291519999999999890e-01,1.466285220000000111e-01
2.469139999999999873e+03,1.348459999999999936e-01,1.346707000000000043e-01,1.127945999999999949e-01,8.859511999999999943e-02,1.291025000000000089e-01,1.200017840000000141e-01
2.469380000000000109e+03,1.022903000000000007e-01,1.282019000000000075e-01,8.069608999999999810e-02,1.271731000000000111e-01,5.346408999999999884e-02,9.836509600000001297e-02
2.469619999999999891e+03,8.618009000000000086e-02,1.335176999999999892e-01,9.954735000000000666e-02,6.357930000000000526e-02,9.044117000000000128e-02,9.465312200000000620e-02
2.469860000000000127e+03,1.311212999999999962e-01,1.008990000000000026e-01,1.256011999999999962e-01,1.399096999999999980e-01,6.103056999999999926e-02,1.117123540000000137e-01
2.470099999999999909e+03,1.710936000000000123e-01,1.672057000000000127e-01,1.673976000000000075e-01,1.170092999999999966e-01,1.440545000000000020e-01,1.533521399999999979e-01
2.470349999999999909e+03,2.734753999999999796e-01,2.394715000000000038e-01,2.086011000000000115e-01,2.166128999999999971e-01,2.401790000000000036e-01,2.356679799999999714e-01
2.470590000000000146e+03,3.650287999999999866e-01,3.182344999999999757e-01,2.880197999999999925e-01,2.898742000000000263e-01,2.907197999999999727e-01,3.103754200000000130e-01
2.470829999999999927e+03,3.227092999999999767e-01,3.260898999999999881e-01,3.205753000000000075e-01,3.253803000000000112e-01,3.374747000000000163e-01,3.264459000000000111e-01
