energy,s034,s035,s036,s037,mean
2.463119999999999891e+03,6.874744000000000341e-03,-1.104946000000000053e-02,1.768232000000000007e-03,4.374369000000000347e-03,4.919712499999999867e-04
2.463360000000000127e+03,-2.608527000000000241e-04,4.290597000000000161e-03,-1.696941999999999895e-03,-1.405095000000000085e-03,2.319268250000001475e-04
2.463599999999999909e+03,1.441957999999999912e-03,6.591449999999999783e-04,-5.110486000000000022e-03,-9.967907999999999283e-03,-3.244322749999999610e-03
2.463839999999999691e+03,-1.348418000000000012e-02,5.007556999999999937e-04,-5.328343999999999615e-03,-1.674488999999999925e-03,-4.996564325000000216e-03
2.464079999999999927e+03,-1.348418000000000012e-02,1.563043999999999979e-03,-8.647300999999999599e-03,4.954927999999999937e-03,-3.903377250000000277e-03
2.464319999999999709e+03,1.262179000000000079e-02,2.430464999999999980e-04,4.672687000000000021e-03,-2.551415999999999927e-03,3.746526874999999562e-03
2.464559999999999945e+03,3.232877999999999794e-03,8.201714000000000573e-03,2.769403000000000142e-03,8.788953999999999864e-03,5.748237249999999660e-03
2.464799999999999727e+03,3.057851999999999792e-03,-4.408841000000000149e-03,1.157274999999999970e-02,-2.519344000000000184e-03,1.925604249999999899e-03
2.465039999999999964e+03,-3.147280999999999928e-04,1.559225000000000021e-02,-7.275386000000000006e-03,1.123821000000000021e-02,4.810086475000000146e-03
2.465279999999999745e+03,8.205198999999999826e-03,8.764353000000000768e-03,-9.416538999999999812e-03,2.237841999999999869e-03,2.447713749999999838e-03
2.465519999999999982e+03,1.769764000000000059e-02,3.179955999999999842e-03,-1.660009999999999958e-02,1.148211000000000023e-02,3.939901500000000598e-03
2.465759999999999764e+03,1.559549000000000005e-02,-1.438423999999999996e-03,-1.353117000000000035e-02,1.550651999999999933e-02,4.033103999999999162e-03
2.466000000000000000e+03,2.669251999999999996e-03,1.323740999999999980e-02,2.228494000000000134e-03,2.689969999999999861e-03,5.206281499999999840e-03
2.466239999999999782e+03,1.305049999999999960e-02,1.556411000000000079e-02,-7.707699000000000147e-03,6.369297999999999800e-03,6.819052249999999794e-03
2.466479999999999563e+03,1.866666000000000158e-02,4.272804000000000185e-02,6.500619999999999706e-04,1.417695999999999974e-03,1.586561449999999984e-02
2.466719999999999800e+03,7.007275000000000309e-03,1.429203000000000071e-02,-1.643112999999999865e-02,9.446826999999999655e-03,3.578750500000000504e-03
2.466960000000000036e+03,2.377765999999999907e-02,4.613212999999999689e-03,9.733435999999999824e-03,3.827285999999999883e-02,1.909929224999999675e-02
2.467200000000000273e+03,1.737613000000000005e-02,2.013291999999999859e-02,1.159837000000000021e-02,1.922613000000000100e-02,1.708338749999999823e-02
2.467449999999999818e+03,2.980638000000000037e-02,2.047434999999999880e-02,3.166333000000000342e-02,1.996782999999999891e-02,2.547797250000000124e-02
2.467690000000000055e+03,4.715543999999999986e-02,2.724692999999999907e-02,1.892954000000000164e-02,4.321864999999999735e-02,3.413763999999999688e-02
2.467929999999999836e+03,6.049055999999999877e-02,4.317611999999999839e-02,4.178922999999999666e-02,5.108026999999999707e-02,4.913404500000000119e-02
2.468170000000000073e+03,9.073301000000000283e-02,4.782063000000000286e-02,6.443872999999999962e-02,7.577704000000000384e-02,6.969235249999999882e-02
2.468409999999999854e+03,1.128337999999999980e-01,1.060523000000000021e-01,1.001810999999999952e-01,1.561617999999999895e-01,1.188072500000000031e-01
2.468649999999999636e+03,1.817117000000000038e-01,1.511105000000000087e-01,1.789166000000000090e-01,1.988492000000000037e-01,1.776469999999999994e-01
2.468889999999999873e+03,1.636639000000000010e-01,1.375070999999999932e-01,1.729265000000000108e-01,1.828271999999999953e-01,1.642311749999999793e-01
2.469139999999999873e+03,1.531798000000000048e-01,9.063678000000000012e-02,1.739777999999999880e-01,1.315460999999999991e-01,1.373351200000000050e-01
2.469380000000000109e+03,1.187546000000000018e-01,9.933337999999999890e-02,1.029980000000000062e-01,9.813705999999999818e-02,1.048057599999999978e-01
2.469619999999999891e+03,4.666093000000000324e-02,9.435343999999999676e-02,7.884294000000000024e-02,9.908790000000000653e-02,7.973630249999999475e-02
2.469860000000000127e+03,8.146588999999999914e-02,1.389114999999999933e-01,1.068949000000000010e-01,1.087343999999999949e-01,1.090016725000000075e-01
2.470099999999999909e+03,1.644908999999999955e-01,1.706564999999999888e-01,1.231027999999999983e-01,2.247895000000000032e-01,1.707599250000000068e-01
2.470349999999999909e+03,2.306171999999999944e-01,2.341097000000000039e-01,2.430290999999999979e-01,2.966826000000000185e-01,2.511096500000000176e-01
2.470590000000000146e+03,3.350646999999999931e-01,2.014778999999999876e-01,2.995333000000000023e-01,2.859415000000000151e-01,2.805043500000000134e-01
2.470829999999999927e+03,3.831918999999999742e-01,3.729207999999999967e-01,3.668642999999999765e-01,3.540658999999999890e-01,3.692607249999999564e-01
2.471070000000000164e+03,4.368331999999999771e-01,3.675809999999999911e-01,3.950936999999999921e-01,3.627523000000000275e-01,3.905650499999999692e-01
2.471320000000000164e+03,4.356794999999999973e-01,4.155630000000000157e-01,4.502097999999999933e-01,4.377095999999999765e-01,4.347904750000000096e-01
2.471560000000000400e+03,4.557152999999999898e-01,4.230373000000000050e-01,4.059131999999999740e-01,4.958432999999999868e-01,4.451272749999999889e-01
2.471800000000000182e+03,4.393589999999999995e-01,4.294059000000000070e-01,4.572591999999999768e-01,4.722881999999999914e-01,4.495780749999999659e-01
2.472039999999999964e+03,4.001666999999999863e-01,3.887613999999999792e-01,3.885226999999999986e-01,4.621808000000000027e-01,4.099078999999999917e-01
2.472289999999999964e+03,4.773857000000000239e-01,3.837195999999999940e-01,4.643771999999999900e-01,4.639521999999999813e-01,4.473586749999999834e-01
2.472529999999999745e+03,4.368717999999999768e-01,4.400097000000000036e-01,4.529861000000000026e-01,4.553798000000000012e-01,4.463118500000000100e-01
2.472769999999999982e+03,4.879854000000000136e-01,3.959308000000000272e-01,4.192514999999999992e-01,3.578798999999999730e-01,4.152618999999999616e-01
2.473019999999999982e+03,3.599345999999999934e-01,3.603411000000000253e-01,3.887741000000000113e-01,4.094660999999999995e-01,3.796289749999999796e-01
2.473259999999999764e+03,4.472365999999999842e-01,3.044875000000000220e-01,4.263869000000000131e-01,3.741772999999999905e-01,3.880720749999999608e-01
2.473500000000000000e+03,3.971600000000000130e-01,3.379706000000000099e-01,3.459250999999999854e-01,4.345688999999999802e-01,3.789061499999999416e-01
2.473750000000000000e+03,3.199438000000000004e-01,3.762741000000000002e-01,4.288156000000000190e-01,3.245480000000000032e-01,3.623953750000000196e-01
2.473990000000000236e+03,3.922478999999999827e-01,3.970179999999999820e-01,3.927417000000000269e-01,4.410626000000000269e-01,4.057675499999999769e-01
2.474230000000000018e+03,3.493402999999999925e-01,3.372657000000000016e-01,3.603099000000000163e-01,3.931034999999999946e-01,3.600048500000000429e-01
2.474479999999999563e+03,3.534760000000000124e-01,3.778171000000000168e-01,3.590766000000000235e-01,3.393508000000000080e-01,3.574301250000000429e-01
2.474720000000000255e+03,4.029962999999999740e-01,3.707278999999999991e-01,3.842142000000000057e-01,2.925535000000000219e-01,3.626229749999999585e-01
2.474960000000000036e+03,2.449800000000000033e-01,3.256478999999999902e-01,2.574259999999999882e-01,3.552609999999999935e-01,2.958287250000000146e-01
2.475210000000000036e+03,2.291129000000000082e-01,2.717259000000000202e-01,3.456129000000000007e-01,2.794852999999999921e-01,2.814842499999999914e-01
2.475449999999999818e+03,3.037656000000000245e-01,2.057852000000000015e-01,2.461569000000000118e-01,3.036173999999999817e-01,2.648312749999999771e-01
2.475699999999999818e+03,2.910549000000000053e-01,2.852081000000000199e-01,3.188937000000000022e-01,3.186942999999999859e-01,3.034627500000000033e-01
2.475940000000000055e+03,3.224466999999999750e-01,2.930099999999999927e-01,2.899198000000000053e-01,2.721334000000000253e-01,2.943774749999999996e-01
2.476190000000000055e+03,4.019674999999999776e-01,3.359092000000000189e-01,3.275499000000000049e-01,2.824460999999999777e-01,3.369681749999999809e-01
2.476430000000000291e+03,3.249357999999999969e-01,3.175838000000000272e-01,3.817548000000000052e-01,3.756124000000000129e-01,3.499716999999999967e-01
2.476670000000000073e+03,3.181155999999999984e-01,4.384153000000000078e-01,3.684739000000000209e-01,4.246703000000000006e-01,3.874187750000000485e-01
2.476919999999999618e+03,4.225438000000000249e-01,3.725068999999999741e-01,4.440310000000000090e-01,4.243482000000000087e-01,4.158574750000000320e-01
2.477159999999999854e+03,4.744120000000000004e-01,4.695991999999999944e-01,4.425835000000000186e-01,4.293948000000000209e-01,4.539973750000000363e-01
2.477409999999999854e+03,4.372068000000000065e-01,4.683873000000000064e-01,4.744749999999999801e-01,5.035484999999999545e-01,4.709044000000000008e-01
2.477650000000000091e+03,5.571772000000000391e-01,5.150660000000000238e-01,5.561055000000000303e-01,5.457402999999999560e-01,5.435222499999999846e-01
2.477900000000000091e+03,5.269354000000000537e-01,5.686664999999999637e-01,5.205899000000000498e-01,5.593274999999999775e-01,5.438798250000000944e-01
2.478139999999999873e+03,5.320135999999999754e-01,6.300715000000000066e-01,5.812964999999999938e-01,5.534362000000000448e-01,5.742044500000000884e-01
2.478389999999999873e+03,5.820809999999999595e-01,5.261557999999999513e-01,5.824650999999999579e-01,5.219437000000000104e-01,5.531613999999999143e-01
2.478630000000000109e+03,5.480964000000000391e-01,4.882355999999999918e-01,5.745379999999999932e-01,5.277500000000000524e-01,5.346549999999999914e-01
2.478880000000000109e+03,5.409338000000000202e-01,5.851319000000000381e-01,6.055842999999999643e-01,6.019894000000000078e-01,5.834098500000000076e-01
2.479119999999999891e+03,5.419213999999999976e-01,5.318414000000000197e-01,6.072766000000000552e-01,6.239791000000000087e-01,5.762546250000000203e-01
2.479369999999999891e+03,6.000590999999999564e-01,5.658594000000000124e-01,5.391937999999999453e-01,5.805065000000000364e-01,5.714046999999999876e-01
2.479620000000000346e+03,6.291031000000000262e-01,5.214773000000000325e-01,6.207028999999999463e-01,6.377595999999999821e-01,6.022607249999999413e-01
2.479860000000000127e+03,7.038155000000000383e-01,7.182536999999999949e-01,6.853797999999999835e-01,7.946655999999999720e-01,7.255286499999999972e-01
2.480109999999999673e+03,8.269358999999999460e-01,8.716612999999999722e-01,8.002384999999999637e-01,7.698005999999999460e-01,8.171590749999999570e-01
2.480349999999999909e+03,1.125140000000000029e+00,1.062459999999999960e+00,1.101830000000000087e+00,9.825401000000000273e-01,1.067992524999999970e+00
2.480599999999999909e+03,1.202841999999999967e+00,1.271276000000000073e+00,1.319628000000000023e+00,1.324071999999999916e+00,1.279454499999999939e+00
2.480850000000000364e+03,1.405502999999999947e+00,1.607588000000000017e+00,1.591415999999999942e+00,1.684117000000000086e+00,1.572156000000000109e+00
2.481090000000000146e+03,1.961907000000000068e+00,2.196633999999999975e+00,2.166697000000000095e+00,2.004175000000000040e+00,2.082353249999999711e+00
2.481339999999999691e+03,2.736317000000000110e+00,3.068871999999999822e+00,3.037158999999999942e+00,3.077239000000000058e+00,2.979896750000000427e+00
2.481579999999999927e+03,3.929247999999999852e+00,3.753483000000000125e+00,3.748677999999999955e+00,3.855776000000000092e+00,3.821796250000000228e+00
2.481829999999999927e+03,4.373035999999999923e+00,4.562687999999999633e+00,4.653006999999999671e+00,4.807503999999999778e+00,4.599058749999999307e+00
2.482079999999999927e+03,4.459686999999999735e+00,4.684764999999999624e+00,4.559352999999999767e+00,4.742134000000000071e+00,4.611484749999999799e+00
