energy,s032,s033,mean
2.477409999999999854e+03,7.889593000000000300e-01,7.816380000000000550e-01,7.852986500000000980e-01
2.477650000000000091e+03,8.657143999999999950e-01,7.478299000000000474e-01,8.067721500000000212e-01
2.477900000000000091e+03,7.818838000000000177e-01,7.713763000000000147e-01,7.766300500000000717e-01
2.478139999999999873e+03,7.708711999999999787e-01,7.626437999999999828e-01,7.667574999999999807e-01
2.478389999999999873e+03,6.715248000000000328e-01,8.376318000000000374e-01,7.545783000000000351e-01
2.478630000000000109e+03,7.463741999999999877e-01,8.320345000000000102e-01,7.892043499999999989e-01
2.478880000000000109e+03,7.532484000000000401e-01,7.909597999999999907e-01,7.721040999999999599e-01
2.479119999999999891e+03,7.440156999999999465e-01,6.628901999999999850e-01,7.034529499999999658e-01
2.479369999999999891e+03,6.872230000000000283e-01,7.522278000000000020e-01,7.197253999999999596e-01
2.479620000000000346e+03,8.890352999999999728e-01,8.276086000000000276e-01,8.583219500000000002e-01
2.479860000000000127e+03,8.568086999999999787e-01,9.158743999999999774e-01,8.863415500000000335e-01
2.480109999999999673e+03,9.699853999999999976e-01,1.016240000000000032e+00,9.931126999999999594e-01
2.480349999999999909e+03,9.748972999999999667e-01,1.089207999999999954e+00,1.032052650000000016e+00
2.480599999999999909e+03,1.218199999999999950e+00,1.369477999999999973e+00,1.293838999999999961e+00
2.480850000000000364e+03,1.528925000000000090e+00,1.501301999999999914e+00,1.515113500000000002e+00
2.481090000000000146e+03,1.899852000000000096e+00,1.921573999999999893e+00,1.910712999999999884e+00
2.481339999999999691e+03,2.502993000000000023e+00,2.545221999999999873e+00,2.524107499999999948e+00
2.481579999999999927e+03,3.420456999999999859e+00,3.441612999999999811e+00,3.431034999999999613e+00
2.481829999999999927e+03,3.930804999999999882e+00,3.668070999999999859e+00,3.799437999999999871e+00
2.482079999999999927e+03,3.971194999999999808e+00,4.143594000000000221e+00,4.057394500000000015e+00
2.482320000000000164e+03,3.911849000000000132e+00,4.066586000000000034e+00,3.989217500000000083e+00
2.482570000000000164e+03,3.624785000000000146e+00,3.495544999999999902e+00,3.560165000000000024e+00
2.482819999999999709e+03,2.887157999999999891e+00,3.045525000000000038e+00,2.966341499999999964e+00
2.483059999999999945e+03,2.340073999999999987e+00,2.569055999999999784e+00,2.454564999999999664e+00
2.483309999999999945e+03,1.985279999999999934e+00,1.955165000000000042e+00,1.970222499999999988e+00
2.483560000000000400e+03,1.713675000000000059e+00,1.646052000000000071e+00,1.679863500000000176e+00
2.483809999999999945e+03,1.328521999999999981e+00,1.443821000000000021e+00,1.386171500000000112e+00
2.484049999999999727e+03,1.128986000000000045e+00,1.274408999999999903e+00,1.201697499999999863e+00
2.484300000000000182e+03,1.044910000000000005e+00,1.275207999999999897e+00,1.160058999999999951e+00
2.484550000000000182e+03,1.168257000000000101e+00,1.192013999999999907e+00,1.180135500000000004e+00
2.484799999999999727e+03,1.036947999999999981e+00,9.502998000000000278e-01,9.936239000000000043e-01
2.485039999999999964e+03,1.091382000000000074e+00,8.832586999999999522e-01,9.873203500000000687e-01
2.485289999999999964e+03,1.115823000000000009e+00,1.084767999999999954e+00,1.100295500000000093e+00
2.485539999999999964e+03,8.679470999999999714e-01,1.089712999999999932e+00,9.788300500000000071e-01
2.485789999999999964e+03,9.318845000000000045e-01,8.514216000000000006e-01,8.916530499999999471e-01
2.486029999999999745e+03,8.173241999999999452e-01,9.501104000000000216e-01,8.837173000000000389e-01
2.486279999999999745e+03,8.580729000000000273e-01,9.404730000000000034e-01,8.992729500000000709e-01
2.486530000000000200e+03,9.001926000000000094e-01,8.515477999999999659e-01,8.758702000000000432e-01
2.486780000000000200e+03,9.137146000000000434e-01,9.616415999999999853e-01,9.376781000000000699e-01
2.487029999999999745e+03,7.620850000000000124e-01,7.769736000000000420e-01,7.695293000000000827e-01
2.487280000000000200e+03,8.966328000000000076e-01,8.072605999999999948e-01,8.519467000000000567e-01
2.487519999999999982e+03,8.763748000000000093e-01,7.502777999999999947e-01,8.133262999999999465e-01
