energy,s031,s032,s033,s034,mean
2.469380000000000109e+03,1.903042000000000067e-01,1.217585999999999946e-01,1.351434999999999997e-01,1.618075999999999959e-01,1.522534749999999715e-01
2.469619999999999891e+03,1.296848999999999918e-01,1.230556000000000011e-01,1.248855999999999994e-01,1.516122000000000025e-01,1.323095749999999848e-01
2.469860000000000127e+03,1.518787000000000054e-01,1.752632000000000079e-01,1.933281000000000027e-01,1.325738999999999945e-01,1.632609750000000026e-01
2.470099999999999909e+03,2.567266999999999744e-01,2.583537000000000194e-01,2.849709000000000270e-01,2.480356999999999978e-01,2.620217499999999977e-01
2.470349999999999909e+03,4.268826000000000009e-01,4.916598999999999831e-01,4.635874999999999857e-01,4.326677999999999913e-01,4.536994500000000041e-01
2.470590000000000146e+03,5.495649999999999702e-01,5.756556999999999924e-01,6.007057999999999565e-01,5.877723000000000253e-01,5.784247000000000138e-01
2.470829999999999927e+03,6.089679999999999538e-01,6.012511999999999857e-01,6.617058999999999580e-01,5.886569000000000385e-01,6.151455000000000117e-01
2.471070000000000164e+03,6.801755000000000440e-01,7.243842000000000336e-01,6.313493000000000022e-01,6.051123999999999947e-01,6.602553500000000186e-01
2.471320000000000164e+03,5.866308000000000078e-01,7.239539000000000391e-01,6.850252999999999481e-01,6.174212000000000033e-01,6.532577999999999996e-01
2.471560000000000400e+03,6.384836000000000400e-01,6.785292000000000545e-01,6.327490999999999532e-01,5.651848999999999901e-01,6.287366999999999262e-01
2.471800000000000182e+03,6.004121000000000041e-01,6.263503999999999738e-01,5.558798999999999824e-01,6.067892999999999759e-01,5.973579249999999563e-01
2.472039999999999964e+03,6.101982000000000239e-01,5.256157000000000190e-01,6.548452000000000162e-01,6.362512000000000167e-01,6.067275750000000745e-01
2.472289999999999964e+03,6.468443999999999861e-01,5.938522999999999996e-01,5.928160000000000096e-01,7.202115999999999518e-01,6.384310749999999590e-01
2.472529999999999745e+03,5.686381999999999826e-01,6.700013999999999692e-01,6.306606000000000156e-01,5.912313000000000152e-01,6.151328750000000234e-01
2.472769999999999982e+03,4.895650999999999753e-01,5.372057000000000082e-01,5.965854999999999908e-01,6.254459999999999464e-01,5.622005749999999802e-01
2.473019999999999982e+03,6.264676999999999607e-01,4.749982999999999844e-01,4.902417000000000025e-01,5.180249999999999577e-01,5.274331749999998653e-01
2.473259999999999764e+03,5.205777999999999794e-01,6.041195000000000315e-01,6.079850999999999450e-01,6.562198999999999671e-01,5.972255749999999530e-01
2.473500000000000000e+03,6.825063999999999576e-01,5.921075000000000088e-01,6.005508000000000512e-01,5.949780999999999542e-01,6.175357000000000207e-01
2.473750000000000000e+03,5.515202000000000160e-01,6.014679000000000553e-01,6.093562000000000145e-01,5.799436999999999509e-01,5.855719999999999814e-01
2.473990000000000236e+03,5.631905999999999857e-01,5.730488000000000248e-01,6.510437999999999503e-01,5.710802000000000378e-01,5.895908499999999997e-01
2.474230000000000018e+03,5.540492999999999668e-01,5.764323000000000086e-01,6.214524999999999633e-01,6.671593999999999580e-01,6.047733749999999464e-01
2.474479999999999563e+03,5.575440000000000396e-01,4.839169999999999860e-01,5.244117999999999835e-01,5.729668999999999457e-01,5.347099250000000303e-01
2.474720000000000255e+03,4.666440000000000032e-01,5.523930000000000229e-01,4.976937000000000166e-01,5.113474000000000075e-01,5.070195250000000264e-01
2.474960000000000036e+03,4.825170999999999766e-01,4.955229999999999912e-01,4.527623000000000064e-01,4.583883000000000263e-01,4.722976749999999724e-01
2.475210000000000036e+03,4.091445000000000221e-01,3.709679000000000171e-01,3.350100999999999773e-01,3.969083999999999945e-01,3.780077250000000166e-01
2.475449999999999818e+03,4.397075999999999762e-01,3.877507000000000037e-01,4.137792000000000137e-01,4.366397000000000195e-01,4.194692999999999894e-01
