energy,s026,s027,s028,s029,s030,s031,mean
2.467929999999999836e+03,6.436485000000000123e-02,8.200171000000000543e-02,9.022041999999999562e-02,8.759434000000000664e-02,9.238617999999999830e-02,4.869256999999999752e-02,7.754334499999999963e-02
2.468170000000000073e+03,1.418741000000000030e-01,1.201798000000000033e-01,1.258898999999999990e-01,1.159419000000000005e-01,1.343129999999999880e-01,1.094824999999999965e-01,1.246135333333333456e-01
2.468409999999999854e+03,2.242954000000000059e-01,1.941661000000000081e-01,2.106482000000000077e-01,1.672588000000000130e-01,1.891208000000000056e-01,2.209985999999999895e-01,2.010813166666667040e-01
2.468649999999999636e+03,2.890372999999999970e-01,2.914553999999999756e-01,3.042219999999999924e-01,2.659791000000000238e-01,2.646838000000000246e-01,3.026583999999999941e-01,2.863393333333333346e-01
2.468889999999999873e+03,3.114924000000000026e-01,3.082822000000000062e-01,3.191301999999999750e-01,2.690146999999999955e-01,2.334147000000000027e-01,2.893000000000000016e-01,2.884390333333333167e-01
2.469139999999999873e+03,2.604341000000000017e-01,2.923490999999999729e-01,2.842927000000000093e-01,2.342953999999999870e-01,2.335586000000000051e-01,2.587788999999999784e-01,2.606181333333333350e-01
2.469380000000000109e+03,1.896463999999999928e-01,2.142381999999999898e-01,2.050850999999999924e-01,2.002655000000000129e-01,2.084650999999999865e-01,1.118405999999999983e-01,1.882568166666666876e-01
2.469619999999999891e+03,1.222903999999999936e-01,2.065405999999999909e-01,1.750488000000000044e-01,1.710116999999999887e-01,1.390890999999999933e-01,1.490314000000000083e-01,1.605020000000000058e-01
2.469860000000000127e+03,1.515480999999999911e-01,1.714276999999999884e-01,1.614526000000000017e-01,1.779363999999999946e-01,1.566316000000000097e-01,1.874954000000000065e-01,1.677486333333333413e-01
2.470099999999999909e+03,2.950247999999999760e-01,2.729454000000000047e-01,2.533348999999999740e-01,2.122673999999999950e-01,2.295304999999999984e-01,2.509951999999999739e-01,2.523497000000000101e-01
2.470349999999999909e+03,4.096137999999999724e-01,4.007310000000000039e-01,3.649712999999999985e-01,3.879692000000000141e-01,3.973922999999999761e-01,4.178377999999999814e-01,3.964192333333333429e-01
2.470590000000000146e+03,5.718244999999999578e-01,5.513445000000000151e-01,5.732158000000000531e-01,5.094836000000000364e-01,5.208363000000000298e-01,4.558478000000000252e-01,5.304254166666666492e-01
2.470829999999999927e+03,5.783745999999999610e-01,6.300128000000000394e-01,6.485977000000000547e-01,6.196642999999999457e-01,6.333600000000000341e-01,5.430971999999999467e-01,6.088510999999999784e-01
2.471070000000000164e+03,6.279844999999999455e-01,6.708347999999999534e-01,6.411727000000000398e-01,6.019265999999999783e-01,6.014998999999999763e-01,6.106342999999999632e-01,6.256754666666666242e-01
2.471320000000000164e+03,7.524515999999999982e-01,6.998254000000000419e-01,6.638735999999999526e-01,7.238038999999999445e-01,6.807701000000000446e-01,6.565554000000000112e-01,6.962133333333334617e-01
2.471560000000000400e+03,7.004903000000000102e-01,7.152205000000000368e-01,6.508300000000000196e-01,6.933761000000000507e-01,6.383754999999999846e-01,6.324182000000000414e-01,6.717851000000001349e-01
