energy,s038,s039,mean
2.463119999999999891e+03,-1.114043999999999972e-02,1.619021999999999909e-03,-4.760709000000000121e-03
2.463360000000000127e+03,-9.740634999999999225e-03,1.986107999999999884e-03,-3.877263499999999453e-03
2.463599999999999909e+03,7.854065000000000352e-03,-2.027117000000000155e-03,2.913474000000000098e-03
2.463839999999999691e+03,-5.144448000000000250e-03,-3.969359000000000429e-03,-4.556903500000000773e-03
2.464079999999999927e+03,4.391660000000000355e-03,-5.152303999999999912e-03,-3.803219999999997783e-04
2.464319999999999709e+03,1.152769000000000016e-02,1.762984999999999899e-03,6.645337500000000029e-03
2.464559999999999945e+03,4.302786000000000176e-04,1.098547000000000065e-02,5.707874300000000470e-03
2.464799999999999727e+03,1.821831000000000101e-03,-5.204811000000000160e-03,-1.691489999999999921e-03
2.465039999999999964e+03,5.513724000000000229e-03,-4.546209000000000166e-04,2.529551550000000079e-03
2.465279999999999745e+03,5.661977999999999803e-03,-3.832507000000000188e-03,9.147354999999998074e-04
2.465519999999999982e+03,8.582704000000000027e-03,-3.987504000000000222e-03,2.297599999999999903e-03
2.465759999999999764e+03,1.062435999999999936e-02,6.701669999999999849e-03,8.663014999999999605e-03
2.466000000000000000e+03,1.858678000000000164e-05,1.890564999999999954e-02,9.462118389999999574e-03
2.466239999999999782e+03,1.104046000000000020e-02,3.523577999999999866e-03,7.282018999999999818e-03
2.466479999999999563e+03,1.036526999999999935e-02,1.813218999999999942e-02,1.424872999999999938e-02
2.466719999999999800e+03,2.640328000000000119e-02,1.260981000000000081e-02,1.950654500000000013e-02
2.466960000000000036e+03,2.512032999999999974e-02,1.983044000000000126e-02,2.247538500000000050e-02
2.467200000000000273e+03,2.236095999999999917e-02,3.542971999999999788e-02,2.889533999999999853e-02
2.467449999999999818e+03,5.157973999999999892e-02,2.093110000000000109e-02,3.625541999999999654e-02
2.467690000000000055e+03,4.106541999999999831e-02,3.184978000000000115e-02,3.645759999999999973e-02
2.467929999999999836e+03,9.777392000000000027e-02,6.131872000000000017e-02,7.954632000000000369e-02
2.468170000000000073e+03,1.279780000000000084e-01,1.016057999999999961e-01,1.147919000000000023e-01
2.468409999999999854e+03,2.390208000000000055e-01,1.859638999999999875e-01,2.124923499999999965e-01
