energy,s055,s056,s057,mean
2.463119999999999891e+03,-1.097054999999999992e-03,-3.026795000000000093e-03,-6.400588999999999931e-03,-3.508146333333333339e-03
2.463360000000000127e+03,3.750669999999999785e-03,4.454818000000000146e-04,-9.469428000000000220e-03,-1.757758733333333401e-03
2.463599999999999909e+03,-4.463293000000000121e-03,1.332820000000000012e-02,-2.828085000000000147e-03,2.012274000000000094e-03
2.463839999999999691e+03,9.455256000000000424e-03,8.689182000000000156e-03,1.897685000000000084e-03,6.680707666666666454e-03
2.464079999999999927e+03,-2.970742000000000174e-03,4.255209000000000140e-04,9.409001999999999644e-03,2.287926966666666440e-03
2.464319999999999709e+03,-2.328160000000000125e-03,-4.351536000000000141e-04,-4.706272000000000059e-04,-1.077980266666666697e-03
2.464559999999999945e+03,1.599350999999999941e-03,-4.710157000000000406e-03,-6.163028000000000083e-03,-3.091278000000000688e-03
2.464799999999999727e+03,-3.946027999999999862e-03,-1.471627999999999999e-02,1.402507000000000059e-02,-1.545745999999999535e-03
2.465039999999999964e+03,9.116103000000000400e-03,-1.193302000000000035e-03,2.709627000000000042e-03,3.544142666666666441e-03
2.465279999999999745e+03,5.905594000000000121e-03,1.161066000000000008e-02,5.583166999999999991e-03,7.699807000000000352e-03
2.465519999999999982e+03,2.288164000000000170e-02,4.587474000000000239e-03,1.783643000000000034e-02,1.510184800000000105e-02
2.465759999999999764e+03,7.596245000000000384e-04,8.513404999999999931e-03,3.422174999999999957e-03,4.231734833333332911e-03
2.466000000000000000e+03,1.509092000000000072e-02,1.143493999999999934e-02,1.727978999999999930e-03,9.417946333333333114e-03
2.466239999999999782e+03,8.498116000000000003e-03,1.704369000000000023e-02,8.419434999999999419e-03,1.132041366666666771e-02
2.466479999999999563e+03,1.127609000000000077e-02,5.678242000000000012e-03,-1.012880000000000030e-02,2.275177333333334214e-03
2.466719999999999800e+03,1.302382000000000019e-02,1.198404999999999956e-02,3.015933000000000155e-02,1.838906666666666537e-02
2.466960000000000036e+03,6.042482000000000061e-03,2.707116999999999857e-02,2.538659000000000054e-02,1.950008066666666581e-02
2.467200000000000273e+03,1.438170000000000073e-02,8.257845999999999242e-03,1.911530999999999994e-02,1.391828533333333388e-02
2.467449999999999818e+03,2.480293999999999902e-02,3.072338999999999973e-02,1.099622999999999920e-02,2.217418666666666482e-02
2.467690000000000055e+03,4.063627000000000211e-02,4.790325000000000139e-02,5.752547999999999689e-02,4.868833333333333346e-02
2.467929999999999836e+03,7.531055000000000388e-02,5.596803000000000194e-02,5.909147000000000011e-02,6.345668333333333300e-02
2.468170000000000073e+03,7.927934999999999843e-02,1.103303999999999951e-01,1.033237000000000044e-01,9.764448333333332342e-02
2.468409999999999854e+03,1.541003999999999985e-01,1.640202000000000049e-01,1.728548000000000029e-01,1.636584666666666410e-01
2.468649999999999636e+03,2.710069999999999979e-01,2.385479000000000072e-01,2.689308000000000254e-01,2.594952333333333527e-01
2.468889999999999873e+03,1.989427000000000001e-01,2.752371000000000123e-01,2.161899999999999933e-01,2.301232666666666871e-01
2.469139999999999873e+03,1.859031999999999907e-01,1.830942999999999876e-01,1.442150000000000098e-01,1.710708333333333109e-01
2.469380000000000109e+03,1.265515000000000112e-01,1.741209999999999980e-01,1.223715999999999970e-01,1.410147000000000206e-01
2.469619999999999891e+03,1.393462000000000034e-01,1.620647000000000060e-01,1.276204999999999978e-01,1.430104666666666968e-01
2.469860000000000127e+03,1.528042000000000011e-01,2.051068000000000058e-01,1.178020000000000039e-01,1.585709999999999897e-01
2.470099999999999909e+03,2.302043000000000006e-01,1.899492999999999876e-01,2.381338000000000066e-01,2.194291333333333593e-01
2.470349999999999909e+03,3.617905000000000149e-01,3.946112999999999982e-01,3.626918000000000086e-01,3.730312000000000072e-01
2.470590000000000146e+03,5.066279000000000199e-01,4.904171999999999976e-01,4.305443999999999938e-01,4.758631666666666704e-01
2.470829999999999927e+03,5.576254000000000488e-01,5.950505999999999851e-01,4.959413999999999767e-01,5.495391333333333739e-01
2.471070000000000164e+03,4.950344999999999884e-01,6.205340000000000300e-01,6.022262999999999922e-01,5.725982666666666887e-01
2.471320000000000164e+03,7.059712999999999683e-01,6.234977999999999909e-01,5.379912000000000027e-01,6.224867666666665800e-01
2.471560000000000400e+03,6.276701999999999559e-01,6.474870999999999821e-01,5.337771999999999517e-01,6.029781666666665929e-01
2.471800000000000182e+03,5.698971999999999927e-01,6.556227000000000027e-01,6.743221999999999827e-01,6.332807000000000297e-01
2.472039999999999964e+03,6.996548999999999685e-01,7.278687999999999825e-01,5.930535999999999586e-01,6.735257666666667475e-01
2.472289999999999964e+03,6.366106000000000265e-01,7.191646000000000427e-01,6.089947999999999473e-01,6.549233333333334128e-01
2.472529999999999745e+03,5.879898000000000069e-01,6.236127999999999671e-01,4.881946999999999814e-01,5.665991000000000222e-01
2.472769999999999982e+03,5.495176999999999978e-01,5.936533999999999978e-01,5.934530000000000083e-01,5.788746999999999643e-01
2.473019999999999982e+03,5.511717000000000422e-01,5.894719000000000486e-01,5.766795999999999589e-01,5.724410666666667202e-01
2.473259999999999764e+03,5.894738000000000477e-01,6.166203999999999574e-01,5.202839999999999687e-01,5.754593999999999543e-01
2.473500000000000000e+03,5.563027000000000388e-01,5.220320999999999989e-01,4.557006000000000112e-01,5.113451333333333126e-01
2.473750000000000000e+03,5.309717999999999938e-01,5.222499000000000446e-01,5.425976999999999606e-01,5.319397999999999627e-01
2.473990000000000236e+03,5.374797999999999520e-01,5.830408999999999731e-01,4.469791000000000181e-01,5.224999333333333329e-01
2.474230000000000018e+03,5.533284000000000535e-01,4.896519999999999762e-01,3.609107999999999761e-01,4.679637333333332982e-01
2.474479999999999563e+03,4.386322999999999750e-01,5.383818999999999688e-01,4.613380000000000258e-01,4.794507333333333232e-01
2.474720000000000255e+03,4.457004999999999995e-01,3.989850999999999814e-01,4.406959999999999766e-01,4.284605333333333377e-01
2.474960000000000036e+03,3.998586000000000085e-01,3.875173000000000090e-01,4.319724999999999815e-01,4.064494666666666478e-01
2.475210000000000036e+03,3.911003000000000118e-01,3.646610000000000129e-01,3.885082000000000257e-01,3.814231666666667020e-01
2.475449999999999818e+03,3.940510999999999875e-01,4.079347999999999863e-01,4.155212999999999823e-01,4.058357333333333372e-01
2.475699999999999818e+03,3.892800000000000149e-01,3.710176000000000029e-01,4.217545999999999795e-01,3.940174000000000176e-01
2.475940000000000055e+03,3.867773999999999934e-01,4.803019000000000038e-01,4.236174999999999802e-01,4.302322666666666962e-01
2.476190000000000055e+03,3.754344000000000015e-01,4.500237999999999738e-01,3.984564999999999912e-01,4.079715666666666185e-01
