energy,s041,mean
2.463119999999999891e+03,-3.310710000000000128e-03,-3.310710000000000128e-03
2.463360000000000127e+03,-1.807196999999999970e-03,-1.807196999999999970e-03
2.463599999999999909e+03,1.635409999999999902e-03,1.635409999999999902e-03
2.463839999999999691e+03,4.516427000000000050e-04,4.516427000000000050e-04
2.464079999999999927e+03,-5.867696999999999843e-03,-5.867696999999999843e-03
2.464319999999999709e+03,3.858835000000000130e-03,3.858835000000000130e-03
2.464559999999999945e+03,-7.696930000000000048e-04,-7.696930000000000048e-04
2.464799999999999727e+03,5.809408999999999754e-03,5.809408999999999754e-03
2.465039999999999964e+03,4.364966999999999979e-04,4.364966999999999979e-04
2.465279999999999745e+03,-6.681996999999999850e-04,-6.681996999999999850e-04
2.465519999999999982e+03,1.597849999999999965e-02,1.597849999999999965e-02
2.465759999999999764e+03,9.125874000000000832e-03,9.125874000000000832e-03
2.466000000000000000e+03,4.968061000000000178e-03,4.968061000000000178e-03
2.466239999999999782e+03,5.865612000000000083e-03,5.865612000000000083e-03
2.466479999999999563e+03,1.076490999999999950e-03,1.076490999999999950e-03
2.466719999999999800e+03,1.670053000000000162e-02,1.670053000000000162e-02
2.466960000000000036e+03,2.607237000000000096e-02,2.607237000000000096e-02
2.467200000000000273e+03,2.183326000000000017e-02,2.183326000000000017e-02
2.467449999999999818e+03,3.349408000000000246e-02,3.349408000000000246e-02
2.467690000000000055e+03,1.940321000000000060e-02,1.940321000000000060e-02
2.467929999999999836e+03,6.904594000000000009e-02,6.904594000000000009e-02
2.468170000000000073e+03,9.210060000000000469e-02,9.210060000000000469e-02
2.468409999999999854e+03,1.470325000000000104e-01,1.470325000000000104e-01
2.468649999999999636e+03,2.277208000000000010e-01,2.277208000000000010e-01
2.468889999999999873e+03,1.791947999999999874e-01,1.791947999999999874e-01
2.469139999999999873e+03,1.622148999999999952e-01,1.622148999999999952e-01
2.469380000000000109e+03,1.205076000000000064e-01,1.205076000000000064e-01
2.469619999999999891e+03,1.199247999999999981e-01,1.199247999999999981e-01
2.469860000000000127e+03,1.480593000000000048e-01,1.480593000000000048e-01
2.470099999999999909e+03,1.587832999999999883e-01,1.587832999999999883e-01
2.470349999999999909e+03,2.394953999999999972e-01,2.394953999999999972e-01
2.470590000000000146e+03,3.738980000000000081e-01,3.738980000000000081e-01
2.470829999999999927e+03,4.552316000000000140e-01,4.552316000000000140e-01
2.471070000000000164e+03,4.900807999999999831e-01,4.900807999999999831e-01
2.471320000000000164e+03,5.591994999999999605e-01,5.591994999999999605e-01
2.471560000000000400e+03,5.523139999999999716e-01,5.523139999999999716e-01
2.471800000000000182e+03,5.157296000000000102e-01,5.157296000000000102e-01
2.472039999999999964e+03,5.256123999999999796e-01,5.256123999999999796e-01
2.472289999999999964e+03,5.371137999999999746e-01,5.371137999999999746e-01
2.472529999999999745e+03,4.957517000000000174e-01,4.957517000000000174e-01
2.472769999999999982e+03,4.648462999999999901e-01,4.648462999999999901e-01
2.473019999999999982e+03,4.488650000000000140e-01,4.488650000000000140e-01
2.473259999999999764e+03,4.197193000000000174e-01,4.197193000000000174e-01
2.473500000000000000e+03,4.130765000000000131e-01,4.130765000000000131e-01
2.473750000000000000e+03,4.573556999999999761e-01,4.573556999999999761e-01
2.473990000000000236e+03,4.362484999999999835e-01,4.362484999999999835e-01
2.474230000000000018e+03,3.771745000000000236e-01,3.771745000000000236e-01
2.474479999999999563e+03,3.757719999999999949e-01,3.757719999999999949e-01
2.474720000000000255e+03,3.697017000000000220e-01,3.697017000000000220e-01
2.474960000000000036e+03,3.678046999999999844e-01,3.678046999999999844e-01
2.475210000000000036e+03,3.549261000000000221e-01,3.549261000000000221e-01
2.475449999999999818e+03,3.577771000000000146e-01,3.577771000000000146e-01
2.475699999999999818e+03,3.177350999999999925e-01,3.177350999999999925e-01
2.475940000000000055e+03,3.155819999999999736e-01,3.155819999999999736e-01
2.476190000000000055e+03,3.318892999999999982e-01,3.318892999999999982e-01
2.476430000000000291e+03,3.500637999999999805e-01,3.500637999999999805e-01
2.476670000000000073e+03,4.492377000000000176e-01,4.492377000000000176e-01
2.476919999999999618e+03,3.891724999999999768e-01,3.891724999999999768e-01
2.477159999999999854e+03,5.137228000000000350e-01,5.137228000000000350e-01
