energy,s048,s049,mean
2.463119999999999891e+03,4.674433000000000407e-03,8.375099999999999906e-03,6.524766500000000156e-03
2.463360000000000127e+03,-6.614207000000000419e-03,-5.148780999999999844e-03,-5.881494000000000132e-03
2.463599999999999909e+03,1.243305000000000105e-03,2.883219000000000016e-04,7.658134500000001073e-04
2.463839999999999691e+03,4.040135999999999727e-03,-6.930119000000000209e-03,-1.444991500000000241e-03
2.464079999999999927e+03,-3.312793999999999982e-04,8.225000999999999146e-03,3.946860799999999357e-03
2.464319999999999709e+03,-6.672141000000000356e-03,3.136705000000000049e-03,-1.767718000000000154e-03
2.464559999999999945e+03,-1.284907000000000063e-04,-9.238341000000000608e-03,-4.683415850000000741e-03
2.464799999999999727e+03,3.788244000000000073e-03,1.292112999999999899e-03,2.540178499999999878e-03
2.465039999999999964e+03,-2.076262000000000160e-03,-8.828400999999999773e-05,-1.082273005000000113e-03
2.465279999999999745e+03,6.788207999999999569e-03,6.669269000000000239e-03,6.728738499999999470e-03
2.465519999999999982e+03,1.430587999999999999e-03,1.032064000000000072e-02,5.875614000000000357e-03
2.465759999999999764e+03,2.287967999999999946e-02,-9.015975999999999548e-04,1.098904119999999894e-02
2.466000000000000000e+03,2.234867000000000103e-02,1.623700000000000143e-02,1.929283500000000123e-02
2.466239999999999782e+03,1.937560000000000063e-03,1.546810000000000025e-02,8.702829999999999941e-03
2.466479999999999563e+03,1.334369000000000006e-02,1.607673000000000088e-02,1.471021000000000134e-02
2.466719999999999800e+03,7.753221000000000245e-03,-9.403016000000000369e-05,3.829595419999999931e-03
2.466960000000000036e+03,2.263468000000000077e-02,2.448739000000000124e-02,2.356103500000000101e-02
2.467200000000000273e+03,-1.775955000000000068e-03,1.093377000000000064e-02,4.578907499999999853e-03
2.467449999999999818e+03,4.103540000000000139e-03,9.010360999999999718e-03,6.556950500000000362e-03
2.467690000000000055e+03,3.855514000000000163e-02,5.402673000000000197e-02,4.629093500000000527e-02
2.467929999999999836e+03,6.293295000000000139e-02,2.892582999999999960e-02,4.592939000000000049e-02
2.468170000000000073e+03,7.893474000000000323e-02,9.467757999999999730e-02,8.680615999999999333e-02
2.468409999999999854e+03,1.387471000000000121e-01,1.085055999999999937e-01,1.236263499999999960e-01
2.468649999999999636e+03,2.006518999999999942e-01,1.635063999999999962e-01,1.820791499999999952e-01
2.468889999999999873e+03,1.745822999999999958e-01,9.303525999999999463e-02,1.338087799999999883e-01
2.469139999999999873e+03,1.242555000000000048e-01,1.420630999999999977e-01,1.331593000000000082e-01
2.469380000000000109e+03,1.125498999999999944e-01,1.347957999999999934e-01,1.236728500000000008e-01
2.469619999999999891e+03,1.063526000000000055e-01,9.930943999999999883e-02,1.028310199999999952e-01
2.469860000000000127e+03,1.007643000000000011e-01,1.318195000000000061e-01,1.162919000000000036e-01
2.470099999999999909e+03,1.892960999999999949e-01,1.825393999999999906e-01,1.859177499999999927e-01
2.470349999999999909e+03,3.680758000000000085e-01,2.828112999999999877e-01,3.254435500000000259e-01
2.470590000000000146e+03,4.241727000000000136e-01,4.389288000000000078e-01,4.315507499999999830e-01
2.470829999999999927e+03,4.688741000000000159e-01,4.967039999999999789e-01,4.827890499999999974e-01
2.471070000000000164e+03,4.781960000000000099e-01,5.002387000000000361e-01,4.892173499999999953e-01
2.471320000000000164e+03,6.820330999999999477e-01,5.741327000000000513e-01,6.280828999999999995e-01
2.471560000000000400e+03,6.301333000000000073e-01,5.970729999999999649e-01,6.136031499999999861e-01
2.471800000000000182e+03,7.824927999999999884e-01,6.182282000000000055e-01,7.003604999999999414e-01
2.472039999999999964e+03,7.384039000000000019e-01,7.503214000000000272e-01,7.443626500000000146e-01
2.472289999999999964e+03,8.934218999999999911e-01,6.952203999999999606e-01,7.943211500000000314e-01
2.472529999999999745e+03,7.292051999999999978e-01,6.850528000000000173e-01,7.071290000000000076e-01
2.472769999999999982e+03,6.459472000000000547e-01,6.847803000000000084e-01,6.653637500000000315e-01
2.473019999999999982e+03,5.651557000000000386e-01,6.626024999999999832e-01,6.138791000000000109e-01
2.473259999999999764e+03,5.013081999999999816e-01,5.217969000000000079e-01,5.115525499999999948e-01
2.473500000000000000e+03,5.162529000000000146e-01,5.518965999999999594e-01,5.340747500000000425e-01
2.473750000000000000e+03,5.131482000000000543e-01,5.292194999999999538e-01,5.211838500000000041e-01
2.473990000000000236e+03,4.062077000000000049e-01,4.795004999999999962e-01,4.428541000000000283e-01
2.474230000000000018e+03,4.616859999999999853e-01,4.522116999999999942e-01,4.569488499999999620e-01
2.474479999999999563e+03,4.291002999999999901e-01,4.222897999999999930e-01,4.256950499999999638e-01
2.474720000000000255e+03,4.006082000000000254e-01,3.467295000000000238e-01,3.736688500000000523e-01
2.474960000000000036e+03,3.892092999999999803e-01,3.304135000000000266e-01,3.598114000000000035e-01
2.475210000000000036e+03,3.026699999999999946e-01,3.581651000000000140e-01,3.304175500000000043e-01
2.475449999999999818e+03,3.568534999999999902e-01,3.120342999999999867e-01,3.344439000000000162e-01
2.475699999999999818e+03,3.256082000000000143e-01,3.019374000000000224e-01,3.137728000000000184e-01
2.475940000000000055e+03,3.309303000000000106e-01,3.527667999999999915e-01,3.418485500000000288e-01
2.476190000000000055e+03,2.347029999999999950e-01,4.410905999999999993e-01,3.378967999999999972e-01
2.476430000000000291e+03,4.068744999999999723e-01,3.718712000000000129e-01,3.893728499999999926e-01
2.476670000000000073e+03,4.521383999999999959e-01,3.464033000000000251e-01,3.992708500000000105e-01
2.476919999999999618e+03,4.911756999999999929e-01,4.297676000000000274e-01,4.604716500000000101e-01
2.477159999999999854e+03,5.091596000000000455e-01,5.157743000000000189e-01,5.124669500000000877e-01
2.477409999999999854e+03,4.690463999999999745e-01,5.448357999999999812e-01,5.069410999999999223e-01
2.477650000000000091e+03,6.056099999999999817e-01,4.922826000000000146e-01,5.489462999999999981e-01
2.477900000000000091e+03,5.617744000000000071e-01,6.209755000000000136e-01,5.913749500000000658e-01
2.478139999999999873e+03,6.710348000000000424e-01,6.291071000000000302e-01,6.500709500000000363e-01
2.478389999999999873e+03,5.019862000000000490e-01,6.497884999999999911e-01,5.758873500000000201e-01
2.478630000000000109e+03,7.049395000000000522e-01,5.643922000000000105e-01,6.346658499999999759e-01
2.478880000000000109e+03,6.653078000000000047e-01,6.343088999999999533e-01,6.498083500000000345e-01
2.479119999999999891e+03,6.137000000000000233e-01,6.944618000000000180e-01,6.540809000000000761e-01
2.479369999999999891e+03,7.216673999999999589e-01,5.541260000000000074e-01,6.378966999999999832e-01
2.479620000000000346e+03,7.573560999999999765e-01,8.006343999999999683e-01,7.789952499999999169e-01
2.479860000000000127e+03,7.784396000000000093e-01,8.114898999999999862e-01,7.949647499999999978e-01
2.480109999999999673e+03,9.330578999999999956e-01,8.813678000000000345e-01,9.072128500000000706e-01
2.480349999999999909e+03,1.044858999999999982e+00,1.067550999999999917e+00,1.056204999999999838e+00
2.480599999999999909e+03,1.436109999999999998e+00,1.315474000000000032e+00,1.375792000000000126e+00
2.480850000000000364e+03,1.662252999999999981e+00,1.476607000000000003e+00,1.569430000000000103e+00
2.481090000000000146e+03,2.076823999999999781e+00,1.995787999999999895e+00,2.036305999999999727e+00
2.481339999999999691e+03,2.858147000000000215e+00,2.661789999999999878e+00,2.759968500000000269e+00
2.481579999999999927e+03,3.733403000000000027e+00,3.754824999999999857e+00,3.744113999999999720e+00
2.481829999999999927e+03,4.444715000000000416e+00,4.236856999999999651e+00,4.340785999999999589e+00
2.482079999999999927e+03,4.661656999999999940e+00,4.423490000000000144e+00,4.542573499999999598e+00
2.482320000000000164e+03,4.075860999999999734e+00,4.219579999999999664e+00,4.147720500000000143e+00
2.482570000000000164e+03,3.975732999999999961e+00,3.900116999999999834e+00,3.937924999999999898e+00
2.482819999999999709e+03,3.463610000000000078e+00,3.216425999999999785e+00,3.340017999999999709e+00
2.483059999999999945e+03,2.498286999999999924e+00,2.733220999999999901e+00,2.615753999999999913e+00
2.483309999999999945e+03,2.119019000000000208e+00,1.870087000000000055e+00,1.994553000000000242e+00
2.483560000000000400e+03,1.769497000000000098e+00,1.795269999999999921e+00,1.782383499999999898e+00
2.483809999999999945e+03,1.451229000000000102e+00,1.405680999999999958e+00,1.428455000000000030e+00
2.484049999999999727e+03,1.344139999999999890e+00,1.239602000000000093e+00,1.291870999999999992e+00
2.484300000000000182e+03,1.232941999999999982e+00,1.218822000000000072e+00,1.225881999999999916e+00
2.484550000000000182e+03,1.245992999999999906e+00,9.019918000000000102e-01,1.073992399999999847e+00
2.484799999999999727e+03,9.489260000000000472e-01,9.277952000000000421e-01,9.383605999999999892e-01
2.485039999999999964e+03,1.029352000000000045e+00,9.809626000000000179e-01,1.005157300000000031e+00
2.485289999999999964e+03,1.043936999999999893e+00,9.457634999999999792e-01,9.948502499999999360e-01
2.485539999999999964e+03,9.919820000000000304e-01,9.229808000000000456e-01,9.574814000000000380e-01
2.485789999999999964e+03,8.367590999999999779e-01,8.592296000000000378e-01,8.479943500000000078e-01
2.486029999999999745e+03,9.072569999999999801e-01,8.638109999999999955e-01,8.855340000000000433e-01
2.486279999999999745e+03,8.610221999999999598e-01,9.267623999999999862e-01,8.938922999999999730e-01
2.486530000000000200e+03,6.791738999999999971e-01,8.818570000000000020e-01,7.805154499999999995e-01
2.486780000000000200e+03,8.554055000000000408e-01,8.133768999999999583e-01,8.343911999999999995e-01
2.487029999999999745e+03,6.875508000000000175e-01,8.558829000000000020e-01,7.717168500000000098e-01
2.487280000000000200e+03,7.920722999999999514e-01,9.999869999999999592e-01,8.960296500000000108e-01
2.487519999999999982e+03,8.995123999999999898e-01,8.504161999999999555e-01,8.749643000000000281e-01
2.487769999999999982e+03,7.916364000000000178e-01,8.883796999999999944e-01,8.400080500000000061e-01
2.488019999999999982e+03,8.590063999999999478e-01,8.034219999999999695e-01,8.312142000000000142e-01
2.488269999999999982e+03,7.926090000000000080e-01,7.236110999999999516e-01,7.581100499999999798e-01
2.488519999999999982e+03,8.407088999999999812e-01,8.367807999999999913e-01,8.387448499999999862e-01
2.488769999999999982e+03,8.116491000000000122e-01,7.376937999999999551e-01,7.746714500000000392e-01
2.489019999999999982e+03,8.050519999999999898e-01,8.386133000000000060e-01,8.218326499999999424e-01
2.489269999999999982e+03,9.214453000000000227e-01,9.379596999999999518e-01,9.297024999999999872e-01
2.489519999999999982e+03,8.187157000000000462e-01,8.813290000000000290e-01,8.500223500000000376e-01
2.489769999999999982e+03,1.042154000000000025e+00,8.859725000000000517e-01,9.640632500000000382e-01
2.490009999999999764e+03,9.890099999999999447e-01,9.640503000000000267e-01,9.765301499999999857e-01
2.490260000000000218e+03,9.264763000000000304e-01,8.755285000000000428e-01,9.010024000000000921e-01
2.490510000000000218e+03,1.088208000000000064e+00,1.078483999999999998e+00,1.083346000000000142e+00
2.490759999999999764e+03,1.038302999999999976e+00,1.024562999999999890e+00,1.031432999999999822e+00
2.491010000000000218e+03,1.004267000000000021e+00,1.160344000000000042e+00,1.082305499999999920e+00
2.491260000000000218e+03,1.053223999999999938e+00,9.968034000000000061e-01,1.025013699999999917e+00
2.491509999999999764e+03,1.177403999999999895e+00,1.160398000000000041e+00,1.168900999999999968e+00
2.491760000000000218e+03,1.169589999999999907e+00,9.888751999999999542e-01,1.079232599999999875e+00
2.492010000000000218e+03,1.097950999999999899e+00,1.200814999999999966e+00,1.149382999999999821e+00
2.492259999999999764e+03,1.182193000000000049e+00,1.137855999999999979e+00,1.160024500000000014e+00
2.492509999999999764e+03,1.051112999999999964e+00,1.245487999999999928e+00,1.148300499999999946e+00
2.492760000000000218e+03,9.185077000000000380e-01,1.109785000000000021e+00,1.014146350000000085e+00
