energy,s026,s027,s028,s029,s030,mean
2.463119999999999891e+03,4.595857000000000067e-03,-8.939624999999999655e-03,-1.750173999999999957e-04,7.790911999999999664e-03,-7.310803000000000267e-03,-8.077352799999999288e-04
2.463360000000000127e+03,-4.210514000000000270e-03,4.213309000000000151e-03,1.188863999999999980e-03,-5.584154000000000027e-03,-9.950106999999999702e-04,-1.077501139999999897e-03
2.463599999999999909e+03,-3.870316999999999855e-03,-4.163767999999999983e-03,5.678410000000000271e-04,1.348282999999999947e-02,3.406436000000000099e-03,1.884604399999999930e-03
2.463839999999999691e+03,-4.637495999999999632e-03,-2.578879999999999974e-03,-1.110510999999999963e-02,-4.780033999999999846e-03,-6.915048000000000028e-03,-6.003313599999999042e-03
2.464079999999999927e+03,5.547293000000000016e-03,8.068973000000000118e-03,3.768284000000000217e-03,-1.585065000000000085e-02,8.876227999999999679e-04,4.843045599999995683e-04
2.464319999999999709e+03,6.118679000000000132e-03,-1.515667000000000056e-03,2.356003000000000177e-03,4.843801000000000009e-03,8.863988999999999202e-03,4.133361000000000327e-03
2.464559999999999945e+03,6.197524999999999519e-04,3.320516999999999826e-03,9.031548000000000354e-04,-1.914833999999999970e-04,9.079453999999999823e-04,1.111977259999999716e-03
2.464799999999999727e+03,-4.163252999999999572e-03,1.595141000000000007e-03,2.495979000000000166e-03,2.887801999999999969e-04,1.154868999999999991e-03,2.743032400000001178e-04
2.465039999999999964e+03,1.083606999999999973e-02,2.062249000000000027e-02,-1.129472999999999935e-02,-3.381753999999999837e-03,-2.233498999999999901e-03,2.909715399999999487e-03
2.465279999999999745e+03,-6.217018000000000370e-03,-9.769408999999999732e-03,1.389692000000000011e-02,1.000955000000000074e-02,5.499546999999999812e-04,1.693999540000000080e-03
2.465519999999999982e+03,9.827475999999999920e-03,2.543590999999999994e-03,8.604929000000000744e-03,1.040817999999999952e-02,6.270658999999999608e-03,7.530966999999999523e-03
2.465759999999999764e+03,1.346568000000000070e-02,7.686268999999999914e-03,1.906352000000000046e-03,-1.095396000000000000e-03,2.580568000000000098e-02,9.553716999999999765e-03
2.466000000000000000e+03,3.055664000000000036e-03,2.159644999999999967e-03,6.757390000000000271e-03,1.162903000000000027e-02,2.115168000000000170e-03,5.143379400000000143e-03
2.466239999999999782e+03,9.278901000000000857e-03,2.074890000000000068e-02,7.268293000000000323e-03,7.494131999999999703e-03,1.694017999999999913e-02,1.234608120000000100e-02
2.466479999999999563e+03,7.907037000000000440e-03,8.799070000000000849e-03,1.603204000000000087e-02,1.562714999999999937e-02,7.697411000000000357e-03,1.121254160000000055e-02
2.466719999999999800e+03,8.455284999999999884e-03,-7.159815000000000363e-04,1.392683999999999936e-02,6.298828999999999713e-03,2.708794000000000132e-02,1.101058249999999940e-02
2.466960000000000036e+03,7.947284000000000639e-03,1.385373999999999980e-02,1.440193000000000029e-02,6.799183999999999783e-03,1.446156999999999998e-02,1.149274160000000010e-02
2.467200000000000273e+03,2.574533000000000030e-02,2.814987000000000045e-02,3.373411999999999938e-02,3.555186999999999931e-02,2.772911000000000126e-02,3.018206000000000014e-02
2.467449999999999818e+03,2.227526000000000159e-02,4.481829999999999842e-02,2.824665999999999982e-02,2.140728000000000075e-02,3.614906999999999843e-02,3.057931400000000327e-02
2.467690000000000055e+03,4.616813000000000167e-02,4.281940000000000052e-02,5.378051999999999833e-02,3.853025000000000200e-02,4.607395000000000240e-02,4.547445000000000653e-02
2.467929999999999836e+03,5.064115999999999757e-02,7.180525999999999576e-02,4.340553999999999940e-02,7.699544999999999306e-02,9.550980000000000580e-02,6.767144199999999832e-02
2.468170000000000073e+03,1.071768000000000026e-01,9.015354000000000423e-02,1.262649000000000132e-01,1.074472000000000066e-01,1.195158000000000054e-01,1.101116479999999925e-01
2.468409999999999854e+03,2.349484000000000017e-01,2.076987000000000139e-01,2.652310999999999974e-01,2.528561999999999754e-01,1.639195999999999986e-01,2.249308000000000141e-01
2.468649999999999636e+03,3.212358000000000158e-01,3.448224999999999763e-01,3.583886000000000016e-01,3.189847000000000099e-01,2.510395999999999739e-01,3.188942399999999955e-01
2.468889999999999873e+03,2.752542000000000044e-01,3.797280000000000100e-01,3.225176000000000154e-01,3.392065000000000219e-01,3.257531000000000176e-01,3.284918800000000139e-01
2.469139999999999873e+03,2.256286999999999876e-01,1.970768999999999993e-01,2.561744000000000243e-01,2.324681000000000108e-01,2.188404999999999934e-01,2.260377200000000253e-01
2.469380000000000109e+03,1.256502999999999926e-01,1.893815000000000082e-01,1.577097000000000082e-01,1.355219000000000007e-01,1.822895999999999961e-01,1.581106000000000178e-01
2.469619999999999891e+03,1.428842999999999919e-01,1.794494000000000089e-01,1.165488999999999969e-01,1.383359999999999868e-01,1.589923000000000031e-01,1.472421800000000003e-01
2.469860000000000127e+03,1.972357999999999889e-01,2.194011999999999907e-01,2.096495999999999915e-01,2.108306000000000069e-01,1.573627999999999971e-01,1.988960000000000172e-01
2.470099999999999909e+03,3.066190999999999778e-01,2.990105000000000124e-01,3.059124999999999761e-01,2.198577999999999921e-01,2.525901999999999870e-01,2.767980199999999780e-01
2.470349999999999909e+03,4.024889999999999857e-01,4.946847999999999801e-01,4.265290999999999944e-01,4.905284999999999784e-01,4.949542000000000108e-01,4.618371200000000454e-01
2.470590000000000146e+03,5.125349999999999628e-01,6.805504999999999471e-01,6.465094000000000118e-01,5.864441999999999711e-01,6.097970000000000335e-01,6.071672200000000075e-01
2.470829999999999927e+03,6.866828999999999850e-01,5.581443999999999850e-01,7.249162000000000106e-01,6.953772999999999760e-01,5.914374999999999494e-01,6.513116599999999590e-01
2.471070000000000164e+03,6.906092000000000342e-01,7.460080999999999518e-01,6.268169999999999575e-01,6.566182999999999881e-01,5.951543000000000250e-01,6.630413799999999025e-01
2.471320000000000164e+03,6.995696999999999610e-01,6.840057999999999971e-01,7.163945000000000451e-01,6.956833000000000045e-01,6.553257000000000110e-01,6.901957999999999149e-01
2.471560000000000400e+03,6.215237999999999596e-01,6.966752000000000500e-01,6.961110000000000353e-01,5.929292999999999925e-01,6.259605999999999781e-01,6.466399800000000031e-01
2.471800000000000182e+03,5.819050000000000056e-01,6.521384000000000070e-01,6.413455000000000128e-01,6.153478000000000003e-01,6.016494000000000009e-01,6.184772199999999387e-01
2.472039999999999964e+03,5.767830000000000457e-01,6.596138000000000279e-01,6.293480999999999659e-01,5.737845999999999780e-01,5.604681999999999720e-01,5.999995399999999979e-01
2.472289999999999964e+03,6.147873000000000365e-01,6.473305999999999782e-01,6.571605999999999836e-01,5.851555000000000506e-01,6.029529000000000138e-01,6.214773799999999682e-01
2.472529999999999745e+03,4.769586000000000103e-01,5.278625999999999596e-01,5.708024000000000431e-01,5.363959999999999839e-01,5.422567000000000359e-01,5.308552600000000510e-01
2.472769999999999982e+03,5.281892999999999727e-01,5.871180000000000287e-01,5.742479000000000333e-01,5.189816999999999902e-01,5.565466000000000024e-01,5.530166999999999167e-01
2.473019999999999982e+03,6.307116999999999862e-01,5.177863999999999800e-01,5.727738999999999470e-01,5.467397000000000507e-01,5.451487999999999889e-01,5.626320999999998573e-01
2.473259999999999764e+03,5.337530999999999803e-01,6.142486000000000335e-01,5.462974999999999914e-01,6.225135000000000529e-01,5.385324000000000222e-01,5.710690200000000383e-01
2.473500000000000000e+03,6.348044999999999938e-01,5.883152000000000381e-01,5.697086000000000094e-01,5.713962000000000208e-01,6.374045000000000405e-01,6.003258000000000205e-01
2.473750000000000000e+03,6.276663000000000103e-01,5.344910999999999968e-01,6.389704000000000494e-01,5.800389000000000239e-01,5.330139999999999878e-01,5.828361400000000581e-01
2.473990000000000236e+03,6.123011000000000426e-01,5.978645999999999683e-01,6.156336999999999504e-01,6.096025000000000471e-01,5.747430999999999512e-01,6.020290000000001474e-01
2.474230000000000018e+03,6.089902000000000371e-01,5.996494999999999465e-01,5.178116000000000385e-01,4.565952999999999817e-01,5.244896999999999476e-01,5.415072600000000458e-01
2.474479999999999563e+03,5.502038000000000206e-01,5.372746999999999939e-01,5.253058000000000449e-01,5.966394999999999893e-01,6.159436999999999829e-01,5.650734999999998953e-01
2.474720000000000255e+03,4.903763999999999901e-01,5.775107000000000435e-01,5.536284000000000205e-01,5.365111000000000185e-01,5.538442999999999561e-01,5.423741800000000390e-01
2.474960000000000036e+03,4.523320000000000118e-01,4.113506000000000107e-01,5.109848000000000168e-01,4.650735999999999759e-01,4.627395000000000258e-01,4.604960999999999638e-01
2.475210000000000036e+03,3.675490000000000146e-01,4.237304000000000070e-01,4.886675999999999798e-01,5.223666000000000142e-01,4.559332999999999858e-01,4.516493799999999892e-01
2.475449999999999818e+03,4.030080999999999802e-01,4.913625999999999827e-01,4.585642999999999803e-01,4.230760000000000076e-01,4.070003999999999844e-01,4.366022799999999537e-01
2.475699999999999818e+03,3.886163000000000256e-01,4.760130000000000194e-01,3.890226999999999991e-01,5.195060000000000233e-01,4.186720999999999915e-01,4.383660199999999674e-01
2.475940000000000055e+03,4.532575999999999827e-01,4.381764000000000214e-01,3.940447000000000255e-01,4.770751999999999771e-01,4.575151000000000079e-01,4.440138000000000140e-01
2.476190000000000055e+03,4.900834000000000024e-01,4.851367999999999792e-01,4.484889000000000236e-01,4.901067000000000062e-01,4.071127999999999969e-01,4.641857200000000239e-01
2.476430000000000291e+03,4.344288000000000038e-01,5.235085999999999906e-01,5.235613000000000072e-01,5.382654000000000050e-01,4.671359999999999957e-01,4.973800199999999228e-01
2.476670000000000073e+03,5.417998000000000536e-01,5.635474000000000316e-01,6.164395999999999765e-01,5.303459999999999841e-01,4.812040000000000206e-01,5.466673600000000466e-01
2.476919999999999618e+03,5.910246999999999584e-01,6.556494999999999962e-01,5.912197999999999620e-01,6.342856000000000050e-01,6.531438000000000521e-01,6.250646800000000392e-01
2.477159999999999854e+03,6.195488000000000106e-01,5.829984999999999751e-01,6.463299999999999601e-01,6.399297999999999931e-01,5.724645000000000428e-01,6.122543200000000185e-01
2.477409999999999854e+03,6.556522000000000183e-01,7.245245999999999631e-01,7.199558000000000346e-01,7.246228999999999587e-01,5.365931999999999924e-01,6.722697400000000600e-01
2.477650000000000091e+03,7.298333999999999655e-01,7.555463999999999514e-01,7.468464999999999687e-01,7.364049999999999763e-01,7.143178000000000027e-01,7.365898199999999507e-01
2.477900000000000091e+03,7.780639999999999779e-01,7.379251000000000005e-01,8.208712999999999704e-01,7.810650000000000093e-01,7.414414000000000282e-01,7.718733600000000639e-01
