energy,s048,s049,s050,s051,s052,s053,s054,mean
2.463119999999999891e+03,-4.457634000000000249e-03,-6.680749000000000366e-04,3.260659999999999861e-03,-9.900516999999999304e-03,-4.505181999999999937e-03,-2.804724000000000193e-03,6.350289999999999754e-03,-1.817883128571428850e-03
2.463360000000000127e+03,-1.007710999999999893e-03,2.010379000000000072e-03,-4.920054999999999568e-03,-5.507960000000000113e-03,3.127888000000000109e-03,-8.691378000000000255e-04,9.449436000000000510e-04,-8.888076000000000179e-04
2.463599999999999909e+03,-3.728836000000000130e-03,-3.558931999999999894e-03,-9.720822999999999747e-04,-3.474657999999999827e-03,-2.003076000000000064e-04,3.328439999999999784e-03,-4.399885999999999771e-04,-1.292337785714285691e-03
2.463839999999999691e+03,-5.019578000000000234e-03,3.296006000000000196e-03,-8.160577999999999929e-03,6.141713000000000033e-03,-1.401715999999999900e-03,-6.769492000000000217e-03,-9.382529000000000563e-03,-3.042310571428571454e-03
2.464079999999999927e+03,-3.765367999999999840e-03,7.044864999999999981e-03,-1.529952000000000005e-03,-5.983066000000000426e-03,-6.207980000000000095e-03,1.190115999999999917e-02,3.523760999999999820e-03,7.119171428571427354e-04
2.464319999999999709e+03,1.604442999999999842e-02,-1.105258000000000022e-03,-2.385609000000000015e-04,-3.334625999999999823e-03,7.231353999999999733e-03,-3.012142000000000205e-03,4.676824000000000432e-03,2.894574442857142903e-03
2.464559999999999945e+03,6.597328999999999867e-03,-9.967533000000000643e-04,5.760608999999999869e-03,1.054025999999999921e-02,-2.918122999999999898e-03,-9.437496000000000079e-03,-2.842916999999999927e-03,9.575583857142856616e-04
2.464799999999999727e+03,-4.662630000000000073e-03,-6.022231999999999759e-03,6.799959000000000385e-03,1.151886000000000056e-02,4.874065999999999815e-03,7.663393000000000115e-03,-2.830384999999999932e-03,2.477290142857142830e-03
2.465039999999999964e+03,5.023436000000000047e-03,-7.679161000000000320e-04,-8.160577999999999929e-03,8.330762000000000453e-04,1.665327000000000083e-03,-1.692845000000000114e-02,-1.529537999999999991e-04,-2.641151242857142818e-03
2.465279999999999745e+03,5.121093999999999646e-03,9.147719000000000336e-03,7.232609000000000087e-03,-3.216313000000000158e-03,1.720848999999999990e-03,2.874990999999999918e-03,4.549720999999999627e-03,3.918667142857142592e-03
2.465519999999999982e+03,2.945718999999999855e-03,-2.552267999999999898e-03,7.211790000000000041e-03,-9.900516999999999304e-03,-3.931900999999999799e-03,-4.950880000000000385e-03,1.360074000000000005e-02,3.460975714285716869e-04
2.465759999999999764e+03,7.877385000000000637e-03,-4.505676999999999599e-03,2.000228000000000075e-02,7.629236999999999651e-03,1.459202000000000068e-02,-4.853780999999999721e-03,9.106809000000000431e-03,7.121181857142858292e-03
2.466000000000000000e+03,2.562421000000000056e-03,2.114413999999999877e-02,2.392431000000000071e-02,2.129578000000000026e-02,1.062407000000000021e-03,8.599535000000000165e-03,2.548906000000000088e-02,1.486823614285714620e-02
2.466239999999999782e+03,-2.192697999999999869e-03,1.676247000000000154e-02,1.676611999999999894e-02,4.602488999999999972e-04,2.329615999999999978e-02,7.644393000000000195e-03,1.037006000000000039e-02,1.044382198571428520e-02
2.466479999999999563e+03,4.894207999999999718e-03,1.332571999999999923e-02,5.909735000000000162e-03,2.068073999999999954e-02,1.642858000000000165e-02,-8.026612000000000677e-03,2.461047000000000061e-03,7.953345428571427164e-03
2.466719999999999800e+03,1.395031000000000049e-02,1.111525000000000013e-02,1.398831000000000033e-02,1.995724999999999930e-02,1.323561000000000008e-02,1.128700000000000059e-03,1.914752999999999941e-02,1.321756571428571274e-02
2.466960000000000036e+03,1.298200000000000048e-02,1.016648000000000031e-02,1.073975999999999924e-02,1.105581999999999919e-02,1.554459000000000049e-02,1.575131999999999921e-02,1.754471999999999976e-02,1.339781285714285695e-02
2.467200000000000273e+03,1.987962999999999883e-02,-1.089574999999999919e-02,1.397669999999999989e-02,9.786181999999999173e-03,2.381243999999999809e-03,1.750234000000000165e-02,2.687292000000000153e-02,1.135760942857142776e-02
2.467449999999999818e+03,-2.129261000000000077e-04,1.833716999999999986e-02,1.183172000000000043e-02,2.020742999999999845e-02,2.918201999999999949e-02,6.790904000000000384e-03,2.773795000000000080e-02,1.626775255714285606e-02
2.467690000000000055e+03,3.315847999999999712e-02,3.172387000000000123e-02,3.403222999999999665e-02,3.628463999999999995e-02,2.084068000000000032e-02,1.883864999999999975e-03,5.583281999999999828e-02,3.053665500000000282e-02
2.467929999999999836e+03,4.061804000000000109e-02,4.672927000000000330e-02,7.171884000000000592e-02,2.202267000000000113e-02,4.094613999999999893e-02,4.281870000000000120e-02,2.770384000000000041e-02,4.179392857142856521e-02
2.468170000000000073e+03,7.481408000000000502e-02,5.899929000000000284e-02,5.598307000000000283e-02,5.189943999999999807e-02,4.372535999999999784e-02,3.865317000000000058e-02,9.091266000000000624e-02,5.928386714285714676e-02
2.468409999999999854e+03,1.245032999999999973e-01,8.777928000000000119e-02,9.725222999999999507e-02,1.061779999999999946e-01,1.219787999999999983e-01,5.358985000000000137e-02,1.455699000000000021e-01,1.052644800000000075e-01
2.468649999999999636e+03,1.790084999999999871e-01,1.778714999999999880e-01,1.762308999999999959e-01,1.569502999999999870e-01,1.725910999999999973e-01,1.862287999999999999e-01,2.216712000000000127e-01,1.815074714285714319e-01
2.468889999999999873e+03,1.546953000000000078e-01,1.720007000000000064e-01,1.370609000000000133e-01,1.459361999999999882e-01,1.462713999999999959e-01,1.097850999999999966e-01,2.066614999999999980e-01,1.532015857142856874e-01
2.469139999999999873e+03,8.525515999999999650e-02,9.336337000000000108e-02,1.455474999999999963e-01,1.053492000000000040e-01,1.219525000000000053e-01,1.032018999999999992e-01,1.029521000000000047e-01,1.082316757142857133e-01
2.469380000000000109e+03,8.389241000000000059e-02,1.355896000000000046e-01,1.129451999999999956e-01,1.293030000000000013e-01,9.861928999999999834e-02,1.109066999999999970e-01,1.158600999999999936e-01,1.124451857142857170e-01
2.469619999999999891e+03,7.336863000000000412e-02,1.228680999999999940e-01,9.695554000000000672e-02,8.875850999999999880e-02,1.087821999999999956e-01,1.171153000000000055e-01,9.884286999999999934e-02,1.009558785714285839e-01
2.469860000000000127e+03,1.058130000000000043e-01,9.809964000000000184e-02,1.175902999999999948e-01,8.118301999999999463e-02,1.136574000000000056e-01,8.047511999999999721e-02,1.311638999999999999e-01,1.039974828571428589e-01
2.470099999999999909e+03,1.766828000000000010e-01,1.602060999999999902e-01,1.486149999999999971e-01,1.170168000000000041e-01,1.660066000000000042e-01,1.658521000000000023e-01,1.998453000000000035e-01,1.620321000000000122e-01
2.470349999999999909e+03,2.550415999999999794e-01,2.229885000000000062e-01,2.665335999999999816e-01,2.458850999999999953e-01,2.215248999999999968e-01,3.109399999999999942e-01,2.811434999999999906e-01,2.577224571428571309e-01
2.470590000000000146e+03,2.813992000000000160e-01,2.922633000000000036e-01,2.840570000000000039e-01,3.043880999999999948e-01,3.334907999999999761e-01,3.213625999999999983e-01,3.833369999999999833e-01,3.143282857142857267e-01
2.470829999999999927e+03,2.963607999999999798e-01,2.892578000000000094e-01,3.762014000000000191e-01,2.588494000000000073e-01,2.415719000000000061e-01,3.774024000000000267e-01,3.480856999999999979e-01,3.125327714285714431e-01
2.471070000000000164e+03,3.767079999999999873e-01,3.494828999999999852e-01,3.502353000000000272e-01,3.816135999999999973e-01,3.509307999999999872e-01,4.214707999999999788e-01,3.606847000000000247e-01,3.701608714285714030e-01
2.471320000000000164e+03,3.868499000000000243e-01,3.648220999999999825e-01,4.031885000000000052e-01,4.367476000000000136e-01,3.893132999999999733e-01,4.398688000000000042e-01,4.938989999999999769e-01,4.163841714285714812e-01
2.471560000000000400e+03,3.302679000000000031e-01,4.241555000000000186e-01,3.689532999999999840e-01,4.067816000000000209e-01,3.893275999999999959e-01,4.825869999999999882e-01,4.174907999999999952e-01,4.027948142857143421e-01
2.471800000000000182e+03,3.955615000000000103e-01,4.257906000000000191e-01,3.162344999999999740e-01,3.463251999999999997e-01,4.044505999999999935e-01,4.279700000000000171e-01,3.834240999999999899e-01,3.856795000000000639e-01
2.472039999999999964e+03,4.388691000000000120e-01,3.624340999999999813e-01,3.644164999999999766e-01,4.236751000000000267e-01,4.105842000000000103e-01,5.226418999999999926e-01,4.055761999999999978e-01,4.183138714285714044e-01
2.472289999999999964e+03,4.524772000000000238e-01,3.617415999999999965e-01,3.676440000000000263e-01,3.715835000000000110e-01,3.807326999999999795e-01,4.542610999999999732e-01,4.785544999999999938e-01,4.095706571428571197e-01
2.472529999999999745e+03,3.453753999999999991e-01,3.704042000000000168e-01,3.992125000000000257e-01,4.956174999999999886e-01,4.715998000000000134e-01,4.577721000000000151e-01,4.381570000000000187e-01,4.254483571428571698e-01
2.472769999999999982e+03,3.787179999999999991e-01,4.457630000000000203e-01,4.283550999999999886e-01,4.087079000000000129e-01,3.714826999999999990e-01,4.978751000000000149e-01,4.341561999999999921e-01,4.235797142857142816e-01
2.473019999999999982e+03,3.350932999999999828e-01,3.649390000000000134e-01,3.642692000000000152e-01,3.322462999999999944e-01,4.170297000000000032e-01,4.121304000000000078e-01,3.872608000000000161e-01,3.732812428571428698e-01
2.473259999999999764e+03,3.986962000000000006e-01,4.174752999999999936e-01,4.140330999999999873e-01,3.361692000000000013e-01,3.331174000000000079e-01,3.430482999999999727e-01,4.714021999999999935e-01,3.877059571428571050e-01
2.473500000000000000e+03,4.987592000000000136e-01,3.685441999999999885e-01,4.007497999999999894e-01,3.411146999999999929e-01,4.474559000000000175e-01,3.857542999999999944e-01,4.700726000000000071e-01,4.160643857142857227e-01
2.473750000000000000e+03,4.601892000000000205e-01,3.587222999999999939e-01,4.107630999999999921e-01,3.695236000000000076e-01,4.132280999999999871e-01,3.745858000000000243e-01,4.385680000000000134e-01,4.036543000000000214e-01
2.473990000000000236e+03,3.351271000000000111e-01,3.499573999999999740e-01,4.201404000000000249e-01,3.930711000000000066e-01,3.891143000000000240e-01,4.038729999999999820e-01,3.685613999999999835e-01,3.799778142857142549e-01
2.474230000000000018e+03,3.396007999999999805e-01,3.942512000000000238e-01,3.562910000000000244e-01,3.944968999999999837e-01,3.935928000000000204e-01,3.487692000000000014e-01,4.205751999999999824e-01,3.782252999999999865e-01
2.474479999999999563e+03,3.643511999999999862e-01,3.748792000000000235e-01,3.584386999999999990e-01,3.019451000000000218e-01,3.470600999999999825e-01,4.021603999999999735e-01,4.253317999999999821e-01,3.677380714285714558e-01
2.474720000000000255e+03,3.895035000000000025e-01,3.313209999999999766e-01,3.671730999999999745e-01,3.246067000000000258e-01,3.545294999999999974e-01,3.710993000000000208e-01,3.115533999999999804e-01,3.499694999999999889e-01
2.474960000000000036e+03,3.510594000000000214e-01,3.826664000000000176e-01,2.919848999999999917e-01,3.758794999999999775e-01,3.242798000000000069e-01,3.772789999999999755e-01,3.934439000000000131e-01,3.566561285714285323e-01
2.475210000000000036e+03,3.354514000000000107e-01,2.880076999999999776e-01,2.312588999999999895e-01,3.447387000000000090e-01,2.772827999999999959e-01,3.090988000000000069e-01,3.537929000000000213e-01,3.056616000000000333e-01
2.475449999999999818e+03,3.442658000000000107e-01,2.923829000000000011e-01,3.031495000000000162e-01,3.720987000000000045e-01,3.791602000000000028e-01,2.946739999999999915e-01,3.478016999999999914e-01,3.333618285714286533e-01
2.475699999999999818e+03,3.425858999999999988e-01,3.593020000000000103e-01,3.485706000000000082e-01,3.041077999999999837e-01,2.939654999999999907e-01,2.567205000000000181e-01,3.988056999999999852e-01,3.291511428571428644e-01
2.475940000000000055e+03,3.239394999999999913e-01,2.951079999999999814e-01,3.619996999999999798e-01,3.662293999999999827e-01,3.126008000000000120e-01,3.022291999999999756e-01,3.953765000000000196e-01,3.367832999999999521e-01
2.476190000000000055e+03,3.170258000000000242e-01,3.800416999999999823e-01,4.027021000000000073e-01,3.852151999999999799e-01,3.394471000000000016e-01,3.685488000000000097e-01,4.401895000000000113e-01,3.761671714285714785e-01
2.476430000000000291e+03,3.695685000000000220e-01,3.796167999999999765e-01,3.753523999999999750e-01,3.413425999999999960e-01,3.974160999999999944e-01,3.938996000000000164e-01,3.783985000000000265e-01,3.765135000000000010e-01
2.476670000000000073e+03,3.823797999999999919e-01,4.774358000000000213e-01,3.935966000000000187e-01,4.112451999999999774e-01,4.209551999999999738e-01,3.608834000000000208e-01,4.487119999999999997e-01,4.136011428571428894e-01
2.476919999999999618e+03,4.199473000000000233e-01,4.039430999999999994e-01,5.214590000000000058e-01,4.538457000000000185e-01,4.253578000000000081e-01,4.574621999999999855e-01,4.414363000000000037e-01,4.462073428571428635e-01
2.477159999999999854e+03,4.939819999999999767e-01,5.391736999999999780e-01,4.556637000000000048e-01,5.835759999999999836e-01,5.682435999999999598e-01,4.279078000000000048e-01,5.353170000000000428e-01,5.148376857142856755e-01
2.477409999999999854e+03,5.498053000000000523e-01,5.343520999999999965e-01,5.940606000000000497e-01,5.480627999999999611e-01,4.968645999999999896e-01,4.868027999999999800e-01,5.378541000000000016e-01,5.354003285714286076e-01
2.477650000000000091e+03,6.013433999999999724e-01,4.977972999999999981e-01,6.516901000000000499e-01,6.119934000000000207e-01,5.535307999999999895e-01,5.950457000000000107e-01,7.002199999999999536e-01,6.016601000000000310e-01
2.477900000000000091e+03,6.460432000000000397e-01,6.550540999999999725e-01,5.506723999999999508e-01,6.321780000000000177e-01,6.250187999999999855e-01,6.441449999999999676e-01,6.046015000000000139e-01,6.225304285714284847e-01
2.478139999999999873e+03,6.392050000000000232e-01,6.253444999999999698e-01,6.258280999999999983e-01,6.455933999999999839e-01,6.863717000000000290e-01,5.593713000000000157e-01,6.819325000000000525e-01,6.376637857142857246e-01
2.478389999999999873e+03,7.092247000000000412e-01,6.292604000000000530e-01,6.525773000000000268e-01,6.433187000000000211e-01,6.291134000000000448e-01,5.871132000000000017e-01,6.892546000000000506e-01,6.485517571428571770e-01
2.478630000000000109e+03,5.510062999999999489e-01,6.229240999999999806e-01,5.828866999999999798e-01,6.294507000000000296e-01,6.442965000000000497e-01,5.813949999999999951e-01,6.422392999999999574e-01,6.077426571428572455e-01
2.478880000000000109e+03,5.288332999999999506e-01,6.075173999999999852e-01,5.652239000000000013e-01,4.847440000000000082e-01,5.965165999999999524e-01,5.562175999999999787e-01,7.122081000000000106e-01,5.787515571428570871e-01
2.479119999999999891e+03,5.913812000000000513e-01,6.296661000000000064e-01,6.848872000000000293e-01,6.289664000000000366e-01,6.557741000000000264e-01,6.139472000000000262e-01,5.674795999999999729e-01,6.245859714285713071e-01
2.479369999999999891e+03,6.279196000000000222e-01,6.332891000000000492e-01,5.728033999999999626e-01,7.185707999999999540e-01,6.636267999999999612e-01,5.993412000000000184e-01,7.121939000000000464e-01,6.468206857142856370e-01
2.479620000000000346e+03,7.297846999999999529e-01,6.926478999999999830e-01,6.653577999999999992e-01,6.861169999999999769e-01,7.351484999999999825e-01,6.282712000000000296e-01,7.464496000000000464e-01,6.976823857142857577e-01
2.479860000000000127e+03,8.352599000000000551e-01,6.734670000000000378e-01,7.848695999999999451e-01,7.764659999999999895e-01,7.673824000000000201e-01,8.002369000000000288e-01,7.237909000000000148e-01,7.659246714285714575e-01
2.480109999999999673e+03,9.181110999999999578e-01,8.555774999999999908e-01,8.454192999999999847e-01,9.063183000000000211e-01,9.375149000000000399e-01,8.622410000000000352e-01,9.067094999999999461e-01,8.902702285714285679e-01
2.480349999999999909e+03,1.181882000000000099e+00,1.037279000000000062e+00,1.060831000000000079e+00,9.074845999999999746e-01,1.109248000000000012e+00,9.293871999999999689e-01,1.055129999999999901e+00,1.040177399999999919e+00
2.480599999999999909e+03,1.323866999999999905e+00,1.368020000000000014e+00,1.431796999999999986e+00,1.363142000000000076e+00,1.255187999999999970e+00,1.366989000000000010e+00,1.343734999999999902e+00,1.350391142857142901e+00
2.480850000000000364e+03,1.601380000000000026e+00,1.641138999999999903e+00,1.624082000000000026e+00,1.642989999999999950e+00,1.701724999999999932e+00,1.574372000000000105e+00,1.713967999999999936e+00,1.642808000000000046e+00
2.481090000000000146e+03,2.126022999999999996e+00,2.145681000000000171e+00,2.023811999999999944e+00,2.033751999999999782e+00,2.274329999999999963e+00,2.064804999999999779e+00,2.184677999999999898e+00,2.121868714285713775e+00
2.481339999999999691e+03,3.102266999999999886e+00,3.045193999999999956e+00,2.888389000000000095e+00,2.678472000000000186e+00,2.907332999999999945e+00,2.773565000000000058e+00,3.020569000000000059e+00,2.916541285714285170e+00
2.481579999999999927e+03,4.038024000000000058e+00,3.603088000000000068e+00,3.992345999999999950e+00,4.177782999999999802e+00,4.088898999999999617e+00,3.942867000000000122e+00,3.931814999999999838e+00,3.967831714285714462e+00
2.481829999999999927e+03,4.990204999999999558e+00,4.767496999999999652e+00,4.755268000000000050e+00,4.529416000000000331e+00,4.729549999999999699e+00,4.411043000000000269e+00,4.682330999999999577e+00,4.695044285714286225e+00
2.482079999999999927e+03,5.029800999999999966e+00,4.639711000000000141e+00,4.960049999999999848e+00,4.543813000000000102e+00,4.693157000000000245e+00,4.899435000000000429e+00,4.742350000000000065e+00,4.786902428571428558e+00
2.482320000000000164e+03,4.657793999999999990e+00,4.523490999999999929e+00,4.428840000000000110e+00,4.681187999999999683e+00,4.784365000000000201e+00,4.650191999999999659e+00,4.387216999999999700e+00,4.587583857142857546e+00
2.482570000000000164e+03,4.304224999999999746e+00,4.273716000000000292e+00,4.310395999999999894e+00,4.049351999999999840e+00,4.029734000000000371e+00,4.301660000000000039e+00,4.203784999999999883e+00,4.210409714285714422e+00
