energy,s040,mean
2.474230000000000018e+03,4.675090000000000079e-01,4.675090000000000079e-01
2.474479999999999563e+03,5.785297000000000356e-01,5.785297000000000356e-01
2.474720000000000255e+03,4.302815999999999863e-01,4.302815999999999863e-01
2.474960000000000036e+03,4.369173000000000084e-01,4.369173000000000084e-01
2.475210000000000036e+03,3.570999000000000256e-01,3.570999000000000256e-01
2.475449999999999818e+03,3.684696000000000082e-01,3.684696000000000082e-01
2.475699999999999818e+03,4.357655999999999752e-01,4.357655999999999752e-01
2.475940000000000055e+03,4.232222999999999957e-01,4.232222999999999957e-01
2.476190000000000055e+03,4.306131000000000264e-01,4.306131000000000264e-01
2.476430000000000291e+03,4.604716999999999838e-01,4.604716999999999838e-01
2.476670000000000073e+03,4.323014000000000023e-01,4.323014000000000023e-01
2.476919999999999618e+03,5.244258000000000530e-01,5.244258000000000530e-01
2.477159999999999854e+03,5.596545000000000547e-01,5.596545000000000547e-01
2.477409999999999854e+03,6.025506999999999946e-01,6.025506999999999946e-01
2.477650000000000091e+03,5.520713000000000426e-01,5.520713000000000426e-01
2.477900000000000091e+03,5.924346999999999808e-01,5.924346999999999808e-01
2.478139999999999873e+03,5.799564000000000386e-01,5.799564000000000386e-01
2.478389999999999873e+03,6.249365999999999532e-01,6.249365999999999532e-01
2.478630000000000109e+03,6.055846000000000284e-01,6.055846000000000284e-01
2.478880000000000109e+03,6.485627000000000475e-01,6.485627000000000475e-01
2.479119999999999891e+03,6.076424000000000269e-01,6.076424000000000269e-01
2.479369999999999891e+03,7.603520999999999752e-01,7.603520999999999752e-01
2.479620000000000346e+03,6.758682000000000301e-01,6.758682000000000301e-01
2.479860000000000127e+03,8.553458999999999923e-01,8.553458999999999923e-01
2.480109999999999673e+03,7.442256000000000427e-01,7.442256000000000427e-01
2.480349999999999909e+03,1.066111000000000031e+00,1.066111000000000031e+00
2.480599999999999909e+03,1.408889000000000058e+00,1.408889000000000058e+00
2.480850000000000364e+03,1.498151999999999928e+00,1.498151999999999928e+00
2.481090000000000146e+03,1.927983999999999920e+00,1.927983999999999920e+00
2.481339999999999691e+03,2.361121999999999943e+00,2.361121999999999943e+00
2.481579999999999927e+03,3.406829000000000107e+00,3.406829000000000107e+00
2.481829999999999927e+03,3.828171999999999908e+00,3.828171999999999908e+00
2.482079999999999927e+03,4.143369999999999997e+00,4.143369999999999997e+00
2.482320000000000164e+03,4.112608999999999959e+00,4.112608999999999959e+00
2.482570000000000164e+03,3.422657000000000060e+00,3.422657000000000060e+00
2.482819999999999709e+03,2.863325999999999816e+00,2.863325999999999816e+00
2.483059999999999945e+03,2.581732999999999834e+00,2.581732999999999834e+00
2.483309999999999945e+03,2.058183000000000096e+00,2.058183000000000096e+00
2.483560000000000400e+03,1.551398000000000055e+00,1.551398000000000055e+00
2.483809999999999945e+03,1.472410999999999914e+00,1.472410999999999914e+00
2.484049999999999727e+03,1.076513000000000053e+00,1.076513000000000053e+00
2.484300000000000182e+03,1.157601000000000102e+00,1.157601000000000102e+00
2.484550000000000182e+03,9.837232000000000198e-01,9.837232000000000198e-01
2.484799999999999727e+03,1.022971999999999992e+00,1.022971999999999992e+00
2.485039999999999964e+03,1.033695999999999948e+00,1.033695999999999948e+00
2.485289999999999964e+03,8.898194999999999855e-01,8.898194999999999855e-01
2.485539999999999964e+03,9.592897000000000229e-01,9.592897000000000229e-01
2.485789999999999964e+03,9.075961999999999641e-01,9.075961999999999641e-01
2.486029999999999745e+03,9.812427999999999706e-01,9.812427999999999706e-01
2.486279999999999745e+03,8.526122999999999896e-01,8.526122999999999896e-01
2.486530000000000200e+03,8.958941000000000265e-01,8.958941000000000265e-01
2.486780000000000200e+03,7.416557000000000288e-01,7.416557000000000288e-01
2.487029999999999745e+03,7.991040000000000365e-01,7.991040000000000365e-01
2.487280000000000200e+03,7.270815999999999946e-01,7.270815999999999946e-01
2.487519999999999982e+03,8.123019999999999685e-01,8.123019999999999685e-01
2.487769999999999982e+03,9.077397000000000382e-01,9.077397000000000382e-01
2.488019999999999982e+03,6.951433999999999669e-01,6.951433999999999669e-01
2.488269999999999982e+03,7.749489000000000516e-01,7.749489000000000516e-01
2.488519999999999982e+03,8.123736999999999764e-01,8.123736999999999764e-01
2.488769999999999982e+03,9.250945999999999891e-01,9.250945999999999891e-01
2.489019999999999982e+03,8.457782999999999829e-01,8.457782999999999829e-01
2.489269999999999982e+03,8.887985999999999942e-01,8.887985999999999942e-01
2.489519999999999982e+03,9.503127000000000102e-01,9.503127000000000102e-01
2.489769999999999982e+03,9.036646000000000400e-01,9.036646000000000400e-01
2.490009999999999764e+03,8.704566000000000248e-01,8.704566000000000248e-01
2.490260000000000218e+03,8.972609000000000279e-01,8.972609000000000279e-01
2.490510000000000218e+03,1.043954999999999966e+00,1.043954999999999966e+00
2.490759999999999764e+03,8.588050999999999879e-01,8.588050999999999879e-01
2.491010000000000218e+03,1.012612000000000068e+00,1.012612000000000068e+00
2.491260000000000218e+03,9.237277999999999878e-01,9.237277999999999878e-01
2.491509999999999764e+03,1.137015000000000109e+00,1.137015000000000109e+00
2.491760000000000218e+03,1.178220999999999963e+00,1.178220999999999963e+00
2.492010000000000218e+03,1.141874999999999973e+00,1.141874999999999973e+00
2.492259999999999764e+03,1.106084999999999985e+00,1.106084999999999985e+00
2.492509999999999764e+03,1.123904000000000014e+00,1.123904000000000014e+00
2.492760000000000218e+03,1.096762000000000015e+00,1.096762000000000015e+00
2.493019999999999982e+03,1.143334000000000072e+00,1.143334000000000072e+00
2.493269999999999982e+03,1.240115000000000078e+00,1.240115000000000078e+00
2.493519999999999982e+03,1.128198000000000034e+00,1.128198000000000034e+00
2.493769999999999982e+03,1.142702000000000107e+00,1.142702000000000107e+00
2.494019999999999982e+03,1.114227000000000078e+00,1.114227000000000078e+00
2.494270000000000437e+03,1.134095999999999993e+00,1.134095999999999993e+00
2.494519999999999982e+03,1.141283999999999965e+00,1.141283999999999965e+00
2.494769999999999982e+03,1.134703000000000017e+00,1.134703000000000017e+00
2.495019999999999982e+03,1.211378999999999984e+00,1.211378999999999984e+00
2.495269999999999982e+03,1.042124000000000050e+00,1.042124000000000050e+00
2.495530000000000200e+03,1.238639000000000046e+00,1.238639000000000046e+00
2.495779999999999745e+03,1.055352999999999986e+00,1.055352999999999986e+00
2.496030000000000200e+03,1.111121999999999943e+00,1.111121999999999943e+00
