energy,s034,s035,s036,s037,s038,s039,mean
2.473990000000000236e+03,7.017792000000000474e-01,7.206542999999999699e-01,6.959889000000000214e-01,6.205574000000000368e-01,7.028197000000000472e-01,5.870324999999999571e-01,6.714720000000000688e-01
2.474230000000000018e+03,7.202184999999999837e-01,7.392809999999999659e-01,7.397099999999999786e-01,7.494007999999999781e-01,6.093674999999999509e-01,6.868315999999999866e-01,7.074682333333331963e-01
2.474479999999999563e+03,6.374410000000000354e-01,7.361258999999999997e-01,7.380723999999999618e-01,6.595982000000000234e-01,6.892160999999999982e-01,5.001773999999999942e-01,6.601051666666667428e-01
2.474720000000000255e+03,6.150438000000000294e-01,6.141197000000000461e-01,6.699931000000000081e-01,5.923553000000000290e-01,6.033129999999999882e-01,5.547984999999999722e-01,6.082705666666666788e-01
2.474960000000000036e+03,6.020166000000000128e-01,6.131031999999999593e-01,5.745571000000000428e-01,5.262793999999999528e-01,5.038783999999999486e-01,6.041473000000000537e-01,5.706636666666666802e-01
2.475210000000000036e+03,4.829131999999999869e-01,5.587995000000000045e-01,5.554499000000000519e-01,4.192471999999999865e-01,5.977223000000000397e-01,4.791180999999999912e-01,5.155416999999999916e-01
2.475449999999999818e+03,5.001301999999999692e-01,5.370711000000000235e-01,5.306532999999999944e-01,4.668785999999999770e-01,4.987265000000000170e-01,5.181291999999999565e-01,5.085981499999999711e-01
2.475699999999999818e+03,4.865704000000000140e-01,5.664639999999999675e-01,4.354006000000000265e-01,4.883031999999999928e-01,5.243151999999999813e-01,5.113442000000000265e-01,5.020662666666666496e-01
2.475940000000000055e+03,5.153345000000000287e-01,5.641005000000000047e-01,5.806303999999999910e-01,5.039949999999999708e-01,4.802866000000000080e-01,5.537049000000000554e-01,5.330086500000000838e-01
2.476190000000000055e+03,5.599589000000000372e-01,5.718710000000000182e-01,5.799058999999999742e-01,4.977698999999999874e-01,5.768178000000000472e-01,5.356592000000000020e-01,5.536637833333334369e-01
2.476430000000000291e+03,5.632707000000000130e-01,5.140198999999999740e-01,5.095574000000000492e-01,6.272946000000000355e-01,5.084992000000000401e-01,5.493325000000000014e-01,5.453290499999999819e-01
2.476670000000000073e+03,6.525851999999999764e-01,6.095017999999999825e-01,6.261953999999999576e-01,5.406512999999999458e-01,6.380464000000000135e-01,5.434651000000000343e-01,6.017408666666667072e-01
2.476919999999999618e+03,6.532540000000000013e-01,6.744255000000000111e-01,6.575518000000000196e-01,6.804069999999999840e-01,6.538939000000000279e-01,5.825213000000000196e-01,6.503422500000000106e-01
2.477159999999999854e+03,7.278459000000000456e-01,7.293323000000000444e-01,7.275338999999999556e-01,6.606476999999999489e-01,6.751605999999999996e-01,6.731848000000000276e-01,6.989508666666667258e-01
2.477409999999999854e+03,7.486905999999999839e-01,8.156596000000000402e-01,8.238887999999999767e-01,7.211572000000000537e-01,8.521841999999999473e-01,7.696646999999999794e-01,7.885408499999999599e-01
2.477650000000000091e+03,8.602041000000000270e-01,8.073844999999999494e-01,8.271581999999999546e-01,8.242395000000000138e-01,8.233591999999999578e-01,7.125451000000000423e-01,8.091484333333331946e-01
2.477900000000000091e+03,8.683467999999999742e-01,8.521009000000000499e-01,8.452427000000000135e-01,7.898117000000000054e-01,7.324437000000000308e-01,7.612875000000000059e-01,8.082055499999999393e-01
2.478139999999999873e+03,9.397172000000000303e-01,8.560368999999999895e-01,8.543144999999999767e-01,8.535388999999999893e-01,7.870217999999999936e-01,7.180197000000000385e-01,8.347748333333333548e-01
2.478389999999999873e+03,8.806867999999999919e-01,8.463920000000000332e-01,8.628147999999999929e-01,7.387105000000000476e-01,7.338715000000000099e-01,8.346128000000000435e-01,8.161814000000000568e-01
2.478630000000000109e+03,8.832332999999999990e-01,8.019484000000000057e-01,9.457624000000000031e-01,8.675979000000000330e-01,8.595525000000000526e-01,8.672290000000000276e-01,8.708872500000000016e-01
2.478880000000000109e+03,8.804781000000000413e-01,8.300277999999999823e-01,8.720573999999999826e-01,7.789705000000000101e-01,8.502585999999999755e-01,7.863860999999999768e-01,8.330297500000000133e-01
2.479119999999999891e+03,7.267597999999999558e-01,7.737201000000000217e-01,8.487476999999999938e-01,7.547239999999999505e-01,8.595000999999999891e-01,8.125755999999999535e-01,7.960045500000000329e-01
2.479369999999999891e+03,8.577496000000000009e-01,8.272509000000000112e-01,8.196592000000000322e-01,8.270676000000000139e-01,8.315462999999999605e-01,8.522532000000000441e-01,8.359211333333332883e-01
2.479620000000000346e+03,9.360967999999999511e-01,8.150520999999999461e-01,7.714317000000000535e-01,8.443192000000000474e-01,8.389670000000000183e-01,7.947566999999999826e-01,8.334372499999999073e-01
2.479860000000000127e+03,8.708380999999999483e-01,9.774542000000000508e-01,9.447491999999999557e-01,9.088131999999999877e-01,9.528062000000000475e-01,7.987104999999999899e-01,9.088952333333334410e-01
2.480109999999999673e+03,9.979314999999999714e-01,1.064581000000000000e+00,9.593110999999999722e-01,9.379366999999999566e-01,9.539655000000000218e-01,8.702969000000000399e-01,9.640037833333332529e-01
2.480349999999999909e+03,1.027287000000000061e+00,1.156555000000000000e+00,1.029711000000000043e+00,1.078576999999999897e+00,1.167693000000000092e+00,9.372219000000000522e-01,1.066174149999999932e+00
2.480599999999999909e+03,1.339075000000000015e+00,1.196809000000000012e+00,1.339064000000000032e+00,1.292157000000000000e+00,1.265316000000000107e+00,1.259589000000000070e+00,1.282001666666666706e+00
2.480850000000000364e+03,1.358894999999999964e+00,1.415945999999999927e+00,1.428107999999999933e+00,1.382066999999999934e+00,1.456839999999999913e+00,1.472900000000000098e+00,1.419126000000000110e+00
2.481090000000000146e+03,1.798235000000000028e+00,1.645572000000000035e+00,1.702245999999999926e+00,1.785018999999999911e+00,1.776548000000000016e+00,1.859283000000000019e+00,1.761150500000000063e+00
2.481339999999999691e+03,2.399480000000000057e+00,2.395100999999999924e+00,2.206570999999999838e+00,2.094177999999999873e+00,2.298639000000000099e+00,2.206576000000000093e+00,2.266757499999999759e+00
2.481579999999999927e+03,2.984310999999999936e+00,2.992424999999999891e+00,2.985180000000000167e+00,3.029472999999999860e+00,3.004636999999999780e+00,3.029994999999999994e+00,3.004336833333333345e+00
2.481829999999999927e+03,3.603597000000000161e+00,3.503229000000000148e+00,3.342277000000000164e+00,3.344117999999999924e+00,3.523505999999999805e+00,3.548672999999999966e+00,3.477566666666666695e+00
