energy,s028,s029,s030,s031,mean
2.463119999999999891e+03,-1.651441000000000020e-02,-2.207597999999999852e-03,-2.119713000000000066e-03,-6.400959000000000119e-04,-5.370454224999998867e-03
2.463360000000000127e+03,-1.176807000000000027e-02,9.342164999999999497e-03,-1.424241000000000049e-02,-1.389193000000000025e-02,-7.640061250000000810e-03
2.463599999999999909e+03,1.567096000000000114e-02,5.322221999999999717e-03,7.937249000000000387e-03,2.475042000000000214e-03,7.851368250000000798e-03
2.463839999999999691e+03,4.485755999999999598e-03,6.652890000000000062e-04,8.824557000000000017e-04,1.228853000000000020e-03,1.815588424999999961e-03
2.464079999999999927e+03,-7.112150000000000243e-03,-2.718598999999999929e-03,-8.248032000000000627e-03,6.237270999999999961e-03,-2.960377500000000751e-03
2.464319999999999709e+03,1.983434000000000065e-03,-1.477274999999999942e-02,-3.741158000000000070e-03,3.925991000000000203e-03,-3.151120749999999915e-03
2.464559999999999945e+03,-4.941428999999999787e-03,5.815596999999999607e-04,2.188644999999999913e-03,2.610828999999999732e-04,-4.775353499999998629e-04
2.464799999999999727e+03,1.819590999999999917e-02,3.787711000000000029e-03,1.734296000000000101e-02,4.037894000000000205e-04,9.932592599999999841e-03
2.465039999999999964e+03,-4.811906000000000343e-03,-1.809075000000000049e-03,-3.679463000000000004e-03,1.517250000000000022e-02,1.218013999999999902e-03
2.465279999999999745e+03,1.624000999999999917e-02,5.503498000000000276e-05,1.290878999999999985e-03,-7.516822999999999734e-03,2.517275245000000564e-03
2.465519999999999982e+03,3.789795999999999790e-03,2.345338000000000197e-03,1.274549999999999945e-03,4.181790999999999807e-03,2.897868750000000097e-03
2.465759999999999764e+03,1.276946999999999978e-02,1.434314000000000075e-02,1.645579000000000139e-02,7.219698000000000088e-03,1.269702450000000093e-02
2.466000000000000000e+03,5.276627000000000530e-04,2.442975999999999828e-02,9.360112000000000293e-03,1.172716000000000036e-02,1.151117367499999988e-02
2.466239999999999782e+03,-7.113416000000000010e-03,3.231504000000000060e-03,9.528142999999999335e-03,-1.389193000000000025e-02,-2.061424750000000108e-03
2.466479999999999563e+03,-7.806605999999999788e-03,1.610131999999999883e-02,1.984643000000000171e-02,1.126072000000000010e-02,9.850466000000000430e-03
2.466719999999999800e+03,1.350419999999999919e-02,2.176457999999999865e-02,6.558566000000000049e-03,1.726487999999999981e-02,1.477305649999999942e-02
2.466960000000000036e+03,8.023867999999999973e-03,1.493017999999999949e-02,7.223908000000000239e-03,3.113099999999999895e-02,1.532723899999999945e-02
2.467200000000000273e+03,2.551669999999999980e-02,2.054587000000000080e-02,1.604380999999999863e-02,-9.298242999999999873e-04,1.529413892499999900e-02
2.467449999999999818e+03,4.473463999999999913e-02,3.543762000000000301e-02,4.051561000000000051e-02,3.846803000000000028e-02,3.978897500000000420e-02
2.467690000000000055e+03,3.827019000000000254e-02,3.625334999999999669e-02,2.568406000000000161e-02,4.876752000000000170e-02,3.724378000000000410e-02
2.467929999999999836e+03,8.684226000000000445e-02,5.483099000000000306e-02,7.949119000000000324e-02,6.197017999999999971e-02,7.078365500000000088e-02
2.468170000000000073e+03,1.135358000000000062e-01,7.031352000000000435e-02,1.394266000000000116e-01,1.067285000000000039e-01,1.075011050000000135e-01
2.468409999999999854e+03,1.720412000000000052e-01,2.131004999999999983e-01,1.857884999999999953e-01,1.951655999999999946e-01,1.915239499999999984e-01
2.468649999999999636e+03,2.376572999999999880e-01,2.071251000000000064e-01,2.921055000000000179e-01,4.531973000000000251e-01,2.975212999999999886e-01
2.468889999999999873e+03,2.391051999999999900e-01,3.063735000000000208e-01,2.743904999999999816e-01,3.294123999999999941e-01,2.873203999999999758e-01
2.469139999999999873e+03,1.552704000000000029e-01,1.508136999999999950e-01,1.991941000000000128e-01,2.588746000000000103e-01,1.910381999999999914e-01
2.469380000000000109e+03,1.811900999999999928e-01,1.571095999999999882e-01,1.579882999999999982e-01,1.978277999999999981e-01,1.735289499999999874e-01
2.469619999999999891e+03,1.665832999999999897e-01,1.297756999999999938e-01,1.183793000000000067e-01,1.984229999999999883e-01,1.532903250000000051e-01
2.469860000000000127e+03,1.968041000000000096e-01,1.977374000000000076e-01,1.944033000000000011e-01,2.411620999999999904e-01,2.075267249999999675e-01
2.470099999999999909e+03,2.715264000000000011e-01,2.581145000000000245e-01,3.171258000000000132e-01,3.594030999999999754e-01,3.015424500000000174e-01
2.470349999999999909e+03,4.570563000000000264e-01,4.062565000000000204e-01,4.651838999999999835e-01,4.528223000000000109e-01,4.453297500000000242e-01
2.470590000000000146e+03,5.194062999999999874e-01,5.138211000000000306e-01,5.779284999999999561e-01,6.324636000000000147e-01,5.609048749999999695e-01
2.470829999999999927e+03,6.017829000000000095e-01,6.498952999999999536e-01,6.548658000000000534e-01,6.338519000000000236e-01,6.350989750000000100e-01
2.471070000000000164e+03,6.594765000000000210e-01,6.808191000000000104e-01,6.599686000000000163e-01,6.075121999999999467e-01,6.519441000000000264e-01
2.471320000000000164e+03,6.008626999999999718e-01,5.503040999999999627e-01,6.271071000000000284e-01,6.632949999999999680e-01,6.103922250000000105e-01
2.471560000000000400e+03,6.024602000000000013e-01,6.106783000000000072e-01,6.265743999999999758e-01,6.518137999999999987e-01,6.228816749999999125e-01
2.471800000000000182e+03,5.615856000000000181e-01,5.718214000000000352e-01,5.247353999999999630e-01,5.456201999999999996e-01,5.509406500000000317e-01
2.472039999999999964e+03,5.449794000000000027e-01,5.564253000000000116e-01,5.313736000000000015e-01,6.042942999999999509e-01,5.592681499999999639e-01
2.472289999999999964e+03,5.193389999999999951e-01,6.054460999999999871e-01,5.531110000000000193e-01,5.959923000000000304e-01,5.684720999999999247e-01
2.472529999999999745e+03,5.104764999999999997e-01,5.251780999999999811e-01,5.258553999999999728e-01,5.228243000000000196e-01,5.210835750000000210e-01
2.472769999999999982e+03,4.750978000000000145e-01,4.620892999999999806e-01,4.859400999999999859e-01,5.253824000000000272e-01,4.871274000000000437e-01
2.473019999999999982e+03,5.400460999999999734e-01,5.485037000000000385e-01,5.187857999999999636e-01,5.607166999999999568e-01,5.420130749999999553e-01
2.473259999999999764e+03,5.390785000000000160e-01,4.945640000000000036e-01,6.023469000000000184e-01,4.875026000000000082e-01,5.308730000000000393e-01
2.473500000000000000e+03,5.770461000000000062e-01,5.618845999999999563e-01,5.315883000000000136e-01,5.633207999999999549e-01,5.584599500000000383e-01
2.473750000000000000e+03,5.073836000000000457e-01,5.415984000000000353e-01,5.464259999999999673e-01,5.857655000000000500e-01,5.452933749999999691e-01
2.473990000000000236e+03,5.055629999999999846e-01,4.838322999999999929e-01,5.766727999999999854e-01,4.915747999999999784e-01,5.144107249999999576e-01
2.474230000000000018e+03,4.220186000000000215e-01,5.793131999999999726e-01,5.450525000000000508e-01,5.610032000000000352e-01,5.268468750000000478e-01
2.474479999999999563e+03,4.795975000000000099e-01,5.136083000000000176e-01,5.376623000000000374e-01,5.380198000000000480e-01,5.172219750000000005e-01
2.474720000000000255e+03,4.722778999999999727e-01,5.000312000000000090e-01,4.636115000000000097e-01,5.577138000000000373e-01,4.984085999999999794e-01
2.474960000000000036e+03,4.575254999999999739e-01,4.021893999999999747e-01,4.369879999999999876e-01,4.474138999999999755e-01,4.360291999999999502e-01
2.475210000000000036e+03,4.701851000000000225e-01,4.960776000000000074e-01,4.626086999999999838e-01,4.897235999999999811e-01,4.796487500000000126e-01
2.475449999999999818e+03,3.627068999999999988e-01,4.047206999999999888e-01,3.746716999999999964e-01,5.154725000000000001e-01,4.143929499999999821e-01
2.475699999999999818e+03,3.364858000000000016e-01,4.177565999999999780e-01,4.439415999999999918e-01,4.231083999999999956e-01,4.053230999999999917e-01
2.475940000000000055e+03,4.732201999999999797e-01,3.946889000000000092e-01,4.731764999999999999e-01,4.360792000000000002e-01,4.442911999999999972e-01
2.476190000000000055e+03,4.732424000000000075e-01,3.805303999999999909e-01,3.986392000000000269e-01,4.240361999999999743e-01,4.191120500000000137e-01
2.476430000000000291e+03,4.021738999999999731e-01,4.959353000000000233e-01,4.929260999999999782e-01,4.817177000000000264e-01,4.681882499999999725e-01
2.476670000000000073e+03,5.080166000000000404e-01,4.908547999999999800e-01,5.172221000000000179e-01,5.052307999999999799e-01,5.053310750000000739e-01
2.476919999999999618e+03,5.464573999999999820e-01,5.080822000000000394e-01,5.589176999999999618e-01,5.718206999999999596e-01,5.463194999999999579e-01
2.477159999999999854e+03,5.739904000000000117e-01,5.951773000000000202e-01,5.907645000000000257e-01,6.122212999999999683e-01,5.930383750000000065e-01
2.477409999999999854e+03,5.062592999999999677e-01,6.253938999999999471e-01,6.766794999999999893e-01,7.414555000000000451e-01,6.374470500000000150e-01
2.477650000000000091e+03,6.659969999999999501e-01,7.414794000000000107e-01,7.445897999999999683e-01,7.628540000000000321e-01,7.287300500000000181e-01
2.477900000000000091e+03,7.003036000000000261e-01,7.367430999999999841e-01,7.420417000000000263e-01,8.260823000000000471e-01,7.512926749999999654e-01
2.478139999999999873e+03,7.712453999999999699e-01,7.737853000000000092e-01,7.542621000000000464e-01,7.239719999999999489e-01,7.558161999999999381e-01
2.478389999999999873e+03,6.545763999999999472e-01,6.496041999999999650e-01,7.604446999999999734e-01,6.793780999999999848e-01,6.860008499999999954e-01
2.478630000000000109e+03,6.757899000000000544e-01,7.037968999999999475e-01,7.552233999999999892e-01,7.046411999999999676e-01,7.098628499999999342e-01
2.478880000000000109e+03,6.595699000000000423e-01,7.211184000000000482e-01,6.378466999999999887e-01,7.658970999999999973e-01,6.961080250000000191e-01
2.479119999999999891e+03,6.514123000000000552e-01,6.735594000000000303e-01,7.366162000000000543e-01,7.993266999999999456e-01,7.152286500000000213e-01
2.479369999999999891e+03,6.671854000000000395e-01,7.524252999999999636e-01,6.930808999999999997e-01,8.417295000000000194e-01,7.386052749999999500e-01
2.479620000000000346e+03,7.207004999999999661e-01,8.386772999999999589e-01,7.023120999999999947e-01,7.639477000000000073e-01,7.564094000000000095e-01
2.479860000000000127e+03,7.482746999999999593e-01,7.623577999999999744e-01,8.273409999999999931e-01,7.942673000000000094e-01,7.830601999999999840e-01
2.480109999999999673e+03,8.956787000000000498e-01,8.579314999999999580e-01,8.070680000000000076e-01,1.002329999999999943e+00,8.907520499999999064e-01
2.480349999999999909e+03,9.971925999999999846e-01,1.057228999999999974e+00,9.494464999999999710e-01,1.055171999999999999e+00,1.014760024999999954e+00
2.480599999999999909e+03,1.324853999999999976e+00,1.353809999999999958e+00,1.225432999999999995e+00,1.205319000000000029e+00,1.277354000000000100e+00
2.480850000000000364e+03,1.560955000000000092e+00,1.396006000000000080e+00,1.531754000000000060e+00,1.588059000000000109e+00,1.519193500000000085e+00
2.481090000000000146e+03,1.998272000000000048e+00,2.049195000000000100e+00,2.053024999999999878e+00,1.936603999999999992e+00,2.009274000000000004e+00
2.481339999999999691e+03,2.813184000000000129e+00,2.438956999999999820e+00,2.655037999999999787e+00,2.565374999999999961e+00,2.618138499999999702e+00
2.481579999999999927e+03,3.750087000000000170e+00,3.530946000000000140e+00,3.178904000000000174e+00,3.444783999999999846e+00,3.476180250000000083e+00
