energy,s012,s013,s014,s015,s016,s017,s018,mean
2.467690000000000055e+03,3.603001000000000120e-02,2.604516000000000123e-02,4.391694000000000153e-02,4.564768000000000298e-02,3.177272999999999903e-02,5.255160999999999860e-02,3.797227999999999715e-02,3.913377285714286086e-02
2.467929999999999836e+03,2.360875999999999947e-02,6.040149999999999686e-02,4.012726999999999961e-02,5.007908999999999972e-02,7.369011999999999785e-02,8.439328000000000107e-02,4.116439999999999683e-02,5.335205999999999282e-02
2.468170000000000073e+03,9.091377000000000486e-02,1.184521000000000046e-01,1.101493000000000055e-01,9.503085999999999478e-02,7.878823000000000076e-02,9.690898000000000567e-02,1.154923000000000061e-01,1.008193628571428663e-01
2.468409999999999854e+03,1.242281999999999970e-01,1.487783000000000022e-01,1.839272000000000129e-01,1.253048999999999968e-01,1.538461000000000134e-01,1.478412000000000059e-01,1.237908999999999954e-01,1.439595428571428248e-01
2.468649999999999636e+03,2.367505000000000026e-01,2.823976999999999737e-01,2.422449999999999881e-01,1.963556999999999941e-01,2.459272000000000125e-01,2.341895999999999978e-01,2.405445999999999973e-01,2.397729000000000110e-01
2.468889999999999873e+03,2.188911000000000051e-01,2.478075999999999890e-01,2.672425999999999968e-01,2.376515999999999906e-01,1.575915999999999983e-01,2.801479000000000052e-01,2.562164000000000108e-01,2.379355428571428566e-01
2.469139999999999873e+03,1.779588000000000003e-01,1.332820000000000116e-01,1.780686999999999964e-01,1.637039999999999884e-01,1.727495000000000003e-01,1.061539999999999984e-01,1.609180000000000055e-01,1.561192857142857104e-01
2.469380000000000109e+03,1.802938000000000041e-01,1.386718000000000117e-01,1.611049999999999982e-01,1.287741000000000025e-01,1.152229000000000031e-01,1.261599999999999944e-01,1.386815000000000131e-01,1.412727285714285574e-01
2.469619999999999891e+03,8.641113000000000266e-02,1.452738000000000085e-01,1.333226999999999884e-01,1.084630000000000039e-01,1.276101000000000041e-01,1.175072999999999951e-01,1.185539000000000037e-01,1.195917042857142926e-01
2.469860000000000127e+03,1.110606999999999983e-01,1.954914000000000096e-01,1.447614999999999874e-01,1.258495000000000030e-01,9.470620000000000427e-02,1.322730000000000017e-01,1.455417999999999989e-01,1.356691571428571275e-01
2.470099999999999909e+03,2.193096999999999963e-01,2.313850000000000073e-01,2.369988000000000095e-01,2.169241000000000086e-01,2.643606000000000011e-01,2.255214000000000107e-01,1.951869999999999994e-01,2.270980857142857190e-01
2.470349999999999909e+03,3.616138999999999881e-01,3.636487999999999943e-01,3.095384999999999942e-01,3.333387999999999907e-01,3.505368999999999846e-01,3.225872000000000184e-01,3.245408000000000182e-01,3.379721285714284984e-01
2.470590000000000146e+03,4.429151000000000060e-01,5.258547999999999556e-01,4.685193000000000274e-01,3.946964000000000028e-01,5.071902000000000355e-01,4.431699000000000055e-01,4.588735999999999926e-01,4.630313285714285909e-01
2.470829999999999927e+03,5.152335000000000109e-01,5.483002000000000153e-01,5.962231000000000058e-01,5.852673999999999932e-01,5.611340999999999690e-01,5.273084000000000104e-01,5.357330000000000148e-01,5.527428142857142568e-01
2.471070000000000164e+03,5.690197000000000171e-01,5.700948999999999600e-01,6.060805000000000220e-01,6.074734999999999996e-01,5.985785000000000133e-01,5.372495000000000465e-01,6.337319000000000146e-01,5.888897857142857406e-01
2.471320000000000164e+03,6.736579999999999790e-01,6.316458000000000350e-01,6.007635000000000058e-01,5.679056000000000104e-01,6.181043000000000509e-01,6.463645999999999558e-01,6.743190000000000017e-01,6.303944000000000214e-01
2.471560000000000400e+03,6.796423999999999799e-01,6.868250000000000188e-01,6.414094000000000184e-01,4.770589000000000079e-01,5.351588000000000456e-01,6.532010000000000316e-01,6.850726999999999789e-01,6.226240285714286227e-01
2.471800000000000182e+03,6.131896999999999487e-01,6.362834000000000545e-01,6.697022999999999726e-01,6.537465999999999555e-01,6.259259000000000350e-01,5.896346999999999561e-01,6.608640999999999543e-01,6.356209571428570460e-01
2.472039999999999964e+03,5.617596999999999730e-01,7.018259999999999499e-01,6.357610999999999679e-01,5.283362000000000336e-01,5.691728999999999816e-01,6.429574000000000122e-01,6.315391999999999673e-01,6.101932142857142694e-01
2.472289999999999964e+03,6.852956999999999521e-01,6.811352999999999991e-01,6.687771000000000132e-01,6.447323999999999833e-01,6.141385000000000316e-01,6.293033000000000099e-01,6.437102000000000102e-01,6.524417857142857935e-01
2.472529999999999745e+03,5.241219000000000294e-01,6.488840000000000163e-01,6.887773999999999841e-01,6.046245000000000092e-01,5.876900999999999931e-01,6.067388000000000225e-01,6.075116999999999878e-01,6.097640571428571965e-01
2.472769999999999982e+03,5.173423000000000327e-01,5.399907000000000457e-01,5.610884000000000427e-01,5.249981999999999704e-01,5.125650000000000484e-01,4.603154999999999886e-01,6.154161999999999688e-01,5.331023285714285853e-01
2.473019999999999982e+03,5.886613000000000540e-01,5.333008999999999666e-01,5.490304999999999769e-01,4.954935999999999785e-01,5.447528000000000370e-01,5.193256000000000538e-01,5.905675999999999704e-01,5.458760428571428625e-01
2.473259999999999764e+03,5.337775000000000158e-01,5.531989000000000489e-01,5.691011000000000264e-01,5.596430000000000016e-01,4.885818000000000105e-01,5.825204999999999966e-01,5.866238999999999759e-01,5.533495285714286060e-01
2.473500000000000000e+03,5.396874999999999867e-01,5.355218000000000478e-01,5.364117999999999942e-01,5.477961000000000080e-01,5.464554000000000356e-01,5.461432000000000508e-01,5.861338999999999855e-01,5.483071000000000472e-01
2.473750000000000000e+03,4.559600999999999793e-01,5.428771999999999487e-01,5.121675999999999451e-01,4.625336999999999921e-01,4.463226000000000138e-01,4.849091999999999847e-01,6.033011000000000346e-01,5.011530714285713506e-01
2.473990000000000236e+03,4.567659000000000025e-01,5.800484999999999669e-01,5.290152999999999661e-01,5.582232000000000305e-01,4.677316000000000251e-01,5.339815999999999452e-01,5.997578000000000076e-01,5.322177000000000158e-01
2.474230000000000018e+03,5.121818999999999678e-01,5.100647000000000375e-01,4.895795000000000008e-01,4.585143999999999886e-01,5.351177999999999768e-01,4.922322000000000086e-01,5.386992000000000447e-01,5.051985285714285512e-01
2.474479999999999563e+03,4.922436000000000034e-01,4.587722000000000189e-01,5.042086000000000068e-01,3.865396999999999861e-01,4.321580999999999895e-01,4.371165000000000189e-01,5.317022999999999611e-01,4.632487142857142914e-01
2.474720000000000255e+03,4.286812999999999874e-01,4.581790000000000029e-01,4.851328999999999780e-01,4.303640000000000243e-01,4.323202999999999907e-01,4.512577999999999867e-01,4.443306000000000200e-01,4.471808428571429350e-01
2.474960000000000036e+03,4.097823999999999911e-01,4.364520000000000066e-01,3.995439000000000074e-01,2.937153000000000125e-01,3.989322000000000146e-01,3.528494999999999826e-01,4.395645000000000246e-01,3.901199714285714104e-01
2.475210000000000036e+03,3.484683000000000086e-01,3.733005999999999824e-01,3.935837999999999837e-01,2.917439000000000004e-01,3.698625999999999858e-01,3.380469999999999864e-01,3.744553999999999938e-01,3.556373714285713805e-01
2.475449999999999818e+03,3.616738999999999926e-01,3.386240999999999834e-01,3.874289000000000205e-01,3.655980999999999814e-01,3.721840000000000148e-01,3.607178999999999802e-01,3.577203999999999939e-01,3.634210428571428286e-01
