energy,s014,s015,s016,mean
2.463119999999999891e+03,-5.221075999999999842e-03,-3.274178999999999892e-03,7.637724000000000466e-04,-2.577160866666666598e-03
2.463360000000000127e+03,-8.124091999999999425e-03,-7.981288000000000011e-04,1.537932000000000101e-03,-2.461429599999999992e-03
2.463599999999999909e+03,3.286218000000000038e-03,9.398606000000000321e-03,-9.326723999999999778e-03,1.119366666666667077e-03
2.463839999999999691e+03,-3.026894000000000026e-03,3.165932999999999898e-04,-9.582979999999999624e-03,-4.097760233333333328e-03
2.464079999999999927e+03,-1.532479000000000003e-03,-8.735668000000000252e-03,7.256638999999999624e-03,-1.003836000000000138e-03
2.464319999999999709e+03,1.249979000000000021e-02,7.569491000000000240e-03,1.262864999999999994e-02,1.089931033333333375e-02
2.464559999999999945e+03,-9.287837000000000176e-03,3.043536999999999805e-03,6.458151999999999556e-04,-1.866161600000000066e-03
2.464799999999999727e+03,1.140637000000000074e-02,-7.520251999999999840e-03,-3.923102000000000360e-03,-1.232799999999981827e-05
2.465039999999999964e+03,1.342479000000000068e-02,2.482972999999999864e-03,7.752466000000000391e-03,7.886742999999999879e-03
2.465279999999999745e+03,6.211081999999999714e-03,2.258347000000000132e-02,5.386504999999999765e-03,1.139368566666666693e-02
2.465519999999999982e+03,1.883330000000000073e-02,1.224343999999999953e-02,-2.268194999999999923e-04,1.028330683333333363e-02
2.465759999999999764e+03,9.831882999999999595e-03,1.423753999999999992e-02,9.475597000000000533e-03,1.118167333333333451e-02
2.466000000000000000e+03,6.086880000000000242e-03,7.533782000000000152e-03,2.331785000000000108e-02,1.231283733333333325e-02
2.466239999999999782e+03,2.147204999999999947e-02,3.798949000000000076e-02,1.116773000000000071e-02,2.354308999999999916e-02
2.466479999999999563e+03,-1.464061000000000008e-03,1.341030000000000000e-02,2.173082999999999959e-02,1.122568966666666855e-02
2.466719999999999800e+03,7.167279999999999832e-03,1.348029000000000067e-02,5.825213000000000092e-03,8.824260999999999910e-03
2.466960000000000036e+03,1.535740000000000022e-02,9.501725000000000795e-03,7.663643999999999838e-03,1.084092300000000057e-02
2.467200000000000273e+03,1.148255999999999930e-02,2.861887000000000111e-02,2.776425999999999894e-02,2.262189666666666876e-02
2.467449999999999818e+03,3.901589999999999919e-03,2.253000000000000141e-02,3.291054000000000201e-02,1.978071000000000343e-02
2.467690000000000055e+03,2.625488999999999948e-02,2.824812000000000156e-02,2.175561999999999982e-02,2.541954333333333593e-02
2.467929999999999836e+03,3.614077999999999735e-02,3.343593999999999733e-02,4.340544999999999820e-02,3.766072333333333327e-02
2.468170000000000073e+03,2.021739999999999995e-02,6.080076999999999704e-02,6.867191999999999741e-02,4.989669666666666364e-02
2.468409999999999854e+03,1.113061000000000050e-01,7.562417000000000444e-02,1.012824999999999975e-01,9.607092333333333567e-02
2.468649999999999636e+03,1.478463999999999889e-01,1.359492999999999951e-01,1.415907999999999889e-01,1.417954999999999910e-01
