energy,s046,mean
2.487280000000000200e+03,8.315046000000000381e-01,8.315046000000000381e-01
2.487519999999999982e+03,8.975661999999999807e-01,8.975661999999999807e-01
2.487769999999999982e+03,9.364616000000000051e-01,9.364616000000000051e-01
2.488019999999999982e+03,9.669590999999999603e-01,9.669590999999999603e-01
2.488269999999999982e+03,7.798363999999999852e-01,7.798363999999999852e-01
2.488519999999999982e+03,8.905762000000000400e-01,8.905762000000000400e-01
2.488769999999999982e+03,8.652351999999999821e-01,8.652351999999999821e-01
2.489019999999999982e+03,9.669837000000000016e-01,9.669837000000000016e-01
2.489269999999999982e+03,1.010208999999999913e+00,1.010208999999999913e+00
2.489519999999999982e+03,9.339161000000000268e-01,9.339161000000000268e-01
2.489769999999999982e+03,9.795722999999999514e-01,9.795722999999999514e-01
2.490009999999999764e+03,8.972470000000000168e-01,8.972470000000000168e-01
2.490260000000000218e+03,9.278264000000000511e-01,9.278264000000000511e-01
2.490510000000000218e+03,9.034349000000000407e-01,9.034349000000000407e-01
2.490759999999999764e+03,1.028421000000000030e+00,1.028421000000000030e+00
2.491010000000000218e+03,1.094875000000000043e+00,1.094875000000000043e+00
2.491260000000000218e+03,1.091863000000000028e+00,1.091863000000000028e+00
2.491509999999999764e+03,1.117720000000000047e+00,1.117720000000000047e+00
2.491760000000000218e+03,1.057067999999999897e+00,1.057067999999999897e+00
2.492010000000000218e+03,1.108200999999999992e+00,1.108200999999999992e+00
2.492259999999999764e+03,1.177381000000000011e+00,1.177381000000000011e+00
2.492509999999999764e+03,1.116098999999999952e+00,1.116098999999999952e+00
2.492760000000000218e+03,1.122664000000000106e+00,1.122664000000000106e+00
2.493019999999999982e+03,1.209964999999999957e+00,1.209964999999999957e+00
2.493269999999999982e+03,1.147456000000000031e+00,1.147456000000000031e+00
2.493519999999999982e+03,1.203670999999999935e+00,1.203670999999999935e+00
2.493769999999999982e+03,1.127755000000000063e+00,1.127755000000000063e+00
2.494019999999999982e+03,1.124325000000000019e+00,1.124325000000000019e+00
2.494270000000000437e+03,1.221605000000000052e+00,1.221605000000000052e+00
2.494519999999999982e+03,1.125242000000000075e+00,1.125242000000000075e+00
2.494769999999999982e+03,1.118619999999999948e+00,1.118619999999999948e+00
2.495019999999999982e+03,1.221678000000000042e+00,1.221678000000000042e+00
2.495269999999999982e+03,1.021913999999999989e+00,1.021913999999999989e+00
2.495530000000000200e+03,1.032628000000000101e+00,1.032628000000000101e+00
2.495779999999999745e+03,1.226434000000000024e+00,1.226434000000000024e+00
2.496030000000000200e+03,1.143993999999999955e+00,1.143993999999999955e+00
2.496280000000000200e+03,1.271622999999999948e+00,1.271622999999999948e+00
2.496529999999999745e+03,1.142282999999999937e+00,1.142282999999999937e+00
2.496789999999999964e+03,1.250161999999999995e+00,1.250161999999999995e+00
2.497039999999999964e+03,1.212428999999999979e+00,1.212428999999999979e+00
2.497289999999999964e+03,1.393540000000000001e+00,1.393540000000000001e+00
2.497539999999999964e+03,1.102160000000000029e+00,1.102160000000000029e+00
2.497789999999999964e+03,1.380222999999999978e+00,1.380222999999999978e+00
2.498050000000000182e+03,1.248231000000000090e+00,1.248231000000000090e+00
2.498300000000000182e+03,1.242852999999999986e+00,1.242852999999999986e+00
2.498549999999999727e+03,1.281446000000000085e+00,1.281446000000000085e+00
2.498800000000000182e+03,1.068421000000000065e+00,1.068421000000000065e+00
2.499059999999999945e+03,1.159685000000000077e+00,1.159685000000000077e+00
2.499309999999999945e+03,1.070418000000000092e+00,1.070418000000000092e+00
2.499559999999999945e+03,1.041222000000000092e+00,1.041222000000000092e+00
2.499820000000000164e+03,1.097796999999999912e+00,1.097796999999999912e+00
2.500070000000000164e+03,1.247289000000000092e+00,1.247289000000000092e+00
2.500319999999999709e+03,1.174139000000000044e+00,1.174139000000000044e+00
2.500579999999999927e+03,1.222062999999999899e+00,1.222062999999999899e+00
2.500829999999999927e+03,1.161386999999999947e+00,1.161386999999999947e+00
2.501079999999999927e+03,1.064451000000000036e+00,1.064451000000000036e+00
2.501339999999999691e+03,1.232482000000000077e+00,1.232482000000000077e+00
2.501590000000000146e+03,1.106956000000000051e+00,1.106956000000000051e+00
2.501849999999999909e+03,9.462755000000000472e-01,9.462755000000000472e-01
2.502099999999999909e+03,9.535683999999999827e-01,9.535683999999999827e-01
2.502349999999999909e+03,1.119331999999999994e+00,1.119331999999999994e+00
2.502609999999999673e+03,1.046199000000000101e+00,1.046199000000000101e+00
2.502860000000000127e+03,1.097223999999999977e+00,1.097223999999999977e+00
2.503119999999999891e+03,1.075698000000000043e+00,1.075698000000000043e+00
2.503369999999999891e+03,8.841426999999999481e-01,8.841426999999999481e-01
2.503620000000000346e+03,8.998580000000000467e-01,8.998580000000000467e-01
2.503880000000000109e+03,1.120076999999999989e+00,1.120076999999999989e+00
2.504130000000000109e+03,1.064345000000000097e+00,1.064345000000000097e+00
2.504389999999999873e+03,8.486932000000000365e-01,8.486932000000000365e-01
2.504640000000000327e+03,9.224324000000000412e-01,9.224324000000000412e-01
2.504900000000000091e+03,9.952549000000000534e-01,9.952549000000000534e-01
2.505150000000000091e+03,9.889196999999999571e-01,9.889196999999999571e-01
2.505409999999999854e+03,9.377138999999999891e-01,9.377138999999999891e-01
2.505660000000000309e+03,9.212046999999999874e-01,9.212046999999999874e-01
2.505920000000000073e+03,9.035085999999999951e-01,9.035085999999999951e-01
2.506180000000000291e+03,7.650181999999999816e-01,7.650181999999999816e-01
2.506429999999999836e+03,7.841302999999999468e-01,7.841302999999999468e-01
2.506690000000000055e+03,9.137644000000000322e-01,9.137644000000000322e-01
2.506940000000000055e+03,8.687793000000000321e-01,8.687793000000000321e-01
2.507200000000000273e+03,8.728228000000000097e-01,8.728228000000000097e-01
2.507449999999999818e+03,9.592488000000000126e-01,9.592488000000000126e-01
2.507710000000000036e+03,8.788715000000000277e-01,8.788715000000000277e-01
2.507969999999999800e+03,8.874412999999999885e-01,8.874412999999999885e-01
2.508220000000000255e+03,8.662583000000000366e-01,8.662583000000000366e-01
2.508480000000000018e+03,8.535633000000000248e-01,8.535633000000000248e-01
2.508739999999999782e+03,8.915665999999999869e-01,8.915665999999999869e-01
2.508989999999999782e+03,8.965267000000000097e-01,8.965267000000000097e-01
2.509250000000000000e+03,8.528512000000000315e-01,8.528512000000000315e-01
2.509510000000000218e+03,8.230003000000000180e-01,8.230003000000000180e-01
2.509760000000000218e+03,7.598951000000000455e-01,7.598951000000000455e-01
2.510019999999999982e+03,8.851577000000000472e-01,8.851577000000000472e-01
2.510279999999999745e+03,1.029829000000000105e+00,1.029829000000000105e+00
2.510530000000000200e+03,8.644167000000000378e-01,8.644167000000000378e-01
2.510789999999999964e+03,8.871466000000000074e-01,8.871466000000000074e-01
2.511050000000000182e+03,8.823337999999999459e-01,8.823337999999999459e-01
2.511299999999999727e+03,7.859506000000000547e-01,7.859506000000000547e-01
2.511559999999999945e+03,7.342047000000000434e-01,7.342047000000000434e-01
2.511820000000000164e+03,9.976040000000000463e-01,9.976040000000000463e-01
2.512079999999999927e+03,8.840116999999999559e-01,8.840116999999999559e-01
2.512340000000000146e+03,7.825955999999999468e-01,7.825955999999999468e-01
2.512589999999999691e+03,8.274529999999999941e-01,8.274529999999999941e-01
2.512849999999999909e+03,8.441669000000000533e-01,8.441669000000000533e-01
2.513110000000000127e+03,8.100678999999999519e-01,8.100678999999999519e-01
2.513369999999999891e+03,8.169596999999999554e-01,8.169596999999999554e-01
2.513630000000000109e+03,8.347377000000000269e-01,8.347377000000000269e-01
2.513880000000000109e+03,8.112219999999999986e-01,8.112219999999999986e-01
2.514139999999999873e+03,8.588508999999999727e-01,8.588508999999999727e-01
2.514400000000000091e+03,8.650797000000000070e-01,8.650797000000000070e-01
2.514660000000000309e+03,7.613225999999999605e-01,7.613225999999999605e-01
2.514920000000000073e+03,8.770708000000000393e-01,8.770708000000000393e-01
2.515179999999999836e+03,7.755678999999999768e-01,7.755678999999999768e-01
2.515440000000000055e+03,8.473754000000000008e-01,8.473754000000000008e-01
2.515699999999999818e+03,8.473427000000000042e-01,8.473427000000000042e-01
