energy,s002,s003,mean
2.463119999999999891e+03,-1.576572000000000043e-02,1.987248999999999960e-02,2.053384999999999586e-03
2.463360000000000127e+03,1.541484000000000083e-02,1.369853999999999994e-03,8.392346999999999654e-03
2.463599999999999909e+03,3.695551000000000044e-03,-5.633560999999999604e-03,-9.690049999999997797e-04
2.463839999999999691e+03,1.139422000000000004e-02,-1.298531999999999985e-02,-7.955499999999999031e-04
2.464079999999999927e+03,1.362593000000000051e-03,-6.223656999999999627e-03,-2.430532000000000005e-03
2.464319999999999709e+03,-3.198847999999999796e-03,2.372354000000000129e-03,-4.132469999999998332e-04
2.464559999999999945e+03,2.863081999999999867e-03,1.513552000000000040e-03,2.188316999999999953e-03
2.464799999999999727e+03,-1.576572000000000043e-02,-2.857199999999999952e-04,-8.025720000000000076e-03
2.465039999999999964e+03,1.927148999999999876e-02,1.515606000000000071e-02,1.721377500000000060e-02
2.465279999999999745e+03,1.232960999999999953e-02,-6.547350000000000392e-03,2.891129999999999568e-03
2.465519999999999982e+03,1.167896000000000038e-02,-2.730975000000000069e-02,-7.815394999999999287e-03
2.465759999999999764e+03,4.126240999999999937e-02,-1.860574000000000039e-03,1.970091800000000129e-02
2.466000000000000000e+03,1.263352000000000051e-02,1.361051000000000058e-03,6.997285500000000394e-03
2.466239999999999782e+03,1.614830999999999905e-02,1.190517999999999958e-02,1.402674500000000019e-02
2.466479999999999563e+03,2.082159999999999914e-02,5.319721000000000345e-03,1.307066049999999931e-02
2.466719999999999800e+03,2.262277999999999858e-02,-6.928417000000000516e-04,1.096496915000000003e-02
2.466960000000000036e+03,4.862266999999999978e-03,-2.730975000000000069e-02,-1.122374150000000036e-02
2.467200000000000273e+03,3.123280999999999974e-02,1.604972000000000083e-03,1.641889100000000143e-02
2.467449999999999818e+03,2.582330999999999863e-02,9.636484000000000716e-03,1.772989700000000141e-02
2.467690000000000055e+03,1.676671000000000064e-02,3.541394999999999960e-02,2.609033000000000185e-02
2.467929999999999836e+03,3.138844999999999830e-02,1.309675000000000075e-02,2.224260000000000126e-02
2.468170000000000073e+03,7.644906999999999397e-02,5.306780999999999998e-02,6.475844000000000045e-02
2.468409999999999854e+03,1.052003999999999995e-01,1.240363000000000021e-01,1.146183500000000077e-01
2.468649999999999636e+03,1.759031000000000067e-01,1.893614000000000130e-01,1.826322499999999960e-01
2.468889999999999873e+03,1.288310000000000011e-01,1.860147000000000050e-01,1.574228500000000031e-01
2.469139999999999873e+03,1.102646999999999933e-01,1.222566999999999959e-01,1.162606999999999946e-01
2.469380000000000109e+03,1.195269999999999944e-01,1.467301000000000022e-01,1.331285500000000122e-01
2.469619999999999891e+03,1.355588000000000071e-01,7.071950999999999932e-02,1.031391550000000101e-01
2.469860000000000127e+03,1.280302000000000107e-01,1.327204999999999913e-01,1.303753500000000010e-01
2.470099999999999909e+03,1.813493999999999939e-01,1.762199999999999878e-01,1.787846999999999908e-01
2.470349999999999909e+03,2.152109000000000105e-01,2.948147999999999880e-01,2.550128500000000131e-01
2.470590000000000146e+03,3.373966999999999938e-01,3.592324000000000073e-01,3.483145500000000006e-01
2.470829999999999927e+03,3.543458999999999914e-01,3.766008000000000133e-01,3.654733500000000301e-01
2.471070000000000164e+03,4.007909000000000055e-01,5.459138999999999520e-01,4.733524000000000065e-01
2.471320000000000164e+03,4.345870000000000011e-01,4.581280999999999826e-01,4.463575499999999918e-01
2.471560000000000400e+03,4.488768000000000202e-01,5.502871000000000290e-01,4.995819500000000524e-01
2.471800000000000182e+03,5.403162000000000242e-01,4.129924999999999846e-01,4.766543500000000044e-01
2.472039999999999964e+03,5.389930000000000554e-01,6.318278999999999979e-01,5.854104500000000266e-01
2.472289999999999964e+03,5.212156000000000011e-01,5.587653999999999677e-01,5.399905000000000399e-01
2.472529999999999745e+03,4.836617000000000277e-01,5.770250000000000101e-01,5.303433499999999912e-01
2.472769999999999982e+03,4.399701999999999780e-01,3.890677000000000163e-01,4.145189499999999971e-01
2.473019999999999982e+03,4.735330999999999846e-01,4.875867999999999869e-01,4.805599499999999580e-01
2.473259999999999764e+03,4.109111999999999765e-01,4.347667000000000059e-01,4.228389499999999912e-01
2.473500000000000000e+03,4.339195000000000135e-01,5.133088999999999569e-01,4.736141999999999852e-01
2.473750000000000000e+03,4.231769000000000225e-01,4.404319999999999902e-01,4.318044500000000063e-01
2.473990000000000236e+03,3.800196000000000129e-01,4.646817999999999782e-01,4.223506999999999678e-01
2.474230000000000018e+03,3.616842000000000112e-01,4.872361000000000053e-01,4.244601500000000360e-01
2.474479999999999563e+03,3.448610999999999760e-01,3.826683000000000168e-01,3.637646999999999964e-01
2.474720000000000255e+03,3.620626000000000122e-01,3.551978000000000080e-01,3.586302000000000101e-01
2.474960000000000036e+03,3.033364000000000060e-01,3.441298999999999886e-01,3.237331500000000251e-01
2.475210000000000036e+03,2.617951000000000028e-01,3.284328000000000247e-01,2.951139500000000138e-01
2.475449999999999818e+03,3.301548000000000260e-01,3.291046000000000249e-01,3.296297000000000255e-01
2.475699999999999818e+03,3.206176000000000026e-01,3.059775000000000134e-01,3.132975500000000357e-01
2.475940000000000055e+03,3.546849999999999725e-01,3.229720999999999842e-01,3.388285500000000061e-01
2.476190000000000055e+03,3.505488999999999966e-01,3.595304000000000277e-01,3.550396500000000399e-01
2.476430000000000291e+03,3.357736000000000054e-01,3.380651000000000073e-01,3.369193500000000063e-01
