energy,s003,s004,s005,s006,s007,s009,s010,s011,mean
2.466000000000000000e+03,-6.649137999999999750e-03,1.554586999999999983e-02,1.340441000000000028e-02,-1.856103999999999914e-03,-8.619061000000000777e-03,6.893372000000000041e-03,5.923486999999999850e-03,6.751520999999999911e-03,3.924294624999999717e-03
2.466239999999999782e+03,-9.802046000000000023e-03,-1.030714999999999930e-02,1.728230999999999865e-02,-1.367556999999999974e-02,1.987884999999999999e-02,-6.613499000000000114e-03,1.458057999999999924e-02,9.579512999999999570e-03,2.615373500000000000e-03
2.466479999999999563e+03,7.978143999999999514e-03,1.167262999999999981e-02,-1.330211000000000067e-02,8.174597999999999934e-03,1.153505999999999976e-02,2.577180999999999916e-02,6.586037000000000315e-03,1.491728999999999972e-02,9.166682375000000452e-03
2.466719999999999800e+03,1.314127999999999998e-02,5.611503000000000541e-04,1.140080000000000086e-02,5.607489999999999697e-03,9.431267999999999596e-03,1.160476000000000042e-02,1.647337999999999927e-03,9.996147999999999839e-03,7.923779287500000088e-03
2.466960000000000036e+03,-1.593341000000000071e-03,1.076212000000000002e-02,-7.535677000000000391e-04,1.112000999999999962e-02,1.940127999999999991e-02,7.997537000000000743e-03,1.852395000000000083e-02,-8.688355000000000036e-03,7.096204162499998754e-03
2.467200000000000273e+03,1.248274000000000085e-02,4.514960000000000154e-03,3.188531000000000004e-02,3.411692000000000132e-04,1.908291999999999974e-02,1.189884000000000080e-02,9.671872999999999235e-03,1.441832000000000009e-02,1.303701652499999857e-02
2.467449999999999818e+03,2.091428999999999858e-02,3.582707999999999726e-02,2.891530999999999962e-02,1.688086999999999921e-02,8.390045999999999962e-03,2.734953999999999857e-02,7.657811999999999952e-03,2.649048000000000028e-02,2.155317850000000243e-02
2.467690000000000055e+03,2.639723000000000069e-02,3.729621000000000325e-02,2.372134000000000048e-02,4.038123000000000233e-03,2.436997999999999942e-02,1.602044999999999858e-02,1.855802000000000146e-02,2.083528999999999937e-02,2.140458037500000271e-02
2.467929999999999836e+03,8.367968999999999408e-03,2.763606000000000049e-02,4.267661999999999844e-02,1.723896999999999929e-02,3.516667999999999877e-02,2.019289999999999974e-02,2.732684999999999975e-02,1.767066000000000123e-02,2.453458862499999921e-02
2.468170000000000073e+03,4.933454999999999785e-02,5.439553999999999917e-02,5.250343999999999844e-02,5.351165000000000088e-02,4.829539000000000054e-02,3.872712999999999850e-02,7.317832999999999977e-02,4.057816999999999674e-02,5.131552500000000072e-02
2.468409999999999854e+03,4.796121999999999885e-02,8.169598999999999611e-02,5.848380000000000245e-02,5.608435999999999977e-02,7.831174000000000468e-02,6.744977000000000611e-02,9.412136000000000113e-02,1.087845999999999952e-01,7.411160499999999707e-02
2.468649999999999636e+03,7.627483000000000180e-02,1.090750999999999943e-01,1.372707999999999984e-01,9.878681000000000267e-02,1.161838000000000037e-01,1.070292000000000049e-01,1.694490999999999914e-01,1.153549999999999992e-01,1.161780800000000169e-01
2.468889999999999873e+03,1.017828000000000066e-01,1.287767999999999968e-01,1.426588000000000023e-01,1.216123999999999955e-01,8.671610999999999903e-02,9.921211000000000613e-02,1.342135999999999885e-01,1.376583999999999863e-01,1.190788774999999994e-01
2.469139999999999873e+03,8.488718000000000652e-02,1.172308999999999990e-01,1.123422000000000032e-01,1.176052999999999960e-01,5.627058000000000060e-02,7.571864000000000372e-02,7.190778000000000447e-02,8.068353000000000330e-02,8.958076375000001423e-02
2.469380000000000109e+03,5.935101000000000265e-02,5.347154999999999964e-02,1.175043000000000060e-01,1.062122000000000066e-01,6.508893999999999791e-02,8.649012000000000366e-02,1.003495999999999971e-01,8.806922999999999835e-02,8.456711875000000322e-02
2.469619999999999891e+03,4.169608000000000342e-02,8.279256000000000115e-02,1.239340000000000025e-01,7.643598000000000059e-02,9.714902000000000259e-02,5.185407999999999684e-02,7.443885999999999559e-02,7.308436000000000099e-02,7.767311749999999959e-02
2.469860000000000127e+03,9.191944000000000503e-02,8.443119000000000318e-02,5.458778000000000241e-02,6.783559999999999590e-02,8.471694999999999920e-02,7.012229000000000378e-02,1.206305000000000016e-01,6.002339000000000285e-02,7.928339250000000782e-02
2.470099999999999909e+03,1.005896000000000012e-01,1.219174999999999981e-01,1.344102000000000074e-01,6.418058999999999570e-02,1.095184000000000019e-01,1.259600999999999915e-01,1.178575000000000039e-01,1.179459000000000063e-01,1.115474737500000146e-01
2.470349999999999909e+03,1.480831999999999982e-01,1.691381999999999886e-01,2.358413000000000037e-01,1.680173000000000083e-01,1.806235999999999953e-01,1.628657000000000021e-01,2.138948999999999989e-01,2.482563000000000131e-01,1.908400625000000184e-01
2.470590000000000146e+03,2.357956999999999970e-01,2.233573000000000086e-01,2.682353000000000098e-01,2.068699999999999983e-01,2.304259999999999919e-01,2.271293000000000062e-01,2.251473999999999975e-01,2.373998999999999970e-01,2.317951125000000112e-01
2.470829999999999927e+03,2.439611999999999892e-01,2.827046999999999755e-01,2.791555000000000009e-01,2.653314999999999979e-01,2.555250000000000021e-01,2.493037999999999921e-01,2.993204999999999893e-01,3.193873999999999880e-01,2.743362000000000300e-01
2.471070000000000164e+03,2.863792000000000004e-01,2.964012999999999787e-01,3.613680000000000225e-01,2.510434999999999750e-01,3.297378000000000253e-01,2.772203999999999779e-01,2.679295999999999900e-01,3.580902000000000251e-01,3.035212500000000202e-01
