energy,s042,s043,s044,s045,mean
2.472769999999999982e+03,5.317378999999999856e-01,5.009799000000000335e-01,4.489177999999999780e-01,3.791685000000000194e-01,4.652010249999999902e-01
2.473019999999999982e+03,5.358920999999999824e-01,4.515651999999999999e-01,4.616806999999999994e-01,4.428416000000000019e-01,4.729948999999999959e-01
2.473259999999999764e+03,5.867643000000000164e-01,5.702829000000000370e-01,5.415027999999999508e-01,4.291844000000000214e-01,5.319336000000000064e-01
2.473500000000000000e+03,5.536571999999999605e-01,4.358078000000000229e-01,4.667902999999999913e-01,4.984177000000000191e-01,4.886682500000000262e-01
2.473750000000000000e+03,4.672235000000000138e-01,4.148641000000000134e-01,5.913123000000000129e-01,5.300097000000000280e-01,5.008523999999999754e-01
2.473990000000000236e+03,5.941482000000000152e-01,4.873953999999999787e-01,4.924440999999999957e-01,3.780409000000000130e-01,4.880071500000000007e-01
2.474230000000000018e+03,4.556805999999999912e-01,4.248549999999999827e-01,4.698416000000000259e-01,5.324079000000000450e-01,4.706962749999999973e-01
2.474479999999999563e+03,3.750911000000000106e-01,4.358911999999999787e-01,4.612887999999999988e-01,3.963843000000000227e-01,4.171638500000000027e-01
2.474720000000000255e+03,4.301548000000000038e-01,4.873891000000000195e-01,3.457675000000000054e-01,2.732484000000000024e-01,3.841399500000000078e-01
2.474960000000000036e+03,4.989908000000000121e-01,3.738297999999999899e-01,4.400781000000000276e-01,3.191762000000000210e-01,4.080187250000000265e-01
2.475210000000000036e+03,4.341188000000000269e-01,2.793777000000000066e-01,3.591177999999999870e-01,2.918765999999999861e-01,3.411227249999999600e-01
2.475449999999999818e+03,3.623745999999999912e-01,3.612654000000000143e-01,3.622091000000000061e-01,4.180371999999999977e-01,3.759715750000000023e-01
2.475699999999999818e+03,3.094969000000000192e-01,4.319865999999999984e-01,3.391095000000000081e-01,3.363473000000000157e-01,3.542350749999999548e-01
2.475940000000000055e+03,4.779826999999999826e-01,3.355448999999999793e-01,3.430064999999999920e-01,3.737381000000000175e-01,3.825680499999999928e-01
2.476190000000000055e+03,4.044665000000000066e-01,4.087752000000000052e-01,4.453761999999999999e-01,3.879651000000000072e-01,4.116457499999999770e-01
2.476430000000000291e+03,3.515744000000000091e-01,5.549830999999999515e-01,4.064828999999999803e-01,3.634962999999999944e-01,4.191341749999999422e-01
2.476670000000000073e+03,5.395442999999999767e-01,4.892232000000000247e-01,4.870500999999999858e-01,4.442211999999999827e-01,4.900096999999999925e-01
2.476919999999999618e+03,5.504179000000000155e-01,4.714281000000000166e-01,4.331298000000000092e-01,3.088165999999999967e-01,4.409481000000000650e-01
2.477159999999999854e+03,5.729919999999999458e-01,5.223041000000000489e-01,5.580382000000000398e-01,5.809547999999999934e-01,5.585722749999999515e-01
2.477409999999999854e+03,5.657887000000000333e-01,5.679849000000000148e-01,5.591637999999999886e-01,4.257181999999999911e-01,5.296638999999999653e-01
2.477650000000000091e+03,5.083031000000000077e-01,5.894038999999999806e-01,6.011381999999999559e-01,6.131716999999999862e-01,5.780042250000000381e-01
2.477900000000000091e+03,6.396659999999999568e-01,6.312621999999999955e-01,6.893920000000000048e-01,5.669693999999999567e-01,6.318224000000000062e-01
2.478139999999999873e+03,5.870699999999999807e-01,5.431504999999999805e-01,6.769376000000000282e-01,4.758206999999999853e-01,5.707446999999999937e-01
2.478389999999999873e+03,7.104110999999999621e-01,6.635556999999999706e-01,6.534915999999999503e-01,6.836771999999999849e-01,6.777838999999998837e-01
2.478630000000000109e+03,7.300373000000000001e-01,7.256626000000000465e-01,6.438783000000000145e-01,5.749889000000000250e-01,6.686417749999999938e-01
2.478880000000000109e+03,6.752034999999999565e-01,6.128983999999999543e-01,5.924574000000000229e-01,7.326863999999999599e-01,6.533114250000000567e-01
2.479119999999999891e+03,6.547587999999999742e-01,5.738020000000000342e-01,7.405420000000000336e-01,6.984784000000000548e-01,6.668952999999999687e-01
2.479369999999999891e+03,6.900313999999999615e-01,7.344867000000000479e-01,6.710270000000000401e-01,4.657070999999999850e-01,6.403130499999999392e-01
2.479620000000000346e+03,7.479660999999999671e-01,7.312028000000000416e-01,6.628798999999999664e-01,7.960597999999999841e-01,7.345271500000000175e-01
2.479860000000000127e+03,8.173738000000000392e-01,8.004780000000000229e-01,6.390921999999999992e-01,7.743172999999999861e-01,7.578153249999999286e-01
2.480109999999999673e+03,1.045457000000000081e+00,1.012326000000000059e+00,9.645424999999999693e-01,9.886930000000000440e-01,1.002754625000000122e+00
2.480349999999999909e+03,1.121081999999999912e+00,1.124806999999999890e+00,1.106549999999999923e+00,1.112363999999999908e+00,1.116200749999999964e+00
2.480599999999999909e+03,1.116362999999999994e+00,1.314807999999999977e+00,1.366241999999999956e+00,1.295522000000000062e+00,1.273233749999999942e+00
2.480850000000000364e+03,1.605623999999999940e+00,1.660735000000000072e+00,1.227767999999999970e+00,1.736796000000000006e+00,1.557730749999999942e+00
2.481090000000000146e+03,1.771622999999999948e+00,2.269719999999999960e+00,1.840796000000000099e+00,2.143574999999999786e+00,2.006428499999999726e+00
2.481339999999999691e+03,2.553599000000000174e+00,2.717122999999999955e+00,2.569898999999999933e+00,2.777099999999999902e+00,2.654430249999999880e+00
2.481579999999999927e+03,3.515753999999999824e+00,3.926433999999999980e+00,3.372244999999999937e+00,3.676984000000000030e+00,3.622854249999999610e+00
2.481829999999999927e+03,4.044831000000000287e+00,4.186823999999999657e+00,3.842661000000000104e+00,4.219187999999999938e+00,4.073375999999999664e+00
2.482079999999999927e+03,4.112134000000000178e+00,4.588860999999999635e+00,4.239332000000000100e+00,4.504427999999999876e+00,4.361188750000000169e+00
2.482320000000000164e+03,3.700867999999999824e+00,4.389675000000000438e+00,3.875093999999999816e+00,4.307735000000000092e+00,4.068343000000000487e+00
2.482570000000000164e+03,3.609249999999999847e+00,3.514890999999999988e+00,3.631000999999999923e+00,3.837613999999999859e+00,3.648188999999999904e+00
2.482819999999999709e+03,2.995849000000000206e+00,3.189579999999999860e+00,2.823855000000000004e+00,2.803917000000000215e+00,2.953300250000000293e+00
2.483059999999999945e+03,2.128826999999999803e+00,2.656791000000000125e+00,2.488931000000000004e+00,2.767673999999999968e+00,2.510555749999999975e+00
2.483309999999999945e+03,2.049161999999999928e+00,2.081240000000000201e+00,2.122236000000000011e+00,1.975398999999999905e+00,2.057009250000000122e+00
2.483560000000000400e+03,1.582222999999999935e+00,1.826993000000000089e+00,1.706652000000000058e+00,1.450544000000000056e+00,1.641602999999999923e+00
2.483809999999999945e+03,1.249864000000000086e+00,1.504715999999999942e+00,1.323387000000000091e+00,1.385431999999999997e+00,1.365849749999999974e+00
2.484049999999999727e+03,1.191276999999999919e+00,1.213017999999999930e+00,1.176820999999999895e+00,1.438345999999999902e+00,1.254865499999999967e+00
2.484300000000000182e+03,1.038983999999999908e+00,1.258091000000000070e+00,1.089148999999999923e+00,1.330408000000000035e+00,1.179157999999999928e+00
2.484550000000000182e+03,1.159931000000000045e+00,1.225043000000000104e+00,1.011800000000000033e+00,1.023234999999999895e+00,1.105002250000000075e+00
