energy,s039,s040,s041,s042,s043,s044,s045,s046,s047,mean
2.466000000000000000e+03,2.884296999999999903e-02,1.301760000000000070e-02,-1.111430000000000057e-03,1.090746000000000077e-02,-3.723300000000000134e-03,4.608781999999999636e-03,1.477770999999999946e-02,3.562233000000000153e-03,-5.919340999999999839e-03,7.218076000000000353e-03
2.466239999999999782e+03,2.076226999999999934e-02,9.394750999999999796e-03,2.964260999999999979e-02,1.727880999999999861e-02,3.636515999999999794e-04,2.404844000000000079e-02,2.280350999999999906e-02,1.316481000000000075e-02,8.676325999999999830e-03,1.623724206666667114e-02
2.466479999999999563e+03,1.186192999999999970e-02,1.615325999999999915e-02,1.513063000000000081e-02,1.858003000000000085e-02,7.015623999999999819e-03,6.169987000000000041e-03,1.308438999999999956e-02,9.296350999999999573e-03,2.870843999999999827e-02,1.400007133333333251e-02
2.466719999999999800e+03,-1.115023000000000056e-02,1.409448999999999945e-02,1.246890999999999972e-02,1.555829000000000066e-02,1.098931000000000040e-02,-1.583832000000000078e-03,2.348422999999999830e-02,9.463114999999999374e-03,1.533788999999999986e-02,9.851352555555553669e-03
2.466960000000000036e+03,-3.337750000000000005e-03,2.305259999999999948e-02,1.311614000000000009e-02,1.517509000000000045e-02,1.517040000000000055e-02,4.786179000000000128e-02,1.852238999999999969e-02,2.404306999999999972e-02,-1.135334999999999903e-03,1.694093277777777851e-02
2.467200000000000273e+03,4.810497999999999857e-03,1.157462000000000074e-02,1.886412000000000158e-02,2.122181000000000067e-02,3.102725000000000188e-03,2.613603000000000107e-02,2.224469000000000099e-02,2.570069000000000173e-02,3.533701999999999677e-02,1.877691144444444682e-02
2.467449999999999818e+03,2.187435000000000074e-02,3.358552000000000065e-02,3.380281000000000258e-02,3.250713000000000213e-02,2.883319000000000160e-02,1.578223000000000126e-02,1.835960000000000023e-02,4.146716000000000291e-02,2.423215000000000091e-02,2.782712666666667042e-02
2.467690000000000055e+03,3.445659999999999695e-02,7.429968000000000336e-03,2.086680000000000132e-02,3.611533000000000104e-02,3.033216000000000037e-02,1.453509000000000051e-02,1.931735999999999870e-02,5.510133999999999865e-02,4.182240000000000263e-02,2.888633866666666383e-02
2.467929999999999836e+03,7.197058000000000622e-02,3.147512999999999700e-02,5.265473999999999849e-02,4.081751000000000129e-02,4.051172000000000106e-02,5.673273999999999678e-02,5.133150999999999686e-02,5.551571000000000283e-02,3.942984000000000072e-02,4.893771999999999012e-02
2.468170000000000073e+03,8.035230999999999624e-02,9.365534000000000359e-02,8.497230000000000061e-02,9.357108000000000092e-02,1.149744000000000044e-01,6.705440999999999485e-02,7.457585999999999382e-02,8.475615999999999706e-02,9.248826000000000269e-02,8.737779111111111663e-02
2.468409999999999854e+03,1.265152999999999972e-01,1.685622999999999982e-01,1.574195999999999929e-01,1.768896000000000079e-01,1.594445999999999919e-01,9.532045000000000101e-02,1.589522999999999908e-01,1.707840999999999942e-01,8.488365000000000493e-02,1.443079888888889051e-01
2.468649999999999636e+03,2.338955000000000062e-01,2.561499999999999888e-01,2.052725999999999995e-01,2.840467999999999882e-01,2.765608999999999984e-01,2.144880000000000120e-01,2.269951000000000052e-01,2.458577999999999875e-01,2.262537000000000020e-01,2.410578222222222455e-01
2.468889999999999873e+03,2.418588999999999878e-01,2.315231000000000094e-01,1.944722999999999868e-01,2.759929999999999883e-01,2.286296999999999913e-01,1.134074000000000054e-01,1.800375999999999921e-01,2.041629000000000083e-01,2.760276999999999870e-01,2.162347333333333177e-01
2.469139999999999873e+03,1.752710000000000101e-01,1.993832000000000104e-01,1.750289999999999901e-01,1.551432000000000089e-01,1.512904999999999944e-01,1.393602999999999925e-01,1.675744000000000122e-01,1.989573000000000036e-01,1.254963000000000051e-01,1.652783555555555894e-01
2.469380000000000109e+03,1.092672999999999978e-01,1.225957000000000019e-01,1.344677999999999984e-01,1.404162999999999939e-01,1.480592000000000019e-01,9.230318999999999330e-02,1.425520000000000120e-01,1.141459999999999975e-01,1.137452999999999936e-01,1.241725322222222150e-01
2.469619999999999891e+03,4.371834000000000137e-02,1.344556000000000084e-01,9.235989999999999478e-02,1.256953000000000098e-01,9.782511000000000678e-02,9.981826000000000587e-02,1.249880000000000019e-01,1.331504000000000021e-01,1.327663000000000038e-01,1.094196900000000139e-01
2.469860000000000127e+03,1.044839999999999935e-01,1.264891999999999961e-01,1.383155000000000079e-01,1.821664000000000061e-01,1.550788999999999918e-01,1.295055999999999985e-01,1.307331999999999939e-01,1.614054000000000044e-01,1.455500999999999878e-01,1.415253666666666521e-01
2.470099999999999909e+03,2.187829000000000024e-01,2.278794000000000097e-01,1.764460999999999946e-01,2.244086999999999887e-01,2.341474000000000055e-01,1.857728999999999908e-01,2.187819000000000014e-01,2.025431000000000037e-01,2.366640999999999884e-01,2.139362777777777669e-01
2.470349999999999909e+03,2.841819999999999902e-01,2.992992999999999904e-01,2.809716999999999909e-01,4.034672000000000258e-01,3.987677000000000027e-01,3.529634999999999856e-01,3.172822000000000142e-01,3.810258000000000256e-01,3.299014000000000113e-01,3.386512000000000411e-01
2.470590000000000146e+03,3.804577000000000098e-01,4.971561999999999926e-01,4.322865000000000180e-01,5.677531999999999579e-01,3.795084000000000235e-01,4.564306000000000196e-01,3.738511999999999946e-01,4.898209000000000035e-01,4.075640999999999847e-01,4.427587555555555499e-01
2.470829999999999927e+03,4.936052000000000217e-01,5.128823000000000132e-01,4.538112999999999730e-01,5.062172000000000338e-01,5.077131999999999756e-01,4.026437999999999962e-01,4.452098999999999918e-01,5.011672000000000349e-01,5.060453000000000312e-01,4.810328222222222672e-01
2.471070000000000164e+03,5.055307999999999469e-01,4.785258000000000012e-01,4.455505000000000160e-01,4.631598000000000104e-01,5.250048999999999966e-01,4.188533999999999868e-01,5.738431000000000504e-01,5.988518000000000452e-01,4.744433000000000122e-01,4.981959333333333406e-01
2.471320000000000164e+03,4.936558999999999808e-01,5.206482000000000054e-01,4.901749000000000245e-01,5.693099000000000354e-01,5.364934000000000092e-01,5.062986999999999904e-01,5.865369000000000277e-01,6.475016999999999578e-01,5.698062000000000404e-01,5.467139777777778598e-01
